date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2023-03-01,all,337177576.03,178911670.69,693739908.23,44205,24603,87600,7627.589096934736
2023-03-02,all,187614023.5,99697806.54,386153791.79,24559,13700,48691,7639.318518669327
2023-03-03,all,179989390.17,95715920.39,370459840.38,23560,13161,46701,7639.617579371816
2023-03-04,all,578463627.99,308987415.53000003,1184557882.35,82823,46259,163581,6984.335607138114
2023-03-05,all,1405304844.22,747551810.13,2879701656.5,194293,107975,384020,7232.915463861282
2023-03-06,all,399539826.09,212106925.94,821040760.32,54035,30022,107142,7394.093200518182
2023-03-07,all,360598462.13,191483145.76,740835324.94,48660,27051,96456,7410.572587957255
2023-03-08,all,354690943.18,188545489.21,728255824.15,48033,26717,95146,7384.317931005767
2023-03-09,all,339029817.78,180280958.05,696495429.9399999,45805,25490,90808,7401.589734308481
2023-03-10,all,1060221378.47,564118996.39,2173852553.2,145764,81026,288469,7273.547504665075
2023-03-11,all,297455467.52,158199916.35999998,610690912.25,40206,22376,79652,7398.28551758444
2023-03-12,all,223019425.44,118652389.4,457988180.81,29613,16523,58663,7531.132456691318
2023-03-13,all,209932625.44,111323035.78,432309223.64,27134,15110,53834,7736.884552222304
2023-03-14,all,198180779.48,105131074.4,407926198.56,25830,14383,51223,7672.50404490902
2023-03-15,all,374917747.55,199358355.95,770445970.57,49700,27755,98294,7543.616650905433
2023-03-16,all,203894056.45,108242200.2,419590158.6,26659,14862,52841,7648.22598184478
2023-03-17,all,187693809.1,99706626.4,386165158.32,24547,13699,48628,7646.303381268586
2023-03-18,all,289132555.69,153678278.81,593978487.66,38471,21452,76154,7515.597610927712
2023-03-19,all,216755439.5,115308373.95,445001740.09,28812,16075,57050,7523.095914896571
2023-03-20,all,344654068.5,183152094.82999998,708469252.05,45388,25349,89802,7593.506400370142
2023-03-21,all,320389697.53,170591571.77,657368251.46,44264,24713,87520,7238.15510414784
2023-03-22,all,305162652.36,162674262.60999998,626056243.78,41989,23460,83032,7267.680877372645
2023-03-23,all,290517845.85,154738779.0,596545795.23,39457,22025,78111,7362.897479534684
2023-03-24,all,261890152.65,139354338.64,537720839.39,35452,19774,70165,7387.1756924856145
2023-03-25,all,793786550.37,421684284.39,1627320146.96,109250,60708,216038,7265.7807814187645
2023-03-26,all,409163107.49,217437473.15,839713917.48,55905,31065,110806,7318.900053483589
2023-03-27,all,420345259.67,222759408.94,864529542.97,56643,31442,112337,7420.956864396307
2023-03-28,all,248237252.44,131830150.24,509912748.56,33380,18563,66131,7436.706184541642
2023-03-29,all,202191399.2,107235363.01,415984970.88,26632,14806,52847,7592.047131270651
2023-03-30,all,359910831.96,191340826.64000002,739244036.64,48188,26892,95330,7468.889183199136
2023-03-31,all,203587843.27,107966022.07000001,418851482.93,26829,14925,53209,7588.350041745873
2023-03-01,100181,1059724.3,504710.28,2382046.96,34,16,77,30756.037362286443
2023-03-01,100487,1540333.09,733607.61,3462359.13,308,147,692,5003.394164301826
2023-03-01,100992,4233829.13,2016427.31,7754894.57,490,233,897,8642.880357122443
2023-03-01,101020,1702690.45,810932.92,3827305.54,483,230,1085,3526.4746043975583
2023-03-01,101384,1592282.61,758349.55,3579131.15,19,9,44,81987.42541622558
2023-03-01,101535,2357912.69,1247772.39,5300113.23,291,154,654,8108.849064195236
2023-03-01,101954,1592282.61,758349.55,3579131.15,49,23,110,32448.441098253432
2023-03-01,110365,1056588.94,680378.41,1643139.99,695,447,1080,1520.7912544024462
2023-03-01,110409,3844687.75,1831092.6,8642084.51,305,145,685,12609.368728596402
2023-03-01,110435,2419932.78,1152530.61,4659179.2,287,137,553,8420.863613999409
2023-03-01,110632,3904745.65,2176544.14,6570925.71,502,280,844,7782.727399525774
2023-03-01,200181,1106867.92,594498.68,2488016.15,92,50,207,11994.313772743704
2023-03-01,201184,4353049.34,2073207.69,9784778.67,180,86,404,24239.05544501833
2023-03-01,201351,11015238.67,7820304.31,19890841.04,2536,1800,4579,4343.828913208452
2023-03-01,201486,1303496.44,620810.65,2929997.95,138,66,310,9447.895089685526
2023-03-01,201632,1412519.95,672734.53,3175060.45,289,138,650,4888.217465267933
2023-03-01,201925,2022796.9,963388.48,4546840.23,198,94,445,10223.391686554089
2023-03-01,202502,2916893.82,1753812.97,6556590.42,592,356,1331,4925.963174196305
2023-03-01,204586,9523312.27,5793438.58,18534830.02,83,50,161,114925.81437780592
2023-03-01,204934,2111061.95,1005426.05,4602834.24,101,48,221,20839.808939428058
2023-03-01,204964,3210322.56,2141273.69,4898801.66,569,380,868,5642.042116574518
2023-03-01,205272,1973588.06,939952.2,4436229.0,127,60,285,15559.310103613318
2023-03-01,205582,5057811.79,3138639.53,11040144.0,243,151,531,20788.12546005629
2023-03-01,205611,3109185.8,1480798.22,6988823.51,494,235,1109,6300.150326133339
2023-03-01,205761,2245363.07,1438978.43,5047124.54,654,419,1470,3434.1161480686696
2023-03-01,206361,2003206.58,954058.36,3677857.06,191,91,350,10505.742830358338
2023-03-01,206363,3009735.68,1433433.63,5876783.21,210,100,411,14312.772390310342
2023-03-01,206440,16434003.54,8844762.1,32946769.13,3907,2103,7832,4206.773328617142
2023-03-01,206471,5611056.0,2722071.41,12612524.73,1466,711,3296,3826.5412005380563
2023-03-01,207288,1026496.04,610133.47,2307356.37,335,199,752,3066.8244861662915
2023-03-01,207774,2431995.94,1158275.95,5466637.29,198,94,446,12260.545693890897
2023-03-01,207802,1053629.37,501807.43,2368346.86,87,41,195,12161.404190822628
2023-03-01,207966,3924655.96,1878398.22,7607065.82,114,55,222,34342.478538966505
2023-03-01,208532,1823065.07,868263.23,4097883.48,31,15,71,58105.97751937984
2023-03-01,210022,4647888.36,2213629.44,8520804.71,211,101,387,21992.525
2023-03-01,210413,2296465.45,1093727.44,5161991.88,38,18,86,59865.244298884034
2023-03-01,212377,2566425.88,1222300.27,5768808.68,61,29,137,42009.42932991578
2023-03-01,214099,1372840.84,676841.4,3085870.14,202,100,455,6779.985977538586
2023-03-01,214104,1480610.29,705163.62,2864766.75,154,73,298,9597.276106696936
2023-03-01,214781,2191477.97,1366832.16,3849597.16,262,163,459,8378.659257920732
2023-03-01,215430,5019651.93,2390687.46,11283167.19,103,49,231,48774.620552645836
2023-03-01,215913,2265839.24,1086695.15,4188278.28,100,48,186,22577.01560131613
2023-03-01,216158,1037943.95,530448.92,2110768.24,316,161,642,3287.7802556969336
2023-03-01,216173,1256938.32,803770.48,2277496.54,614,393,1113,2046.4075523855204
2023-03-01,216424,5141525.48,2448731.69,11557114.28,725,345,1629,7094.464883836265
2023-03-01,301577,5421300.79,2581979.14,12185993.03,356,169,800,15236.422483146187
2023-03-01,304080,2982359.41,1843536.2,4359335.03,405,250,591,7371.324394765833
2023-03-01,304763,488832.18,232813.89,1014175.37,125,59,259,3915.298689101155
2023-03-01,401131,1099269.28,659034.96,2134096.21,402,241,780,2736.9203972791574
2023-03-01,401534,1641393.87,790132.29,2870957.23,480,231,839,3420.16930955647
2023-03-01,402018,2697390.28,1448001.88,5577802.68,131,70,270,20623.2417056456
2023-03-01,402279,2113567.79,1197066.23,4292266.21,472,268,959,4474.521479154262
2023-03-01,407120,1443114.15,816489.77,2876717.91,197,112,393,7321.590889676138
2023-03-01,408789,972059.82,462958.6,2184994.87,209,100,470,4649.133776149978
2023-03-01,501098,1618280.92,770731.38,3637569.7,128,61,288,12648.441760239233
2023-03-01,502221,2836163.33,1350767.25,6375124.51,186,89,418,15238.700101112234
2023-03-01,502280,2460397.09,1531039.01,4870420.11,218,136,431,11290.826305756767
2023-03-01,502835,6695440.2,3188807.83,15050002.08,815,388,1832,8215.760258523138
2023-03-01,506012,2609458.89,1487805.51,5834167.95,65,37,145,40146.46725813266
2023-03-01,506536,4419865.6,2738914.61,7834844.1,929,576,1647,4758.28044653917
2023-03-01,506539,4267726.14,2377327.5,8761708.38,1532,853,3145,2786.0294540190494
2023-03-01,507515,1164411.78,618213.64,2192292.88,89,47,167,13108.208007458436
2023-03-01,507843,5661765.05,3244575.06,9794230.23,611,350,1057,9267.394572216059
2023-03-01,508456,7352657.03,3628351.16,16527293.21,289,143,649,25458.78845406246
2023-03-01,508599,4024974.19,1916956.78,9047331.48,30,14,68,133989.8822544643
2023-03-01,509417,4194263.71,2350801.68,9427860.43,254,142,571,16505.57535420991
2023-03-01,509434,2154343.9,1278049.22,3734880.74,957,568,1659,2251.948052151027
2023-03-01,510003,8346791.07,5684532.63,13711827.77,1291,879,2120,6467.065727351378
2023-03-01,511293,3583374.98,2160078.67,7132075.44,520,313,1035,6892.899118283148
2023-03-01,551180,3505808.58,1669695.82,6370962.86,930,443,1690,3770.590906279253
2023-03-01,551228,6042317.2,2877747.82,13581912.82,1305,621,2932,4631.573516189545
2023-03-01,551732,2152132.65,1487597.38,3863547.24,427,295,767,5035.437668209711
2023-03-01,551736,1765691.75,926810.74,3598294.72,497,261,1012,3555.299895986295
2023-03-01,554973,2082392.7,991772.16,4680800.19,53,25,118,39505.5967189729
2023-03-01,555003,1692473.09,1029031.01,2776253.21,555,337,910,3050.899327586458
2023-03-01,555421,2957602.31,1408604.25,6648094.88,299,143,673,9875.315006883891
2023-03-01,558754,1780363.19,847925.65,3592177.95,137,65,276,12995.143152099105
2023-03-01,558846,4128505.75,2596489.02,6737037.96,686,431,1119,6019.161663393748
2023-03-01,558873,4116979.12,1960775.36,9254140.32,196,93,441,21004.911831732472
2023-03-01,560271,6534147.92,4174624.64,11449570.08,2545,1626,4459,2567.607616209098
2023-03-01,562641,6608599.71,3147448.6,14854802.05,30,14,66,223424.51923908343
2023-03-01,563339,2297947.46,1385855.36,5124394.74,413,249,921,5563.724251033785
2023-03-01,563342,4489389.4,2138141.72,10091243.64,408,194,917,11008.744115753449
2023-03-01,563689,2290877.68,1091066.16,5149431.78,84,40,188,27359.00438158198
2023-03-01,564286,6558486.42,3123581.29,12850865.34,71,34,139,92780.03373926932
2023-03-01,564647,3244006.29,1545008.63,6225668.51,301,143,577,10785.112817362817
2023-03-01,564895,6968148.86,3318689.82,15662996.67,263,125,590,26534.305091333074
2023-03-01,565724,3023987.57,1440221.26,6797315.43,777,370,1747,3890.379667204613
2023-03-01,566061,812094.27,428060.6,1550759.13,152,80,290,5350.074248286675
2023-03-01,566403,12789368.79,6091136.56,28747927.49,318,151,714,40243.90567677599
2023-03-01,566647,4741816.74,2258364.16,10658649.66,517,246,1163,9164.447537856206
2023-03-01,567251,3234988.48,1540713.63,7271602.86,418,199,940,7731.889656791536
2023-03-01,567434,992059.24,472483.88,1782969.93,90,43,161,11083.799460686914
2023-03-01,567538,2759800.14,1314397.84,6203474.88,413,196,927,6690.245491022575
2023-03-01,567554,4044341.24,1986977.35,9090865.45,193,95,435,20905.758924298974
2023-03-01,567623,1875505.89,1014609.58,4215760.08,350,189,786,5364.193511250654
2023-03-01,567645,2638219.53,1593278.61,4155440.7,1109,670,1747,2379.2554658793356
2023-03-01,567662,2296734.9,1416170.85,4094553.69,280,173,499,8199.213620356697
2023-03-01,567664,2691555.1,1442928.01,5547289.04,354,190,730,7600.93406249449
2023-03-01,567665,2550062.18,1214506.83,5732026.56,259,123,583,9838.443692888037
2023-03-02,100181,501093.43,238653.38,1126356.86,16,8,37,30756.037362286443
2023-03-02,100487,818746.87,389941.09,1840378.37,164,78,368,5003.394164301826
2023-03-02,100992,2002439.75,953693.12,3667769.56,232,110,424,8642.880357122443
2023-03-02,101020,847706.76,403733.46,1905474.1,240,114,540,3526.4746043975583
2023-03-02,101384,726844.12,346170.82,1633799.37,9,4,20,81987.42541622558
2023-03-02,101535,1180634.1,624774.16,2653828.14,146,77,327,8108.849064195236
2023-03-02,101954,726844.12,346170.82,1633799.37,22,11,50,32448.441098253432
2023-03-02,110365,613114.15,394807.94,953476.25,403,260,627,1520.7912544024462
2023-03-02,110409,2276107.19,1084031.73,5116231.03,181,86,406,12609.368728596402
2023-03-02,110435,1233065.51,587266.75,2374063.05,146,70,282,8420.863613999409
2023-03-02,110632,1758614.75,980269.35,2959405.69,226,126,380,7782.727399525774
2023-03-02,200181,717033.83,385118.97,1611747.48,60,32,134,11994.313772743704
2023-03-02,201184,2739087.58,1304533.18,6156917.71,113,54,254,24239.05544501833
2023-03-02,201351,6476267.56,4597847.03,11694563.54,1491,1058,2692,4343.828913208452
2023-03-02,201486,554249.88,263970.06,1245842.33,59,28,132,9447.895089685526
2023-03-02,201632,866163.41,412523.88,1946961.3,177,84,398,4888.217465267933
2023-03-02,201925,1245790.84,593327.38,2800287.15,122,58,274,10223.391686554089
2023-03-02,202502,1756515.4,1056123.08,3948292.67,357,214,802,4925.963174196305
2023-03-02,204586,5831308.46,3547434.6,11349235.18,51,31,99,114925.81437780592
2023-03-02,204934,1378304.11,656438.84,3005172.47,66,31,144,20839.808939428058
2023-03-02,204964,1931158.88,1288076.05,2946857.72,342,228,522,5642.042116574518
2023-03-02,205272,1146178.1,545885.32,2576377.64,74,35,166,15559.310103613318
2023-03-02,205582,2873756.44,1783317.76,6272808.41,138,86,302,20788.12546005629
2023-03-02,205611,1662032.89,791568.98,3735915.39,264,126,593,6300.150326133339
2023-03-02,205761,1389179.44,890278.83,3122595.72,405,259,909,3434.1161480686696
2023-03-02,206361,1219276.47,580699.29,2238573.16,116,55,213,10505.742830358338
2023-03-02,206363,1615216.6,769272.18,3153857.74,113,54,220,14312.772390310342
2023-03-02,206440,9064958.53,4878750.42,18173362.2,2155,1160,4320,4206.773328617142
2023-03-02,206471,3187780.84,1546476.75,7165490.15,833,404,1873,3826.5412005380563
2023-03-02,207288,654543.41,389050.57,1471282.14,213,127,480,3066.8244861662915
2023-03-02,207774,1062640.07,506099.1,2388601.07,87,41,195,12260.545693890897
2023-03-02,207802,686278.81,326851.03,1542616.48,56,27,127,12161.404190822628
2023-03-02,207966,2181282.28,1043993.89,4227926.92,64,30,123,34342.478538966505
2023-03-02,208532,1096334.81,522146.68,2464340.15,19,9,42,58105.97751937984
2023-03-02,210022,2298205.54,1094556.2,4213216.58,104,50,192,21992.525
2023-03-02,210413,1260870.91,600509.43,2834183.77,21,10,47,59865.244298884034
2023-03-02,212377,1526864.18,727192.74,3432083.41,36,17,82,42009.42932991578
2023-03-02,214099,797878.32,393372.01,1793469.55,118,58,265,6779.985977538586
2023-03-02,214104,854690.74,407059.93,1653703.22,89,42,172,9597.276106696936
2023-03-02,214781,1242950.99,775232.44,2183394.22,148,93,261,8378.659257920732
2023-03-02,215430,2954651.95,1407199.1,6641463.2,61,29,136,48774.620552645836
2023-03-02,215913,1282856.39,615257.03,2371289.31,57,27,105,22577.01560131613
2023-03-02,216158,666827.54,340787.23,1356064.11,203,104,412,3287.7802556969336
2023-03-02,216173,744788.11,476267.26,1349510.86,364,233,659,2046.4075523855204
2023-03-02,216424,2552451.72,1215644.93,5737397.75,360,171,809,7094.464883836265
2023-03-02,301577,3254624.14,1550065.52,7315739.86,214,102,480,15236.422483146187
2023-03-02,304080,1604235.48,991653.1,2344921.62,218,135,318,7371.324394765833
2023-03-02,304763,320246.79,152522.6,664412.94,82,39,170,3915.298689101155
2023-03-02,401131,677019.39,405887.32,1314349.94,247,148,480,2736.9203972791574
2023-03-02,401534,1010675.3,486517.86,1767769.34,296,142,517,3420.16930955647
2023-03-02,402018,1250684.74,671387.53,2586230.4,61,33,125,20623.2417056456
2023-03-02,402279,1250198.27,708077.64,2538921.79,279,158,567,4474.521479154262
2023-03-02,407120,850667.9,481293.86,1695729.77,116,66,232,7321.590889676138
2023-03-02,408789,720696.63,343242.92,1619981.09,155,74,348,4649.133776149978
2023-03-02,501098,1011589.93,481785.49,2273850.82,80,38,180,12648.441760239233
2023-03-02,502221,1736636.47,827100.16,3903609.42,114,54,256,15238.700101112234
2023-03-02,502280,1448241.8,901201.9,2866831.94,128,80,254,11290.826305756767
2023-03-02,502835,3946659.79,1879658.16,8871296.46,480,229,1080,8215.760258523138
2023-03-02,506012,1587266.76,904993.6,3548774.06,40,23,88,40146.46725813266
2023-03-02,506536,2477203.78,1535080.6,4391197.89,521,323,923,4758.28044653917
2023-03-02,506539,2192024.07,1221062.24,4500259.37,787,438,1615,2786.0294540190494
2023-03-02,507515,728626.18,386845.13,1371819.14,56,30,105,13108.208007458436
2023-03-02,507843,3238021.43,1855605.8,5601420.75,349,200,604,9267.394572216059
2023-03-02,508456,4057083.22,2002068.44,9119506.94,159,79,358,25458.78845406246
2023-03-02,508599,2236509.33,1065172.51,5027222.64,17,8,38,133989.8822544643
2023-03-02,509417,2282883.0,1279510.55,5131461.49,138,78,311,16505.57535420991
2023-03-02,509434,1090981.01,647216.83,1891380.65,484,287,840,2251.948052151027
2023-03-02,510003,4701475.76,3201912.25,7723426.64,727,495,1194,6467.065727351378
2023-03-02,511293,1613298.26,972505.35,3210985.68,234,141,466,6892.899118283148
2023-03-02,551180,1985096.71,945433.15,3607435.35,526,251,957,3770.590906279253
2023-03-02,551228,3862854.68,1839744.91,8682919.7,834,397,1875,4631.573516189545
2023-03-02,551732,1341093.68,926991.02,2407555.52,266,184,478,5035.437668209711
2023-03-02,551736,1057821.49,555250.21,2155729.72,298,156,606,3555.299895986295
2023-03-02,554973,1248233.25,594490.49,2805776.73,32,15,71,39505.5967189729
2023-03-02,555003,1121652.82,681969.76,1839906.5,368,224,603,3050.899327586458
2023-03-02,555421,1524316.28,725979.33,3426355.98,154,74,347,9875.315006883891
2023-03-02,558754,962480.74,458396.45,1941964.56,74,35,149,12995.143152099105
2023-03-02,558846,2429910.75,1528213.1,3965211.94,404,254,659,6019.161663393748
2023-03-02,558873,2254723.42,1073847.31,5068164.54,107,51,241,21004.911831732472
2023-03-02,560271,3723026.44,2378617.41,6523735.44,1450,926,2541,2567.607616209098
2023-03-02,562641,4604311.57,2192875.37,10349566.15,21,10,46,223424.51923908343
2023-03-02,563339,1273606.74,768091.92,2840127.35,229,138,510,5563.724251033785
2023-03-02,563342,2699519.86,1285688.28,6067977.3,245,117,551,11008.744115753449
2023-03-02,563689,1197137.36,570155.33,2690924.22,44,21,98,27359.00438158198
2023-03-02,564286,3970237.51,1890887.67,7779384.64,43,20,84,92780.03373926932
2023-03-02,564647,1717052.36,817773.0,3295245.84,159,76,306,10785.112817362817
2023-03-02,564895,3903851.38,1859270.11,8775071.89,147,70,331,26534.305091333074
2023-03-02,565724,1489632.88,709460.97,3348395.02,383,182,861,3890.379667204613
2023-03-02,566061,506347.99,266899.66,966912.23,95,50,181,5350.074248286675
2023-03-02,566403,6735085.05,3207689.45,15139116.08,167,80,376,40243.90567677599
2023-03-02,566647,2334007.0,1111607.3,5246377.79,255,121,572,9164.447537856206
2023-03-02,567251,1343343.74,639788.35,3019566.3,174,83,391,7731.889656791536
2023-03-02,567434,533266.17,253976.37,958407.85,48,23,86,11083.799460686914
2023-03-02,567538,1398079.16,665857.05,3142600.51,209,100,470,6690.245491022575
2023-03-02,567554,1369240.75,672705.54,3077777.82,65,32,147,20905.758924298974
2023-03-02,567623,1117065.19,604308.9,2510937.25,208,113,468,5364.193511250654
2023-03-02,567645,1107648.98,668933.58,1744650.13,466,281,733,2379.2554658793356
2023-03-02,567662,933336.69,575496.94,1663925.76,114,70,203,8199.213620356697
2023-03-02,567664,997406.79,534704.19,2055652.92,131,70,270,7600.93406249449
2023-03-02,567665,1381500.86,657961.27,3105335.63,140,67,316,9838.443692888037
2023-03-03,100181,466228.01,222048.19,1047986.64,15,7,34,30756.037362286443
2023-03-03,100487,750717.06,357540.56,1687460.72,150,71,337,5003.394164301826
2023-03-03,100992,1861132.0,886393.2,3408942.97,215,103,394,8642.880357122443
2023-03-03,101020,807497.24,384583.12,1815091.44,229,109,515,3526.4746043975583
2023-03-03,101384,676872.77,322371.29,1521473.89,8,4,19,81987.42541622558
2023-03-03,101535,1125581.8,595641.28,2530081.32,139,73,312,8108.849064195236
2023-03-03,101954,676872.77,322371.29,1521473.89,21,10,47,32448.441098253432
2023-03-03,110365,570078.2,367095.4,886549.84,375,241,583,1520.7912544024462
2023-03-03,110409,2197590.69,1046636.77,4939741.34,174,83,392,12609.368728596402
2023-03-03,110435,1183566.96,563692.07,2278761.81,141,67,271,8420.863613999409
2023-03-03,110632,1604202.02,894198.4,2699559.43,206,115,347,7782.727399525774
2023-03-03,200181,672291.75,361087.96,1511176.57,56,30,126,11994.313772743704
2023-03-03,201184,2717578.99,1294289.48,6108570.68,112,53,252,24239.05544501833
2023-03-03,201351,6633480.55,4709460.87,11978451.88,1527,1084,2758,4343.828913208452
2023-03-03,201486,516445.81,245965.51,1160866.24,55,26,123,9447.895089685526
2023-03-03,201632,800389.08,381197.88,1799113.74,164,78,368,4888.217465267933
2023-03-03,201925,1162849.67,553825.46,2613852.14,114,54,256,10223.391686554089
2023-03-03,202502,1667934.88,1002863.48,3749181.91,339,204,761,4925.963174196305
2023-03-03,204586,5801972.29,3529588.02,11292139.22,50,31,98,114925.81437780592
2023-03-03,204934,1278115.24,608722.53,2786727.06,61,29,134,20839.808939428058
2023-03-03,204964,1801251.58,1201428.21,2748625.2,319,213,487,5642.042116574518
2023-03-03,205272,1079023.54,513902.01,2425428.17,69,33,156,15559.310103613318
2023-03-03,205582,2718992.36,1687278.52,5934991.42,131,81,285,20788.12546005629
2023-03-03,205611,1580545.77,752759.49,3552749.16,251,119,564,6300.150326133339
2023-03-03,205761,1325714.2,849606.04,2979938.42,386,247,868,3434.1161480686696
2023-03-03,206361,1151872.13,548596.98,2114820.09,110,52,201,10505.742830358338
2023-03-03,206363,1525467.55,726527.88,2978614.45,107,51,208,14312.772390310342
2023-03-03,206440,8912368.87,4796626.72,17867451.35,2119,1140,4247,4206.773328617142
2023-03-03,206471,2982160.37,1446724.95,6703296.75,779,378,1752,3826.5412005380563
2023-03-03,207288,626036.81,372106.84,1407204.97,204,121,459,3066.8244861662915
2023-03-03,207774,1000011.67,476271.32,2247825.25,82,39,183,12260.545693890897
2023-03-03,207802,680530.72,324113.32,1529695.88,56,27,126,12161.404190822628
2023-03-03,207966,2055497.3,983791.29,3984120.52,60,29,116,34342.478538966505
2023-03-03,208532,1035821.54,493326.13,2328318.52,18,8,40,58105.97751937984
2023-03-03,210022,2166001.8,1031592.17,3970852.3,98,47,181,21992.525
2023-03-03,210413,1197821.55,570481.14,2692461.53,20,10,45,59865.244298884034
2023-03-03,212377,1440899.95,686251.01,3238853.03,34,16,77,42009.42932991578
2023-03-03,214099,769505.43,379383.36,1729693.18,113,56,255,6779.985977538586
2023-03-03,214104,864795.5,411872.38,1673254.17,90,43,174,9597.276106696936
