date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2021-07-01,all,258929879.48,136102243.44,535006879.52,33210,18346,66033,7796.744338452273
2021-07-02,all,164293972.95,86178353.51,339624838.93,20906,11514,41590,7858.699557543288
2021-07-03,all,167711307.08,87951961.37,346524698.48,21470,11810,42724,7811.425574289708
2021-07-04,all,325306235.2,171748028.24,668952427.11,44496,24574,88201,7310.909636821287
2021-07-05,all,660423494.58,348695957.57,1359405602.6100001,89352,49299,177340,7391.255870937416
2021-07-06,all,263973940.94,138975002.45,544506565.7,34539,19059,68601,7642.77891484988
2021-07-07,all,249632644.83,131456442.53,514847283.95,32754,18081,65040,7621.439971606522
2021-07-08,all,246582236.61,130087340.11,507938155.73,32535,17978,64557,7578.9837593361
2021-07-09,all,216981319.91,114441921.71,446996138.17,28932,15978,57455,7499.699983063735
2021-07-10,all,638043728.45,336129797.79,1314363380.56,86735,47757,172470,7356.24290597798
2021-07-11,all,250627256.71,132245770.13,515947727.24,33537,18545,66473,7473.1567137788115
2021-07-12,all,202321963.54,106189262.32000001,418258068.98,25577,14102,50829,7910.308618680846
2021-07-13,all,180453093.92,94696940.58,373149557.16,22753,12547,45221,7930.958287698325
2021-07-14,all,176120766.16,92449692.34,364118025.01,22358,12326,44436,7877.304148850523
2021-07-15,all,293255087.4,154612737.63,604359520.6,38434,21260,76188,7630.095420721236
2021-07-16,all,176240768.39,92592483.37,364245955.26,22365,12347,44420,7880.2042651464335
2021-07-17,all,181879588.03,95511283.34,375707928.79,23187,12784,46070,7844.032778280934
2021-07-18,all,285257259.41,150486224.74,587661726.16,37534,20777,74324,7599.969611818618
2021-07-19,all,284991338.33,150138331.17,587639756.5600001,37784,20912,74818,7542.646049385983
2021-07-20,all,562157951.13,297230305.28,1156524822.15,76189,42192,150866,7378.466066361286
2021-07-21,all,251028424.18,132442257.13,517148255.5,33077,18302,65545,7589.213779363304
2021-07-22,all,240219891.81,126810784.52,494849967.22,31627,17514,62676,7595.405565181649
2021-07-23,all,226250092.3,119311908.56,466238898.6,29898,16533,59307,7567.398899591946
2021-07-24,all,225240959.06,118843669.84,463713614.13,30199,16684,59852,7458.556874730952
2021-07-25,all,673044671.45,356331592.63,1382972486.77,92793,51408,183413,7253.183660944253
2021-07-26,all,223688017.6,118296563.28,460687152.54,29595,16426,58532,7558.304362223348
2021-07-27,all,183904431.97,96568069.24,380417103.03,23026,12730,45671,7986.816293320594
2021-07-28,all,180306205.91,94787453.45,372616013.06,22843,12624,45320,7893.280475856936
2021-07-29,all,178519489.1,93902428.1,368978683.86,22553,12470,44758,7915.55398838292
2021-07-30,all,290137070.04,153161246.47,598095295.54,38034,21083,75328,7628.360678340433
2021-07-31,all,194108372.79,102056811.96,400886820.8,24799,13695,49206,7827.266131295616
2021-07-01,100181,850303.85,404970.31,1911311.53,28,13,62,30756.037362286443
2021-07-01,100487,1138763.19,542353.72,2559710.25,228,108,512,5003.394164301826
2021-07-01,100992,3385665.33,1612475.8,6201355.05,392,187,718,8642.880357122443
2021-07-01,101020,1222140.57,582063.62,2747126.46,347,165,779,3526.4746043975583
2021-07-01,101384,1096686.15,522313.7,2465129.61,13,6,30,81987.42541622558
2021-07-01,101535,2366244.09,1252181.24,5318840.45,292,154,656,8108.849064195236
2021-07-01,101954,1096686.15,522313.7,2465129.61,34,16,76,32448.441098253432
2021-07-01,110365,1114854.21,717897.83,1733750.75,733,472,1140,1520.7912544024462
2021-07-01,110409,4686839.0,2232180.17,10535070.84,372,177,835,12609.368728596402
2021-07-01,110435,3411001.37,1624542.57,6567317.49,405,193,780,8420.863613999409
2021-07-01,110632,2169350.13,1209217.45,3650593.38,279,155,469,7782.727399525774
2021-07-01,200181,905457.53,486321.38,2035285.97,75,41,170,11994.313772743704
2021-07-01,201184,1809776.07,861934.24,4068012.6,75,36,168,24239.05544501833
2021-07-01,201351,4210756.36,2989440.08,7603601.29,969,688,1750,4343.828913208452
2021-07-01,201486,722958.51,344320.42,1625065.45,77,36,172,9447.895089685526
2021-07-01,201632,920485.67,438395.63,2069066.76,188,90,423,4888.217465267933
2021-07-01,201925,2049152.31,975940.72,4606081.93,200,95,451,10223.391686554089
2021-07-01,202502,1511491.81,908800.33,3397529.45,307,184,690,4925.963174196305
2021-07-01,204586,4296203.79,2613564.65,8361524.24,37,23,73,114925.81437780592
2021-07-01,204934,1527905.85,727689.02,3331355.7,73,35,160,20839.808939428058
2021-07-01,204964,1670514.49,1114227.19,2549126.64,296,197,452,5642.042116574518
2021-07-01,205272,1284387.35,611709.6,2887044.59,83,39,186,15559.310103613318
2021-07-01,205582,3648791.49,2264268.28,7964548.2,176,109,383,20788.12546005629
2021-07-01,205611,1434341.01,683127.35,3224110.33,228,108,512,6300.150326133339
2021-07-01,205761,2327777.0,1491794.78,5232373.94,678,434,1524,3434.1161480686696
2021-07-01,206361,1101203.73,524465.39,2021793.39,105,50,192,10505.742830358338
2021-07-01,206363,2395099.14,1140703.2,4676649.22,167,80,327,14312.772390310342
2021-07-01,206440,9101065.45,4898183.02,18245748.82,2163,1164,4337,4206.773328617142
2021-07-01,206471,4464823.92,2166004.23,10036025.79,1167,566,2623,3826.5412005380563
2021-07-01,207288,914227.9,543402.88,2055000.13,298,177,670,3066.8244861662915
2021-07-01,207774,1614318.66,768844.4,3628663.5,132,63,296,12260.545693890897
2021-07-01,207802,950402.32,452644.07,2136313.15,78,37,176,12161.404190822628
2021-07-01,207966,3073935.69,1471231.02,5958135.35,90,43,173,34342.478538966505
2021-07-01,208532,1400199.88,666867.01,3147367.57,24,11,54,58105.97751937984
2021-07-01,210022,3225127.18,1536017.16,5912508.62,147,70,269,21992.525
2021-07-01,210413,1627114.28,774938.62,3657425.07,27,13,61,59865.244298884034
2021-07-01,212377,1787616.53,851380.35,4018202.16,43,20,96,42009.42932991578
2021-07-01,214099,1042962.97,514204.12,2344370.61,154,76,346,6779.985977538586
2021-07-01,214104,1441233.97,686409.97,2788579.05,150,72,291,9597.276106696936
2021-07-01,214781,1702068.02,1061585.38,2989888.93,203,127,357,8378.659257920732
2021-07-01,215430,3915203.28,1864676.62,8800588.78,80,38,180,48774.620552645836
2021-07-01,215913,1364449.25,654388.95,2522108.61,60,29,112,22577.01560131613
2021-07-01,216158,1545949.6,790069.32,3143851.4,470,240,956,3287.7802556969336
2021-07-01,216173,702586.23,449280.76,1273044.15,343,220,622,2046.4075523855204
2021-07-01,216424,4197905.8,1999318.24,9436047.15,592,282,1330,7094.464883836265
2021-07-01,301577,2219815.88,1057221.95,4989699.48,146,69,327,15236.422483146187
2021-07-01,304080,2136704.7,1320797.5,3123235.64,290,179,424,7371.324394765833
2021-07-01,304763,538009.39,256235.49,1116203.04,137,65,285,3915.298689101155
2021-07-01,401131,517865.47,310471.13,1005372.34,189,113,367,2736.9203972791574
2021-07-01,401534,1476577.75,710793.26,2582677.5,432,208,755,3420.16930955647
2021-07-01,402018,1883823.53,1011266.36,3895467.35,91,49,189,20623.2417056456
2021-07-01,402279,1828100.71,1035385.8,3712535.17,409,231,830,4474.521479154262
2021-07-01,407120,1425158.61,806331.03,2840925.17,195,110,388,7321.590889676138
2021-07-01,408789,1092658.62,520395.83,2456077.11,235,112,528,4649.133776149978
2021-07-01,501098,1608412.58,766031.52,3615387.49,127,61,286,12648.441760239233
2021-07-01,502221,2411267.35,1148403.78,5420043.97,158,75,356,15238.700101112234
2021-07-01,502280,2202638.37,1370642.64,4360179.78,195,121,386,11290.826305756767
2021-07-01,502835,4019316.34,1914262.14,9034614.41,489,233,1100,8215.760258523138
2021-07-01,506012,2267706.96,1292952.5,5070086.75,56,32,126,40146.46725813266
2021-07-01,506536,3587101.09,2222864.97,6358650.23,754,467,1336,4758.28044653917
2021-07-01,506539,3292313.75,1833976.21,6759171.59,1182,658,2426,2786.0294540190494
2021-07-01,507515,1443974.67,766640.49,2718639.43,110,58,207,13108.208007458436
2021-07-01,507843,5796662.76,3321880.65,10027588.51,625,358,1082,9267.394572216059
2021-07-01,508456,4663217.39,2301180.23,10481974.0,183,90,412,25458.78845406246
2021-07-01,508599,1842034.81,877297.84,4140523.28,14,7,31,133989.8822544643
2021-07-01,509417,2883119.93,1615931.45,6480673.39,175,98,393,16505.57535420991
2021-07-01,509434,1306810.34,775256.02,2265553.35,580,344,1006,2251.948052151027
2021-07-01,510003,7933792.72,5403262.6,13033368.01,1227,836,2015,6467.065727351378
2021-07-01,511293,2032598.35,1225261.72,4045528.36,295,178,587,6892.899118283148
2021-07-01,551180,2703001.61,1287346.61,4912054.5,717,341,1303,3770.590906279253
2021-07-01,551228,3046830.21,1451100.49,6848660.85,658,313,1479,4631.573516189545
2021-07-01,551732,1666010.2,1151579.64,2990851.41,331,229,594,5035.437668209711
2021-07-01,551736,1816277.21,953363.21,3701383.07,511,268,1041,3555.299895986295
2021-07-01,554973,1911877.61,910561.6,4297516.21,48,23,109,39505.5967189729
2021-07-01,555003,1383243.87,841018.32,2269008.28,453,276,744,3050.899327586458
2021-07-01,555421,3452491.11,1644302.71,7760505.25,350,167,786,9875.315006883891
2021-07-01,558754,2415272.52,1150311.36,4873213.46,186,89,375,12995.143152099105
2021-07-01,558846,3444285.42,2166170.67,5620503.52,572,360,934,6019.161663393748
2021-07-01,558873,3115919.26,1484005.0,7003959.07,148,71,333,21004.911831732472
2021-07-01,560271,6120321.1,3910233.34,10724435.15,2384,1523,4177,2567.607616209098
2021-07-01,562641,4530055.2,2157509.49,10182652.04,20,10,46,223424.51923908343
2021-07-01,563339,1934910.36,1166913.56,4314826.3,348,210,776,5563.724251033785
2021-07-01,563342,2839342.1,1352280.92,6382269.38,258,123,580,11008.744115753449
2021-07-01,563689,1626375.25,774586.58,3655764.66,59,28,134,27359.00438158198
2021-07-01,564286,5589106.84,2661899.33,10951438.69,60,29,118,92780.03373926932
2021-07-01,564647,1823159.57,868308.3,3498879.61,169,81,324,10785.112817362817
2021-07-01,564895,6116759.63,2913202.42,13749244.96,231,110,518,26534.305091333074
2021-07-01,565724,2705412.03,1288494.74,6081221.45,695,331,1563,3890.379667204613
2021-07-01,566061,478040.12,251978.26,912856.02,89,47,171,5350.074248286675
2021-07-01,566403,19596862.08,9333311.46,44049801.81,487,232,1095,40243.90567677599
2021-07-01,566647,8153655.5,3883305.55,18327776.32,890,424,2000,9164.447537856206
2021-07-01,567251,1443499.27,687489.03,3244695.59,187,89,420,7731.889656791536
2021-07-01,567434,690941.69,329071.65,1241788.95,62,30,112,11083.799460686914
2021-07-01,567538,2852526.47,1358560.35,6411905.74,426,203,958,6690.245491022575
2021-07-01,567554,1062346.05,521928.59,2387940.05,51,25,114,20905.758924298974
2021-07-01,567623,1879029.85,1016516.04,4223681.08,350,190,787,5364.193511250654
2021-07-01,567645,1389433.62,839109.72,2188487.31,584,353,920,2379.2554658793356
2021-07-01,567662,1303617.02,803812.48,2324051.39,159,98,283,8199.213620356697
2021-07-01,567664,1672674.9,896711.9,3447379.06,220,118,454,7600.93406249449
2021-07-01,567665,1330892.66,633858.52,2991579.03,135,64,304,9838.443692888037
2021-07-02,100181,557540.32,265537.32,1253238.53,18,9,41,30756.037362286443
2021-07-02,100487,802966.52,382425.4,1804907.09,160,76,361,5003.394164301826
2021-07-02,100992,2020937.53,962503.09,3701651.09,234,111,428,8642.880357122443
2021-07-02,101020,828862.8,394758.77,1863116.89,235,112,528,3526.4746043975583
2021-07-02,101384,714775.15,340422.73,1606670.74,9,4,20,81987.42541622558
2021-07-02,101535,1750804.89,926499.83,3935457.11,216,114,485,8108.849064195236
2021-07-02,101954,714775.15,340422.73,1606670.74,22,10,50,32448.441098253432
2021-07-02,110365,856877.13,551776.41,1332561.01,563,363,876,1520.7912544024462
2021-07-02,110409,3873773.69,1844945.35,8707463.92,307,146,691,12609.368728596402
2021-07-02,110435,2667331.87,1270358.42,5135505.35,317,151,610,8420.863613999409
2021-07-02,110632,1315126.27,733064.62,2213101.12,169,94,284,7782.727399525774
2021-07-02,200181,622733.81,334470.45,1399780.57,52,28,117,11994.313772743704
2021-07-02,201184,994041.72,473427.83,2234405.28,41,20,92,24239.05544501833
2021-07-02,201351,2326419.84,1651649.31,4200948.39,536,380,967,4343.828913208452
2021-07-02,201486,315010.82,150028.89,708081.25,33,16,75,9447.895089685526
2021-07-02,201632,599875.49,285700.09,1348399.69,123,58,276,4888.217465267933
2021-07-02,201925,1238823.79,590009.25,2784626.81,121,58,272,10223.391686554089
2021-07-02,202502,940467.54,565465.8,2113981.37,191,115,429,4925.963174196305
2021-07-02,204586,2592882.32,1577361.33,5046420.01,23,14,44,114925.81437780592
2021-07-02,204934,922288.95,439254.58,2010904.29,44,21,96,20839.808939428058
2021-07-02,204964,1047785.31,698868.97,1598870.94,186,124,283,5642.042116574518
2021-07-02,205272,771885.75,367622.66,1735043.73,50,24,112,15559.310103613318
2021-07-02,205582,2100456.47,1303444.36,4584857.02,101,63,221,20788.12546005629
2021-07-02,205611,871130.83,414889.79,1958127.15,138,66,311,6300.150326133339
2021-07-02,205761,1484636.93,951454.5,3337164.9,432,277,972,3434.1161480686696
2021-07-02,206361,722792.16,344241.21,1327035.41,69,33,126,10505.742830358338
2021-07-02,206363,1702180.01,810689.69,3323661.13,119,57,232,14312.772390310342
2021-07-02,206440,6454775.96,3473952.87,12940487.15,1534,826,3076,4206.773328617142
2021-07-02,206471,2755575.14,1336802.35,6193978.4,720,349,1619,3826.5412005380563
2021-07-02,207288,692835.37,411810.71,1557354.62,226,134,508,3066.8244861662915
2021-07-02,207774,1029362.11,490249.82,2313798.68,84,40,189,12260.545693890897
2021-07-02,207802,722536.29,344119.25,1624116.5,59,28,134,12161.404190822628
2021-07-02,207966,2241437.59,1072785.12,4344524.1,65,31,127,34342.478538966505
2021-07-02,208532,1079455.4,514107.45,2426398.59,19,9,42,58105.97751937984
2021-07-02,210022,1894741.76,902400.5,3473561.47,86,41,158,21992.525
2021-07-02,210413,1063035.76,506287.19,2389490.31,18,8,40,59865.244298884034
2021-07-02,212377,1359002.68,647246.16,3054764.72,32,15,73,42009.42932991578
2021-07-02,214099,790304.62,389637.83,1776445.73,117,57,262,6779.985977538586
2021-07-02,214104,1015707.97,483746.99,1965248.35,106,50,205,9597.276106696936
2021-07-02,214781,1295758.48,808168.69,2276156.8,155,96,272,8378.659257920732
2021-07-02,215430,2762732.73,1315794.59,6210067.34,57,27,127,48774.620552645836
2021-07-02,215913,1018529.58,488486.3,1882695.85,45,22,83,22577.01560131613
2021-07-02,216158,1285955.08,657197.08,2615124.86,391,200,795,3287.7802556969336
2021-07-02,216173,482991.38,308857.0,875151.32,236,151,428,2046.4075523855204
2021-07-02,216424,2555868.04,1217272.02,5745077.27,360,172,810,7094.464883836265
2021-07-02,301577,1283391.94,611235.51,2884806.92,84,40,189,15236.422483146187
2021-07-02,304080,1351605.47,835490.58,1975650.78,183,113,268,7371.324394765833
2021-07-02,304763,374868.05,178536.63,777734.94,96,46,199,3915.298689101155
2021-07-02,401131,392515.62,235321.37,762020.66,143,86,278,2736.9203972791574
2021-07-02,401534,1126942.13,542485.96,1971131.29,329,159,576,3420.16930955647
2021-07-02,402018,1102887.52,592047.49,2280607.42,53,29,111,20623.2417056456
2021-07-02,402279,1444735.81,818258.28,2933991.64,323,183,656,4474.521479154262
2021-07-02,407120,1067783.48,604133.92,2128530.05,146,83,291,7321.590889676138
2021-07-02,408789,843547.51,401752.54,1896125.03,181,86,408,4649.133776149978
2021-07-02,501098,1149754.9,547588.61,2584417.6,91,43,204,12648.441760239233
2021-07-02,502221,1781396.63,848418.02,4004220.75,117,56,263,15238.700101112234
2021-07-02,502280,1579576.04,982927.55,3126811.69,140,87,277,11290.826305756767
2021-07-02,502835,2520025.92,1200201.79,5664511.42,307,146,689,8215.760258523138
2021-07-02,506012,1528796.89,871656.69,3418048.62,38,22,85,40146.46725813266
2021-07-02,506536,2205563.18,1366749.3,3909676.19,464,287,822,4758.28044653917
2021-07-02,506539,1578748.87,879438.67,3241196.2,567,316,1163,2786.0294540190494
2021-07-02,507515,959629.58,509490.0,1806739.94,73,39,138,13108.208007458436
2021-07-02,507843,3462037.85,1983982.33,5988944.06,374,214,646,9267.394572216059
2021-07-02,508456,3502005.13,1728151.14,7871802.6,138,68,309,25458.78845406246
2021-07-02,508599,828847.89,394751.81,1863083.13,6,3,14,133989.8822544643
2021-07-02,509417,1952883.43,1094552.64,4389689.08,118,66,266,16505.57535420991
2021-07-02,509434,903101.54,535758.77,1565663.16,401,238,695,2251.948052151027
2021-07-02,510003,4708155.01,3206461.18,7734398.87,728,496,1196,6467.065727351378
2021-07-02,511293,1325894.04,799256.64,2638958.18,192,116,383,6892.899118283148
2021-07-02,551180,1853416.44,882718.39,3368138.42,492,234,893,3770.590906279253
2021-07-02,551228,1605870.11,764820.85,3609673.15,347,165,779,4631.573516189545
2021-07-02,551732,1046700.82,723500.59,1879055.78,208,144,373,5035.437668209711
2021-07-02,551736,1213248.31,636833.68,2472473.36,341,179,695,3555.299895986295
2021-07-02,554973,1469083.83,699674.08,3302204.54,37,18,84,39505.5967189729
2021-07-02,555003,970506.45,590072.15,1591973.14,318,193,522,3050.899327586458
2021-07-02,555421,2204908.06,1050121.8,4956189.52,223,106,502,9875.315006883891
2021-07-02,558754,1382879.95,658618.08,2790189.74,106,51,215,12995.143152099105
2021-07-02,558846,2387980.03,1501841.9,3896787.84,397,250,647,6019.161663393748
2021-07-02,558873,2192146.78,1044044.23,4927504.81,104,50,235,21004.911831732472
2021-07-02,560271,2829603.91,1807815.78,4958221.16,1102,704,1931,2567.607616209098
2021-07-02,562641,2624167.4,1249800.57,5898600.11,12,6,26,223424.51923908343
2021-07-02,563339,1336697.96,806141.27,2980820.29,240,145,536,5563.724251033785
2021-07-02,563342,1330609.71,633723.66,2990942.65,121,58,272,11008.744115753449
2021-07-02,563689,1114571.61,530832.18,2505332.63,41,19,92,27359.00438158198
