date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2019-06-01,210022,3188537.22,1518590.63,5845429.62,145,69,266,21992.525
2019-06-01,210413,1683210.45,801655.2,3783518.09,28,13,63,59865.244298884034
2019-06-01,212377,1822563.39,868024.25,4096755.47,43,21,98,42009.42932991578
2019-06-01,214099,1083531.35,534205.42,2435560.42,160,79,359,6779.985977538586
2019-06-01,214104,1562627.08,744225.72,3023457.65,163,78,315,9597.276106696936
2019-06-01,214781,1754917.72,1094547.91,3082726.0,209,131,368,8378.659257920732
2019-06-01,215430,4619902.23,2200300.52,10384610.6,95,45,213,48774.620552645836
2019-06-01,215913,1528398.17,733018.79,2825159.21,68,32,125,22577.01560131613
2019-06-01,216158,1554229.58,794300.6,3160689.29,473,242,961,3287.7802556969336
2019-06-01,216173,789662.21,504962.7,1430819.9,386,247,699,2046.4075523855204
2019-06-01,216424,4681417.74,2229598.1,10522884.69,660,314,1483,7094.464883836265
2019-06-01,301577,1915151.63,912120.88,4304875.34,126,60,283,15236.422483146187
2019-06-01,304080,2130050.93,1316684.34,3113509.66,289,179,422,7371.324394765833
2019-06-01,304763,650374.85,309751.11,1349326.48,166,79,345,3915.298689101155
2019-06-01,401131,535124.9,320818.5,1038879.56,196,117,380,2736.9203972791574
2019-06-01,401534,1640050.94,789485.69,2868607.96,480,231,839,3420.16930955647
2019-06-01,402018,1781875.58,956538.94,3684653.74,86,46,179,20623.2417056456
2019-06-01,402279,1814918.48,1027919.53,3685764.35,406,230,824,4474.521479154262
2019-06-01,407120,1467885.21,830504.92,2926096.74,200,113,400,7321.590889676138
2019-06-01,408789,1247749.81,594260.18,2804690.15,268,128,603,4649.133776149978
2019-06-01,501098,1698957.98,809155.3,3818915.65,134,64,302,12648.441760239233
2019-06-01,502221,2285462.75,1088487.34,5137260.23,150,71,337,15238.700101112234
2019-06-01,502280,2096285.39,1304461.96,4149651.27,186,116,368,11290.826305756767
2019-06-01,502835,3294010.91,1568824.13,7404273.61,401,191,901,8215.760258523138
2019-06-01,506012,2375733.7,1354545.03,5311610.45,59,34,132,40146.46725813266
2019-06-01,506536,3219158.83,1994857.36,5706419.78,677,419,1199,4758.28044653917
2019-06-01,506539,4116590.75,2293137.93,8451424.46,1478,823,3034,2786.0294540190494
2019-06-01,507515,1554533.99,825338.94,2926794.77,119,63,223,13108.208007458436
2019-06-01,507843,6295177.77,3607563.59,10889964.68,679,389,1175,9267.394572216059
2019-06-01,508456,5295588.09,2613239.43,11903416.37,208,103,468,25458.78845406246
2019-06-01,508599,2156887.21,1027251.11,4848248.05,16,8,36,133989.8822544643
2019-06-01,509417,2480668.55,1390365.52,5576044.01,150,84,338,16505.57535420991
2019-06-01,509434,1296971.29,769419.02,2248495.75,576,342,998,2251.948052151027
2019-06-01,510003,9136407.23,6222296.16,15008983.02,1413,962,2321,6467.065727351378
2019-06-01,511293,1888427.64,1138354.87,3758582.28,274,165,545,6892.899118283148
2019-06-01,551180,2707565.98,1289520.64,4920349.21,718,342,1305,3770.590906279253
2019-06-01,551228,2794590.98,1330967.46,6281678.12,603,287,1356,4631.573516189545
2019-06-01,551732,1644693.2,1136845.11,2952582.87,327,226,586,5035.437668209711
2019-06-01,551736,1983767.25,1041278.66,4042710.3,558,293,1137,3555.299895986295
2019-06-01,554973,1938589.07,923283.33,4357557.98,49,23,110,39505.5967189729
2019-06-01,555003,1348435.65,819854.86,2211910.46,442,269,725,3050.899327586458
2019-06-01,555421,3486556.11,1660526.61,7837076.34,353,168,794,9875.315006883891
2019-06-01,558754,2666545.85,1269984.04,5380198.61,205,98,414,12995.143152099105
2019-06-01,558846,3405238.03,2141613.25,5556784.65,566,356,923,6019.161663393748
2019-06-01,558873,3091067.77,1472169.1,6948098.0,147,70,331,21004.911831732472
2019-06-01,560271,7275847.64,4648491.81,12749225.85,2834,1810,4965,2567.607616209098
2019-06-01,562641,4618960.91,2199852.3,10382494.6,21,10,46,223424.51923908343
2019-06-01,563339,1909945.82,1151857.92,4259156.07,343,207,766,5563.724251033785
2019-06-01,563342,2885053.97,1374051.83,6485020.28,262,125,589,11008.744115753449
2019-06-01,563689,1583536.34,754183.71,3559470.83,58,28,130,27359.00438158198
2019-06-01,564286,4237130.81,2017999.8,8302342.54,46,22,89,92780.03373926932
2019-06-01,564647,1780500.84,847991.4,3417011.91,165,79,317,10785.112817362817
2019-06-01,564895,5253457.01,2502040.95,11808714.12,198,94,445,26534.305091333074
2019-06-01,565724,2391868.89,1139164.96,5376439.73,615,293,1382,3890.379667204613
2019-06-01,566061,541021.08,285176.22,1033123.46,101,53,193,5350.074248286675
2019-06-01,566403,24058542.55,11458256.43,54078761.74,598,285,1344,40243.90567677599
2019-06-01,566647,8909844.42,4243452.49,20027537.0,972,463,2185,9164.447537856206
2019-06-01,567251,1501538.68,715131.12,3375156.71,194,92,437,7731.889656791536
2019-06-01,567434,1194390.64,568847.31,2146608.51,108,51,194,11083.799460686914
2019-06-01,567538,3083679.31,1468650.35,6931490.37,461,220,1036,6690.245491022575
2019-06-01,567554,857564.38,421319.72,1927632.23,41,20,92,20905.758924298974
2019-06-01,567623,1919143.17,1038216.36,4313847.87,358,194,804,5364.193511250654
2019-06-01,567645,1421665.98,858575.29,2239256.0,598,361,941,2379.2554658793356
2019-06-01,567662,1348318.27,831375.38,2403743.08,164,101,293,8199.213620356697
2019-06-01,567664,1755516.56,941122.83,3618115.67,231,124,476,7600.93406249449
2019-06-01,567665,1297578.47,617992.07,2916695.42,132,63,296,9838.443692888037
2019-06-02,100181,695907.64,331436.87,1564260.0,23,11,51,30756.037362286443
2019-06-02,100487,997769.28,475203.23,2242784.14,199,95,448,5003.394164301826
2019-06-02,100992,3065043.07,1459774.46,5614087.04,355,169,650,8642.880357122443
2019-06-02,101020,1179638.41,561821.16,2651589.7,335,159,752,3526.4746043975583
2019-06-02,101384,944072.76,449629.52,2122085.97,12,5,26,81987.42541622558
2019-06-02,101535,3404547.75,1801636.28,7652738.21,420,222,944,8108.849064195236
2019-06-02,101954,944072.76,449629.52,2122085.97,29,14,65,32448.441098253432
2019-06-02,110365,1082997.13,697383.93,1684208.79,712,459,1107,1520.7912544024462
2019-06-02,110409,5561261.58,2648637.65,12500596.92,441,210,991,12609.368728596402
2019-06-02,110435,3257924.4,1551637.39,6272593.16,387,184,745,8420.863613999409
2019-06-02,110632,1868040.53,1041264.48,3143548.23,240,134,404,7782.727399525774
2019-06-02,200181,811844.69,436041.83,1824863.52,68,36,152,11994.313772743704
2019-06-02,201184,1272128.19,605870.85,2859487.9,52,25,118,24239.05544501833
2019-06-02,201351,2461069.11,1747244.08,4444091.8,567,402,1023,4343.828913208452
2019-06-02,201486,469476.15,223595.36,1055287.86,50,24,112,9447.895089685526
2019-06-02,201632,696129.46,331542.43,1564758.92,142,68,320,4888.217465267933
2019-06-02,201925,1390028.88,662022.76,3124504.83,136,65,306,10223.391686554089
2019-06-02,202502,1297371.09,780058.0,2916228.9,263,158,592,4925.963174196305
2019-06-02,204586,3597610.62,2188580.44,7001881.08,31,19,61,114925.81437780592
2019-06-02,204934,1129476.04,537930.7,2462642.82,54,26,118,20839.808939428058
2019-06-02,204964,1398258.56,932633.34,2133676.9,248,165,378,5642.042116574518
2019-06-02,205272,869463.1,414095.46,1954377.81,56,27,126,15559.310103613318
2019-06-02,205582,2434046.55,1510454.78,5313014.18,117,73,256,20788.12546005629
2019-06-02,205611,1074601.4,511795.72,2415487.73,171,81,383,6300.150326133339
2019-06-02,205761,1823927.05,1168894.28,4099820.89,531,340,1194,3434.1161480686696
2019-06-02,206361,1018010.85,484843.4,1869052.33,97,46,178,10505.742830358338
2019-06-02,206363,2322955.69,1106343.77,4535782.56,162,77,317,14312.772390310342
2019-06-02,206440,9591031.61,5161882.28,19228029.54,2280,1227,4571,4206.773328617142
2019-06-02,206471,3716660.65,1803050.13,8354305.07,971,471,2183,3826.5412005380563
2019-06-02,207288,852664.12,506810.45,1916617.49,278,165,625,3066.8244861662915
2019-06-02,207774,1317797.46,627621.62,2962143.47,107,51,242,12260.545693890897
2019-06-02,207802,894825.05,426174.37,2011386.24,74,35,165,12161.404190822628
2019-06-02,207966,2679409.44,1282404.73,5193434.46,78,37,151,34342.478538966505
2019-06-02,208532,1309253.59,623552.47,2942938.61,23,11,51,58105.97751937984
2019-06-02,210022,2473862.35,1178215.72,4535242.1,112,54,206,21992.525
2019-06-02,210413,1308555.78,623220.12,2941369.89,22,10,49,59865.244298884034
2019-06-02,212377,1696491.69,807980.5,3813371.79,40,19,91,42009.42932991578
2019-06-02,214099,945076.63,465943.94,2124342.0,139,69,313,6779.985977538586
2019-06-02,214104,1184794.92,564277.1,2292406.67,123,59,239,9597.276106696936
2019-06-02,214781,1446104.69,901940.2,2540258.43,173,108,303,8378.659257920732
2019-06-02,215430,3490383.76,1662349.88,7845680.28,72,34,161,48774.620552645836
2019-06-02,215913,1259123.93,603875.17,2327420.79,56,27,103,22577.01560131613
2019-06-02,216158,1270423.38,649259.48,2583539.72,386,197,786,3287.7802556969336
2019-06-02,216173,705730.3,451291.15,1278740.66,345,221,625,2046.4075523855204
2019-06-02,216424,3488014.36,1661221.4,7840354.28,492,234,1105,7094.464883836265
2019-06-02,301577,1392480.05,663190.27,3130014.43,91,44,205,15236.422483146187
2019-06-02,304080,1805393.43,1115998.4,2638956.09,245,151,358,7371.324394765833
2019-06-02,304763,526734.48,250865.69,1092811.16,135,64,279,3915.298689101155
2019-06-02,401131,512859.95,307470.33,995654.53,187,112,364,2736.9203972791574
2019-06-02,401534,1521440.22,732389.21,2661146.42,445,214,778,3420.16930955647
2019-06-02,402018,1534046.26,823500.28,3172180.13,74,40,154,20623.2417056456
2019-06-02,402279,1716590.97,972229.7,3486079.51,384,217,779,4474.521479154262
2019-06-02,407120,1284425.47,726706.71,2560386.69,175,99,350,7321.590889676138
2019-06-02,408789,1117276.83,532120.35,2511413.21,240,114,540,4649.133776149978
2019-06-02,501098,1467644.01,698988.37,3298967.98,116,55,261,12648.441760239233
2019-06-02,502221,2074238.86,987888.81,4662471.6,136,65,306,15238.700101112234
2019-06-02,502280,1875452.46,1167043.56,3712506.84,166,103,329,11290.826305756767
2019-06-02,502835,2455310.69,1169379.93,5519044.0,299,142,672,8215.760258523138
