date,shop,genre,predicted_sales,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2023-10-01,10029,201925,1507,78,23,171
2023-10-02,10029,201925,1131,70,20,153
2023-10-03,10029,201925,1251,64,19,140
2023-10-04,10029,201925,1304,62,18,136
2023-10-05,10029,201925,1843,64,19,140
2023-10-06,10029,201925,1225,67,20,147
2023-10-07,10029,201925,1475,68,20,149
2023-10-08,10029,201925,1708,68,20,149
2023-10-09,10029,201925,1811,63,18,138
2023-10-10,10029,201925,1984,62,18,136
2023-10-11,10029,201925,1293,58,17,127
2023-10-12,10029,201925,869,54,16,118
2023-10-13,10029,201925,931,48,14,105
2023-10-14,10029,201925,907,47,14,103
2023-10-15,10029,201925,1516,48,14,105
2023-10-16,10029,201925,1009,47,14,103
2023-10-17,10029,201925,1001,45,13,99
2023-10-18,10029,201925,783,42,12,92
2023-10-19,10029,201925,721,41,12,90
2023-10-20,10029,201925,747,40,12,88
2023-10-21,10029,201925,549,40,12,88
2023-10-22,10029,201925,454,38,11,83
2023-10-23,10029,201925,288,35,10,77
2023-10-24,10029,201925,340,34,10,75
2023-10-25,10029,201925,382,34,10,75
2023-10-26,10029,201925,292,35,10,77
2023-10-27,10029,201925,252,35,10,77
2023-10-28,10029,201925,356,35,10,77
2023-10-29,10029,201925,406,35,10,77
2023-10-30,10029,201925,552,35,10,77
2023-10-31,10029,201925,517,34,10,75
2023-10-01,10029,205611,66,3,1,6
2023-10-02,10029,205611,62,2,1,4
2023-10-03,10029,205611,57,2,1,4
2023-10-04,10029,205611,57,2,1,4
2023-10-05,10029,205611,670,2,1,4
2023-10-09,10029,205611,546,3,1,6
2023-10-05,10029,401534,166,1,0,2
2023-10-12,10029,401534,113,1,0,2
2023-10-14,10029,401534,122,1,0,2
2023-10-15,10029,401534,151,1,0,2
2023-10-16,10029,401534,110,2,1,4
2023-10-17,10029,401534,299,2,1,4
2023-10-18,10029,401534,278,2,1,4
2023-10-21,10029,401534,241,2,1,4
2023-10-23,10029,401534,234,2,1,4
2023-10-24,10029,401534,266,2,1,4
2023-10-25,10029,401534,322,2,1,4
2023-10-26,10029,401534,249,2,1,4
2023-10-27,10029,401534,161,2,1,4
2023-10-29,10029,401534,146,2,1,4
2023-10-01,10029,408789,1240,6,2,13
2023-10-02,10029,408789,869,5,2,11
2023-10-03,10029,408789,814,5,2,11
2023-10-04,10029,408789,752,5,2,11
2023-10-05,10029,408789,996,5,2,11
2023-10-06,10029,408789,686,5,2,11
2023-10-07,10029,408789,681,5,2,11
2023-10-08,10029,408789,782,5,2,11
2023-10-09,10029,408789,549,5,2,11
2023-10-10,10029,408789,748,5,2,11
2023-10-11,10029,408789,453,5,2,11
2023-10-12,10029,408789,436,5,2,11
2023-10-13,10029,408789,423,5,2,11
2023-10-14,10029,408789,429,6,2,13
2023-10-15,10029,408789,718,6,2,13
2023-10-16,10029,408789,459,6,2,13
2023-10-17,10029,408789,451,5,2,11
2023-10-18,10029,408789,419,5,2,11
2023-10-19,10029,408789,447,4,1,9
2023-10-20,10029,408789,604,4,1,9
2023-10-21,10029,408789,416,4,1,9
2023-10-22,10029,408789,457,3,1,7
2023-10-23,10029,408789,408,3,1,7
2023-10-24,10029,408789,414,4,1,9
2023-10-25,10029,408789,529,4,1,9
2023-10-26,10029,408789,889,5,2,11
2023-10-27,10029,408789,873,5,2,11
2023-10-28,10029,408789,853,6,2,13
2023-10-29,10029,408789,986,7,3,15
2023-10-30,10029,408789,1511,7,3,15
2023-10-31,10029,408789,1013,6,2,13
2023-10-01,10130,205611,852,10,3,21
2023-10-02,10130,205611,824,12,4,26
2023-10-03,10130,205611,788,11,4,24
2023-10-04,10130,205611,261,12,4,26
2023-10-05,10130,205611,556,15,5,32
2023-10-06,10130,205611,1247,17,6,36
2023-10-07,10130,205611,1290,18,6,39
2023-10-08,10130,205611,1334,20,7,43
2023-10-09,10130,205611,1497,24,8,51
2023-10-10,10130,205611,1831,29,10,62
2023-10-11,10130,205611,1680,33,11,71
2023-10-12,10130,205611,1948,34,11,73
2023-10-13,10130,205611,1105,36,12,77
2023-10-14,10130,205611,1156,36,12,77
2023-10-15,10130,205611,1485,37,12,79
2023-10-16,10130,205611,1747,37,12,79
2023-10-17,10130,205611,1672,33,11,71
2023-10-18,10130,205611,1490,30,10,64
2023-10-19,10130,205611,1046,30,10,64
2023-10-20,10130,205611,1095,28,9,60
2023-10-21,10130,205611,1001,28,9,60
2023-10-22,10130,205611,1095,28,9,60
2023-10-23,10130,205611,599,27,9,58
2023-10-24,10130,205611,1093,29,10,62
2023-10-25,10130,205611,1462,32,11,69
2023-10-26,10130,205611,1396,34,11,73
2023-10-27,10130,205611,1287,33,11,71
2023-10-28,10130,205611,1337,32,11,69
2023-10-29,10130,205611,1462,31,10,66
2023-10-30,10130,205611,2024,31,10,66
2023-10-31,10130,205611,1204,31,10,66
2023-10-01,10130,206440,4452,107,33,257
2023-10-02,10130,206440,3990,102,31,245
2023-10-03,10130,206440,4041,103,31,248
2023-10-04,10130,206440,5177,114,35,274
2023-10-05,10130,206440,6445,123,38,296
2023-10-06,10130,206440,6098,128,39,308
2023-10-07,10130,206440,6867,143,44,344
2023-10-08,10130,206440,6930,149,45,358
2023-10-09,10130,206440,5714,139,42,334
2023-10-10,10130,206440,7112,151,46,363
2023-10-11,10130,206440,5328,142,43,342
2023-10-12,10130,206440,5510,141,43,339
2023-10-13,10130,206440,4811,130,40,313
2023-10-14,10130,206440,5790,145,44,349
2023-10-15,10130,206440,7149,146,45,351
2023-10-16,10130,206440,6303,142,43,342
2023-10-17,10130,206440,6829,141,43,339
2023-10-18,10130,206440,6047,134,41,322
2023-10-19,10130,206440,6098,139,42,334
2023-10-20,10130,206440,8266,149,45,358
2023-10-21,10130,206440,5764,143,44,344
2023-10-22,10130,206440,5889,146,45,351
2023-10-23,10130,206440,5126,133,41,320
2023-10-24,10130,206440,7137,151,46,363
2023-10-25,10130,206440,9395,164,50,395
2023-10-26,10130,206440,8785,173,53,416
2023-10-27,10130,206440,8591,176,54,423
2023-10-28,10130,206440,6804,168,51,404
2023-10-29,10130,206440,7112,169,52,407
2023-10-30,10130,206440,9026,175,53,421
2023-10-31,10130,206440,6841,168,51,404
2023-10-01,10130,206471,1610,94,32,198
2023-10-02,10130,206471,1250,94,32,198
2023-10-03,10130,206471,1207,98,33,206
2023-10-04,10130,206471,1384,107,37,225
2023-10-05,10130,206471,1359,116,40,244
2023-10-06,10130,206471,1481,124,42,261
2023-10-07,10130,206471,1578,129,44,272
2023-10-08,10130,206471,1910,131,45,276
2023-10-09,10130,206471,1475,130,44,274
2023-10-10,10130,206471,2245,131,45,276
2023-10-11,10130,206471,1989,128,44,270
2023-10-12,10130,206471,2070,125,43,263
2023-10-13,10130,206471,1828,119,41,251
2023-10-14,10130,206471,2705,127,43,267
2023-10-15,10130,206471,3408,126,43,265
2023-10-16,10130,206471,2948,121,41,255
2023-10-17,10130,206471,2873,117,40,246
2023-10-18,10130,206471,2215,113,39,238
2023-10-19,10130,206471,2112,112,38,236
2023-10-20,10130,206471,3019,115,39,242
2023-10-21,10130,206471,1899,115,39,242
2023-10-22,10130,206471,1768,113,39,238
2023-10-23,10130,206471,1275,104,36,219
2023-10-24,10130,206471,1619,104,36,219
2023-10-25,10130,206471,1962,104,36,219
2023-10-26,10130,206471,1836,105,36,221
2023-10-27,10130,206471,1749,102,35,215
2023-10-28,10130,206471,1391,94,32,198
2023-10-29,10130,206471,1451,92,31,194
2023-10-30,10130,206471,1888,89,30,187
2023-10-31,10130,206471,1361,87,30,183
2023-10-01,10130,216158,4,2,1,5
2023-10-02,10130,216158,4,2,1,5
2023-10-03,10130,216158,4,2,1,5
2023-10-06,10130,216158,4,2,1,5
2023-10-07,10130,216158,2,2,1,5
2023-10-08,10130,216158,2,2,1,5
2023-10-10,10130,216158,236,2,1,5
2023-10-16,10130,216158,195,2,1,5
2023-10-17,10130,216158,195,2,1,5
2023-10-19,10130,216158,183,2,1,5
2023-10-26,10130,216158,203,2,1,5
2023-10-27,10130,216158,196,2,1,5
2023-10-28,10130,216158,349,1,0,2
2023-10-29,10130,216158,204,1,0,2
2023-10-30,10130,216158,254,1,0,2
2023-10-31,10130,216158,190,1,0,2
2023-10-01,10130,216173,1400,14,5,30
2023-10-02,10130,216173,1427,16,6,34
2023-10-03,10130,216173,1169,16,6,34
2023-10-04,10130,216173,1318,17,6,36
2023-10-05,10130,216173,2039,17,6,36
2023-10-06,10130,216173,1358,17,6,36
2023-10-07,10130,216173,1347,17,6,36
2023-10-08,10130,216173,1455,17,6,36
2023-10-09,10130,216173,928,15,5,32
2023-10-10,10130,216173,1115,14,5,30
2023-10-11,10130,216173,730,13,5,28
2023-10-12,10130,216173,470,12,4,26
2023-10-13,10130,216173,443,11,4,23
2023-10-14,10130,216173,619,11,4,23
2023-10-15,10130,216173,919,11,4,23
2023-10-16,10130,216173,774,10,4,21
2023-10-17,10130,216173,899,11,4,23
2023-10-18,10130,216173,782,11,4,23
2023-10-19,10130,216173,813,12,4,26
2023-10-20,10130,216173,1166,13,5,28
2023-10-21,10130,216173,877,13,5,28
2023-10-22,10130,216173,1029,14,5,30
2023-10-23,10130,216173,866,14,5,30
2023-10-24,10130,216173,846,14,5,30
2023-10-25,10130,216173,1212,14,5,30
2023-10-26,10130,216173,766,13,5,28
2023-10-27,10130,216173,760,14,5,30
2023-10-28,10130,216173,585,13,5,28
2023-10-29,10130,216173,531,13,5,28
2023-10-30,10130,216173,698,13,5,28
2023-10-31,10130,216173,429,12,4,26
2023-10-01,10130,408789,217,3,1,7
2023-10-02,10130,408789,165,3,1,7
2023-10-03,10130,408789,165,3,1,7
2023-10-04,10130,408789,155,3,1,7
2023-10-05,10130,408789,215,3,1,7
2023-10-06,10130,408789,151,3,1,7
2023-10-07,10130,408789,152,3,1,7
2023-10-08,10130,408789,178,2,1,4
2023-10-09,10130,408789,169,2,1,4
2023-10-10,10130,408789,245,2,1,4
2023-10-11,10130,408789,151,2,1,4
2023-10-12,10130,408789,149,2,1,4
2023-10-13,10130,408789,147,2,1,4
2023-10-14,10130,408789,152,2,1,4
2023-10-15,10130,408789,260,2,1,4
2023-10-18,10130,408789,160,2,1,4
2023-10-19,10130,408789,149,2,1,4
2023-10-20,10130,408789,72,2,1,4
2023-10-21,10130,408789,51,2,1,4
2023-10-22,10130,408789,59,2,1,4
2023-10-23,10130,408789,56,2,1,4
2023-10-24,10130,408789,58,3,1,7
2023-10-26,10130,408789,52,2,1,4
2023-10-27,10130,408789,51,2,1,4
2023-10-28,10130,408789,51,2,1,4
2023-10-29,10130,408789,59,3,1,7
2023-10-30,10130,408789,83,3,1,7
2023-10-01,10130,502835,487,3,1,7
2023-10-02,10130,502835,378,3,1,7
2023-10-03,10130,502835,394,3,1,7
2023-10-04,10130,502835,289,2,1,5
2023-10-05,10130,502835,223,2,1,5
2023-10-06,10130,502835,147,2,1,5
2023-10-08,10130,502835,169,2,1,5
2023-10-09,10130,502835,158,2,1,5
2023-10-13,10130,502835,133,2,1,5
2023-10-14,10130,502835,156,2,1,5
2023-10-15,10130,502835,243,3,1,7
2023-10-16,10130,502835,158,3,1,7
2023-10-17,10130,502835,166,3,1,7
2023-10-18,10130,502835,143,3,1,7
2023-10-19,10130,502835,142,2,1,5
2023-10-23,10130,502835,108,2,1,5
2023-10-24,10130,502835,120,3,1,7
2023-10-25,10130,502835,164,2,1,5
2023-10-26,10130,502835,114,2,1,5
2023-10-27,10130,502835,89,2,1,5
2023-10-28,10130,502835,85,2,1,5
2023-10-29,10130,502835,92,2,1,5
2023-10-30,10130,502835,124,2,1,5
2023-10-01,10130,551180,69,4,1,9
2023-10-02,10130,551180,47,3,1,6
2023-10-03,10130,551180,46,3,1,6
2023-10-04,10130,551180,55,3,1,6
2023-10-05,10130,551180,23,3,1,6
2023-10-08,10130,551180,22,3,1,6
2023-10-15,10130,551180,27,3,1,6
2023-10-16,10130,551180,20,3,1,6
2023-10-17,10130,551180,17,3,1,6
2023-10-20,10130,551180,19,3,1,6
