date,shop,genre,predicted_sales,predicted_units,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2025-11-01,10130,205611,16929,4,127,42,272
2025-11-02,10130,205611,16698,5,130,43,279
2025-11-03,10130,205611,14566,4,129,43,276
2025-11-04,10130,205611,14022,4,140,47,300
2025-11-05,10130,205611,18205,5,144,48,309
2025-11-06,10130,205611,20404,5,152,51,326
2025-11-07,10130,205611,15868,4,156,52,334
2025-11-08,10130,205611,16582,4,155,52,332
2025-11-09,10130,205611,17237,5,154,51,330
2025-11-10,10130,205611,20658,6,161,54,345
2025-11-11,10130,205611,19035,5,164,55,351
2025-11-12,10130,205611,19256,5,164,55,351
2025-11-13,10130,205611,14068,4,155,52,332
2025-11-14,10130,205611,16898,5,150,50,321
2025-11-15,10130,205611,16030,5,149,50,319
2025-11-16,10130,205611,17504,5,149,50,319
2025-11-17,10130,205611,15809,5,147,49,315
2025-11-18,10130,205611,13971,4,141,47,302
2025-11-19,10130,205611,14769,4,144,48,309
2025-11-20,10130,205611,18503,5,152,51,326
2025-11-21,10130,205611,20819,6,166,55,356
2025-11-22,10130,205611,22673,7,170,57,364
2025-11-23,10130,205611,21512,6,173,58,371
2025-11-24,10130,205611,21025,6,172,57,369
2025-11-25,10130,205611,21152,6,176,59,377
2025-11-26,10130,205611,22642,6,178,59,381
2025-11-27,10130,205611,24555,7,175,58,375
2025-11-28,10130,205611,17449,5,162,54,347
2025-11-29,10130,205611,17423,5,158,53,339
2025-11-30,10130,205611,21314,6,157,52,336
2025-11-01,10130,206440,42058,13,561,171,1350
2025-11-02,10130,206440,36510,13,535,163,1287
2025-11-03,10130,206440,32075,11,488,149,1174
2025-11-04,10130,206440,41770,14,564,172,1357
2025-11-05,10130,206440,52943,18,605,185,1456
2025-11-06,10130,206440,48361,16,599,183,1441
2025-11-07,10130,206440,45592,16,576,176,1386
2025-11-08,10130,206440,46919,16,604,184,1453
2025-11-09,10130,206440,46958,16,615,188,1480
2025-11-10,10130,206440,48876,17,595,182,1431
2025-11-11,10130,206440,48124,17,592,181,1424
2025-11-12,10130,206440,41592,15,545,166,1311
2025-11-13,10130,206440,40992,14,531,162,1277
