date,shop,genre,predicted_sales,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2025-12-01,10130,205611,21776,156,52,334
2025-12-02,10130,205611,17557,152,51,326
2025-12-03,10130,205611,16070,146,49,313
2025-12-04,10130,205611,13562,142,47,304
2025-12-05,10130,205611,17037,159,53,341
2025-12-06,10130,205611,16015,178,59,381
2025-12-07,10130,205611,20799,190,63,407
2025-12-08,10130,205611,18573,197,66,422
2025-12-09,10130,205611,17160,197,66,422
2025-12-10,10130,205611,22467,201,67,431
2025-12-11,10130,205611,23989,211,70,452
2025-12-12,10130,205611,23220,201,67,431
2025-12-13,10130,205611,28613,184,61,394
2025-12-14,10130,205611,29219,187,62,401
2025-12-15,10130,205611,31959,194,65,416
2025-12-16,10130,205611,36159,205,68,439
2025-12-17,10130,205611,36500,202,67,433
2025-12-18,10130,205611,26091,192,64,411
2025-12-19,10130,205611,30993,188,63,403
2025-12-20,10130,205611,29134,188,63,403
2025-12-21,10130,205611,27601,178,59,381
2025-12-22,10130,205611,25623,164,55,351
2025-12-23,10130,205611,21665,152,51,326
2025-12-24,10130,205611,20835,150,50,321
2025-12-25,10130,205611,21039,141,47,302
2025-12-26,10130,205611,21461,134,45,287
2025-12-27,10130,205611,16833,129,43,276
2025-12-28,10130,205611,17095,122,41,261
2025-12-29,10130,205611,15096,117,39,251
2025-12-30,10130,205611,17215,114,38,244
2025-12-31,10130,205611,14325,108,36,231
2025-12-01,10130,206440,56155,575,176,1383
2025-12-02,10130,206440,51066,556,170,1338
2025-12-03,10130,206440,50944,531,162,1277
2025-12-04,10130,206440,52306,543,166,1306
2025-12-05,10130,206440,82458,834,255,2006
2025-12-06,10130,206440,64982,1017,310,2447
2025-12-07,10130,206440,72806,1171,357,2817
2025-12-08,10130,206440,67380,1157,353,2784
2025-12-09,10130,206440,71698,1213,370,2918
2025-12-10,10130,206440,112692,1386,423,3334
2025-12-11,10130,206440,81159,1311,400,3154
2025-12-12,10130,206440,72572,1091,333,2625
2025-12-13,10130,206440,67190,947,289,2278
2025-12-14,10130,206440,65959,856,261,2059
2025-12-15,10130,206440,87451,858,262,2064
2025-12-16,10130,206440,65934,799,244,1922
2025-12-17,10130,206440,70772,794,242,1910
2025-12-18,10130,206440,67761,752,230,1809
2025-12-19,10130,206440,64037,742,227,1785
2025-12-20,10130,206440,95729,852,260,2050
2025-12-21,10130,206440,67585,779,238,1874
2025-12-22,10130,206440,60781,686,209,1650
2025-12-23,10130,206440,62524,666,203,1602
2025-12-24,10130,206440,64516,655,200,1576
2025-12-25,10130,206440,98751,708,216,1703
2025-12-26,10130,206440,63809,608,186,1463
2025-12-27,10130,206440,64376,607,185,1460
2025-12-28,10130,206440,64097,569,174,1369
2025-12-29,10130,206440,58297,519,158,1249
2025-12-30,10130,206440,90514,564,172,1357
2025-12-31,10130,206440,63609,512,156,1232
2025-12-01,10130,206471,2259,82,28,173
2025-12-02,10130,206471,2058,77,26,162
2025-12-03,10130,206471,2054,73,25,154
2025-12-04,10130,206471,2070,73,25,154
2025-12-05,10130,206471,3147,77,26,162
2025-12-06,10130,206471,2963,80,27,169
2025-12-07,10130,206471,3060,82,28,173
2025-12-08,10130,206471,2858,80,27,169
2025-12-09,10130,206471,3013,83,28,175
2025-12-10,10130,206471,4550,85,29,179
2025-12-11,10130,206471,4081,86,29,181
2025-12-12,10130,206471,3876,83,28,175
2025-12-13,10130,206471,3525,83,28,175
2025-12-14,10130,206471,3986,81,28,171
2025-12-15,10130,206471,4797,79,27,166
2025-12-16,10130,206471,4103,78,27,164
2025-12-17,10130,206471,4394,76,26,160
2025-12-18,10130,206471,3685,74,25,156
2025-12-19,10130,206471,3345,76,26,160
2025-12-20,10130,206471,4472,78,27,164
2025-12-21,10130,206471,3266,78,27,164
2025-12-22,10130,206471,3002,79,27,166
2025-12-23,10130,206471,2773,76,26,160
2025-12-24,10130,206471,2776,75,26,158
2025-12-25,10130,206471,3898,74,25,156
2025-12-26,10130,206471,2784,71,24,150
2025-12-27,10130,206471,3037,70,24,147
2025-12-28,10130,206471,3000,66,23,139
2025-12-29,10130,206471,2714,59,20,124
2025-12-30,10130,206471,3888,57,19,120
2025-12-31,10130,206471,2888,57,19,120
2025-12-03,10130,216158,267,1,0,2
2025-12-07,10130,216158,323,1,0,2
2025-12-08,10130,216158,297,1,0,2
2025-12-09,10130,216158,298,1,0,2
2025-12-10,10130,216158,34,1,0,2
2025-12-21,10130,216158,26,1,0,2
2025-12-24,10130,216158,25,1,0,2
2025-12-25,10130,216158,34,1,0,2
2025-12-26,10130,216158,24,1,0,2
2025-12-30,10130,216158,32,1,0,2
2025-12-01,10130,216173,569,5,2,11
2025-12-02,10130,216173,447,4,1,9
2025-12-03,10130,216173,336,4,1,9
2025-12-04,10130,216173,244,3,1,6
2025-12-05,10130,216173,447,3,1,6
2025-12-06,10130,216173,360,4,1,9
2025-12-07,10130,216173,389,4,1,9
2025-12-08,10130,216173,435,4,1,9
2025-12-09,10130,216173,500,5,2,11
2025-12-10,10130,216173,801,5,2,11
2025-12-12,10130,216173,455,5,2,11
2025-12-13,10130,216173,428,5,2,11
2025-12-14,10130,216173,409,5,2,11
2025-12-15,10130,216173,515,4,1,9
2025-12-16,10130,216173,527,5,2,11
2025-12-17,10130,216173,475,4,1,9
2025-12-18,10130,216173,465,4,1,9
2025-12-19,10130,216173,532,4,1,9
2025-12-20,10130,216173,1025,5,2,11
2025-12-21,10130,216173,1479,6,2,13
2025-12-22,10130,216173,1757,6,2,13
2025-12-23,10130,216173,1470,6,2,13
2025-12-24,10130,216173,1506,7,3,15
2025-12-25,10130,216173,2000,6,2,13
2025-12-26,10130,216173,1248,6,2,13
2025-12-27,10130,216173,1157,6,2,13
2025-12-28,10130,216173,764,6,2,13
2025-12-29,10130,216173,411,5,2,11
2025-12-30,10130,216173,634,5,2,11
2025-12-31,10130,216173,411,5,2,11
2025-12-01,10130,502835,792,4,1,9
2025-12-02,10130,502835,673,3,1,7
2025-12-03,10130,502835,628,3,1,7
2025-12-04,10130,502835,622,3,1,7
2025-12-05,10130,502835,734,2,1,5
2025-12-06,10130,502835,495,2,1,5
2025-12-07,10130,502835,322,3,1,7
2025-12-09,10130,502835,569,3,1,7
2025-12-10,10130,502835,702,4,1,9
2025-12-11,10130,502835,777,4,1,9
2025-12-12,10130,502835,943,4,1,9
2025-12-13,10130,502835,977,5,2,12
2025-12-14,10130,502835,1264,5,2,12
2025-12-15,10130,502835,1484,6,2,14
2025-12-16,10130,502835,1496,6,2,14
2025-12-17,10130,502835,1425,6,2,14
2025-12-18,10130,502835,1209,6,2,14
2025-12-19,10130,502835,2240,8,3,19
2025-12-20,10130,502835,2232,10,4,23
