date,shop,genre,predicted_sales,predicted_sales_low,predicted_sales_high,predicted_units,predicted_units_low,predicted_units_high,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2019-01-01,10130,206440,4424,442,36010,3,1,7,100,31,232
2019-01-02,10130,206440,7000,700,56978,3,1,7,102,31,236
2019-01-03,10130,206440,6756,676,54992,3,1,7,110,34,255
2019-01-04,10130,206440,6188,619,50369,3,1,7,117,36,271
2019-01-05,10130,206440,8195,820,66705,4,1,9,136,42,315
2019-01-06,10130,206440,5353,535,43572,3,1,7,128,39,296
2019-01-07,10130,206440,4666,467,37980,3,1,7,125,38,289
2019-01-08,10130,206440,4387,439,35709,2,1,4,129,40,299
2019-01-09,10130,206440,5414,541,44068,3,1,7,144,44,333
2019-01-10,10130,206440,6892,689,56099,4,1,9,154,47,357
2019-01-11,10130,206440,5806,581,47259,4,1,9,153,47,354
2019-01-12,10130,206440,5835,584,47495,4,1,9,164,50,380
2019-01-13,10130,206440,6430,643,52338,4,1,9,173,53,401
2019-01-14,10130,206440,6236,624,50759,4,1,9,167,51,387
2019-01-15,10130,206440,7882,788,64157,6,2,13,183,56,424
2019-01-16,10130,206440,7802,780,63506,6,2,13,194,59,449
2019-01-17,10130,206440,6336,634,51573,5,2,11,180,55,417
2019-01-18,10130,206440,5770,577,46966,4,1,9,168,52,389
2019-01-19,10130,206440,5914,591,48138,4,1,9,170,52,394
2019-01-20,10130,206440,8422,842,68553,6,2,13,187,57,433
2019-01-21,10130,206440,6383,638,51956,4,1,9,161,49,373
2019-01-22,10130,206440,6585,658,53600,5,2,11,162,50,375
2019-01-23,10130,206440,6668,667,54276,4,1,9,155,48,359
2019-01-24,10130,206440,8840,884,71955,6,2,13,166,51,384
2019-01-25,10130,206440,9986,999,81283,7,2,16,169,52,391
2019-01-26,10130,206440,9258,926,75357,6,2,13,181,55,419
2019-01-27,10130,206440,9954,995,81023,6,2,13,183,56,424
2019-01-28,10130,206440,8634,863,70278,6,2,13,173,53,401
2019-01-29,10130,206440,7551,755,61463,5,2,11,160,49,371
2019-01-30,10130,206440,12056,1206,98132,8,3,18,179,55,415
2019-01-31,10130,206440,7930,793,64548,5,2,11,172,53,398
2019-01-01,10130,206471,2303,230,14534,1,0,2,5,2,11
2019-01-02,10130,206471,1149,115,7251,0,0,0,7,2,15
2019-01-03,10130,206471,915,92,5775,0,0,0,7,2,15
2019-01-04,10130,206471,748,75,4721,0,0,0,8,3,17
2019-01-05,10130,206471,913,91,5762,0,0,0,8,3,17
2019-01-06,10130,206471,613,61,3869,0,0,0,9,3,19
2019-01-07,10130,206471,508,51,3206,0,0,0,10,3,21
2019-01-08,10130,206471,490,49,3092,0,0,0,9,3,19
2019-01-09,10130,206471,389,39,2455,0,0,0,10,3,21
2019-01-10,10130,206471,403,40,2543,0,0,0,10,3,21
2019-01-11,10130,206471,320,32,2020,0,0,0,10,3,21
2019-01-12,10130,206471,302,30,1906,0,0,0,10,3,21
2019-01-13,10130,206471,296,30,1868,0,0,0,10,3,21
2019-01-14,10130,206471,245,24,1546,0,0,0,10,3,21
2019-01-15,10130,206471,273,27,1723,0,0,0,12,4,25
2019-01-16,10130,206471,510,51,3219,0,0,0,12,4,25
2019-01-17,10130,206471,392,39,2474,0,0,0,12,4,25
2019-01-18,10130,206471,370,37,2335,0,0,0,13,4,27
2019-01-19,10130,206471,362,36,2285,0,0,0,13,4,27
2019-01-20,10130,206471,519,52,3275,0,0,0,14,5,29
2019-01-21,10130,206471,318,32,2007,0,0,0,13,4,27
2019-01-22,10130,206471,321,32,2026,0,0,0,12,4,25
2019-01-23,10130,206471,223,22,1407,0,0,0,11,4,23
2019-01-24,10130,206471,265,26,1672,0,0,0,11,4,23
2019-01-25,10130,206471,282,28,1780,0,0,0,9,3,19
2019-01-26,10130,206471,244,24,1540,0,0,0,9,3,19
2019-01-27,10130,206471,254,25,1603,0,0,0,9,3,19
2019-01-28,10130,206471,222,22,1401,0,0,0,9,3,19
2019-01-29,10130,206471,187,19,1180,0,0,0,9,3,19
2019-01-30,10130,206471,144,14,909,0,0,0,9,3,19
2019-01-31,10130,206471,100,10,631,0,0,0,10,3,21
2019-01-01,10486,551228,393,39,3349,0,0,0,8,3,18
2019-01-02,10486,551228,387,39,3298,0,0,0,8,3,18
2019-01-03,10486,551228,375,38,3196,0,0,0,8,3,18
2019-01-04,10486,551228,314,31,2676,0,0,0,8,3,18
2019-01-05,10486,551228,476,48,4056,0,0,0,8,3,18
2019-01-06,10486,551228,611,61,5207,0,0,0,9,3,21
2019-01-07,10486,551228,648,65,5522,0,0,0,9,3,21
2019-01-08,10486,551228,525,52,4474,0,0,0,9,3,21
2019-01-09,10486,551228,579,58,4934,0,0,0,9,3,21
2019-01-10,10486,551228,675,68,5752,0,0,0,9,3,21
2019-01-11,10486,551228,526,53,4482,0,0,0,8,3,18
2019-01-12,10486,551228,580,58,4943,0,0,0,9,3,21
2019-01-13,10486,551228,473,47,4031,0,0,0,9,3,21
2019-01-14,10486,551228,331,33,2821,0,0,0,8,3,18
2019-01-15,10486,551228,416,42,3545,0,0,0,7,2,16
2019-01-16,10486,551228,336,34,2863,0,0,0,8,3,18
2019-01-17,10486,551228,283,28,2412,0,0,0,7,2,16
2019-01-18,10486,551228,246,25,2096,0,0,0,7,2,16
2019-01-19,10486,551228,266,27,2267,0,0,0,8,3,18
2019-01-20,10486,551228,427,43,3639,0,0,0,8,3,18
2019-01-21,10486,551228,262,26,2233,0,0,0,6,2,14
2019-01-22,10486,551228,256,26,2182,0,0,0,6,2,14
2019-01-23,10486,551228,252,25,2147,0,0,0,5,2,12
2019-01-24,10486,551228,280,28,2386,0,0,0,5,2,12
2019-01-25,10486,551228,315,32,2684,0,0,0,5,2,12
2019-01-26,10486,551228,291,29,2480,0,0,0,5,2,12
2019-01-28,10486,551228,286,29,2437,0,0,0,4,1,9
2019-01-29,10486,551228,256,26,2182,0,0,0,4,1,9
2019-01-31,10486,551228,193,19,1645,0,0,0,4,1,9
2019-01-01,1050,201632,21,2,185,0,0,0,1,0,2
2019-01-02,1050,201632,21,2,185,0,0,0,1,0,2
2019-01-03,1050,201632,21,2,185,0,0,0,1,0,2
2019-01-04,1050,201632,19,2,168,0,0,0,2,1,5
2019-01-05,1050,201632,28,3,247,0,0,0,2,1,5
2019-01-06,1050,201632,22,2,194,0,0,0,2,1,5
2019-01-08,1050,201632,21,2,185,0,0,0,2,1,5
2019-01-10,1050,201632,29,3,256,0,0,0,2,1,5
2019-01-12,1050,201632,21,2,185,0,0,0,2,1,5
2019-01-13,1050,201632,23,2,203,0,0,0,2,1,5
2019-01-15,1050,201632,99,10,874,0,0,0,2,1,5
2019-01-16,1050,201632,73,7,645,0,0,0,2,1,5
2019-01-20,1050,201632,101,10,892,0,0,0,2,1,5
2019-01-22,1050,201632,130,13,1148,0,0,0,2,1,5
2019-01-23,1050,201632,130,13,1148,0,0,0,2,1,5
2019-01-24,1050,201632,131,13,1157,0,0,0,2,1,5
2019-01-26,1050,201632,123,12,1086,0,0,0,1,0,2
2019-01-27,1050,201632,86,9,759,0,0,0,2,1,5
2019-01-03,1050,214099,137,14,1210,0,0,0,1,0,2
2019-01-04,1050,214099,137,14,1210,0,0,0,1,0,2
2019-01-10,1050,214099,204,20,1801,0,0,0,1,0,2
2019-01-12,1050,214099,166,17,1466,0,0,0,2,1,5
2019-01-13,1050,214099,191,19,1687,0,0,0,2,1,5
2019-01-14,1050,214099,150,15,1325,0,0,0,2,1,5
2019-01-15,1050,214099,252,25,2225,0,0,0,2,1,5
2019-01-16,1050,214099,138,14,1219,0,0,0,2,1,5
2019-01-18,1050,214099,137,14,1210,0,0,0,2,1,5
2019-01-19,1050,214099,163,16,1439,0,0,0,2,1,5
2019-01-20,1050,214099,322,32,2844,0,0,0,2,1,5
2019-01-21,1050,214099,147,15,1298,0,0,0,2,1,5
2019-01-22,1050,214099,149,15,1316,0,0,0,2,1,5
2019-01-24,1050,214099,137,14,1210,0,0,0,2,1,5
2019-01-25,1050,214099,197,20,1740,0,0,0,2,1,5
2019-01-26,1050,214099,166,17,1466,0,0,0,2,1,5
2019-01-27,1050,214099,191,19,1687,0,0,0,2,1,5
2019-01-28,1050,214099,150,15,1325,0,0,0,2,1,5
2019-01-29,1050,214099,149,15,1316,0,0,0,2,1,5
2019-01-30,1050,214099,220,22,1943,0,0,0,3,1,7
2019-01-31,1050,214099,137,14,1210,0,0,0,2,1,5
2019-01-01,1050,402279,192,19,1341,0,0,0,7,2,15
2019-01-02,1050,402279,171,17,1195,0,0,0,7,2,15
2019-01-03,1050,402279,154,15,1076,0,0,0,9,3,20
2019-01-04,1050,402279,134,13,936,0,0,0,10,4,22
2019-01-05,1050,402279,188,19,1313,0,0,0,11,4,24
2019-01-06,1050,402279,134,13,936,0,0,0,12,4,26
2019-01-07,1050,402279,124,12,866,0,0,0,13,5,28
2019-01-08,1050,402279,117,12,817,0,0,0,15,5,33
2019-01-09,1050,402279,76,8,531,0,0,0,15,5,33
2019-01-10,1050,402279,89,9,622,0,0,0,15,5,33
2019-01-11,1050,402279,171,17,1195,0,0,0,16,6,35
2019-01-12,1050,402279,171,17,1195,0,0,0,17,6,37
2019-01-13,1050,402279,182,18,1271,0,0,0,16,6,35
2019-01-14,1050,402279,170,17,1188,0,0,0,15,5,33
2019-01-15,1050,402279,206,21,1439,0,0,0,15,5,33
2019-01-16,1050,402279,158,16,1104,0,0,0,15,5,33
2019-01-17,1050,402279,131,13,915,0,0,0,14,5,31
2019-01-18,1050,402279,76,8,531,0,0,0,14,5,31
2019-01-19,1050,402279,75,8,524,0,0,0,15,5,33
2019-01-20,1050,402279,117,12,817,0,0,0,15,5,33
2019-01-21,1050,402279,158,16,1104,0,0,0,15,5,33
2019-01-22,1050,402279,152,15,1062,0,0,0,15,5,33
2019-01-23,1050,402279,152,15,1062,0,0,0,15,5,33
2019-01-24,1050,402279,171,17,1195,0,0,0,16,6,35
2019-01-25,1050,402279,197,20,1376,0,0,0,15,5,33
2019-01-26,1050,402279,251,25,1753,0,0,0,15,5,33
2019-01-27,1050,402279,373,37,2606,0,0,0,15,5,33
2019-01-28,1050,402279,306,31,2138,0,0,0,14,5,31
2019-01-29,1050,402279,260,26,1816,0,0,0,12,4,26
2019-01-30,1050,402279,345,34,2410,0,0,0,12,4,26
2019-01-31,1050,402279,229,23,1600,0,0,0,11,4,24
2019-01-01,1050,506539,2047216,204722,18078529,738,246,1650,4241,1362,9822
