date,shop,genre,predicted_sales,predicted_sales_low,predicted_sales_high,predicted_units,predicted_units_low,predicted_units_high,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2021-03-01,10047,567434,126,45,344,0,0,0,1,1,2
2021-03-02,10047,567434,119,43,325,0,0,0,1,1,2
2021-03-03,10047,567434,120,43,328,0,0,0,1,1,2
2021-03-04,10047,567434,158,57,432,0,0,0,1,1,2
2021-03-05,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-06,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-07,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-08,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-09,10047,567434,162,58,443,0,0,0,1,1,2
2021-03-10,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-11,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-12,10047,567434,113,41,309,0,0,0,1,1,2
2021-03-13,10047,567434,128,46,350,0,0,0,1,1,2
2021-03-14,10047,567434,137,49,375,0,0,0,1,1,2
2021-03-15,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-16,10047,567434,119,43,325,0,0,0,1,1,2
2021-03-17,10047,567434,120,43,328,0,0,0,1,1,2
2021-03-18,10047,567434,154,55,421,0,0,0,1,1,2
2021-03-19,10047,567434,113,41,309,0,0,0,1,1,2
2021-03-20,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-21,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-22,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-23,10047,567434,161,58,440,0,0,0,1,1,2
2021-03-24,10047,567434,164,59,448,0,0,0,1,1,2
2021-03-25,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-26,10047,567434,150,54,410,0,0,0,1,1,2
2021-03-27,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-28,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-29,10047,567434,126,45,344,0,0,0,1,1,2
2021-03-30,10047,567434,167,60,457,0,0,0,1,1,2
2021-03-31,10047,567434,120,43,328,0,0,0,1,1,2
2021-03-01,10130,206440,22710,9640,62087,9,3,20,338,203,565
2021-03-02,10130,206440,24472,10387,66904,9,3,20,340,204,568
2021-03-03,10130,206440,26327,11175,71975,10,3,23,342,205,572
2021-03-04,10130,206440,48922,20765,133748,17,6,38,396,238,662
2021-03-05,10130,206440,48922,20765,133748,17,6,38,390,234,652
2021-03-06,10130,206440,48922,20765,133748,17,6,38,400,240,669
