date,shop,genre,predicted_sales,predicted_units,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2024-01-03,10008,100487,48,0,2,1,5
2024-01-05,10008,100487,63,0,3,1,7
2024-01-06,10008,100487,50,0,2,1,5
2024-01-12,10008,100487,47,0,2,1,5
2024-01-13,10008,100487,53,0,2,1,5
2024-01-15,10008,100487,62,0,1,0,2
2024-01-19,10008,100487,44,0,1,0,2
2024-01-21,10008,100487,49,0,1,0,2
2024-01-23,10008,100487,43,0,1,0,2
2024-01-24,10008,100487,50,0,1,0,2
2024-01-27,10008,100487,53,0,1,0,2
2024-01-28,10008,100487,54,0,1,0,2
2024-01-30,10008,100487,61,0,1,0,2
2024-01-02,10008,205611,0,0,2,1,4
2024-01-03,10008,205611,0,0,1,0,2
2024-01-04,10008,205611,0,0,1,0,2
2024-01-05,10008,205611,0,0,1,0,2
2024-01-06,10008,205611,0,0,1,0,2
2024-01-07,10008,205611,0,0,1,0,2
2024-01-09,10008,205611,0,0,1,0,2
2024-01-12,10008,205611,0,0,1,0,2
2024-01-13,10008,205611,0,0,1,0,2
2024-01-14,10008,205611,0,0,1,0,2
2024-01-16,10008,205611,0,0,1,0,2
2024-01-19,10008,205611,0,0,1,0,2
2024-01-20,10008,205611,0,0,1,0,2
2024-01-21,10008,205611,0,0,2,1,4
2024-01-22,10008,205611,0,0,2,1,4
2024-01-23,10008,205611,0,0,2,1,4
2024-01-25,10008,205611,0,0,2,1,4
2024-01-30,10008,205611,0,0,2,1,4
2024-01-02,10008,206440,345,0,2,1,5
2024-01-05,10008,206440,370,0,1,0,2
2024-01-06,10008,206440,353,0,1,0,2
2024-01-12,10008,206440,350,0,1,0,2
2024-01-13,10008,206440,353,0,1,0,2
2024-01-14,10008,206440,361,0,1,0,2
2024-01-15,10008,206440,341,0,1,0,2
2024-01-17,10008,206440,267,0,1,0,2
2024-01-18,10008,206440,270,0,1,0,2
2024-01-20,10008,206440,374,0,1,0,2
2024-01-21,10008,206440,262,0,1,0,2
2024-01-28,10008,206440,327,0,1,0,2
2024-01-30,10008,206440,365,0,1,0,2
2024-01-02,10008,206471,198,0,5,2,11
2024-01-03,10008,206471,205,0,1,0,2
2024-01-04,10008,206471,204,0,1,0,2
2024-01-06,10008,206471,203,0,2,1,4
2024-01-09,10008,206471,244,0,1,0,2
2024-01-10,10008,206471,289,0,1,0,2
2024-01-11,10008,206471,253,0,1,0,2
2024-01-12,10008,206471,248,0,2,1,4
2024-01-13,10008,206471,252,0,2,1,4
2024-01-14,10008,206471,264,0,2,1,4
2024-01-15,10008,206471,263,0,2,1,4
2024-01-19,10008,206471,200,0,2,1,4
2024-01-20,10008,206471,285,0,2,1,4
2024-01-21,10008,206471,211,0,2,1,4
2024-01-26,10008,206471,248,0,1,0,2
2024-01-27,10008,206471,252,0,2,1,4
2024-01-28,10008,206471,264,0,1,0,2
2024-01-30,10008,206471,276,0,1,0,2
2024-01-31,10008,206471,205,0,2,1,4
2024-01-01,10008,207288,57,0,16,6,34
2024-01-02,10008,207288,54,0,19,7,40
2024-01-03,10008,207288,55,0,16,6,34
2024-01-04,10008,207288,54,0,17,6,36
2024-01-05,10008,207288,65,0,17,6,36
2024-01-06,10008,207288,55,0,15,5,32
2024-01-07,10008,207288,62,0,16,6,34
2024-01-08,10008,207288,57,0,17,6,36
2024-01-09,10008,207288,54,0,17,6,36
2024-01-10,10008,207288,70,0,17,6,36
2024-01-11,10008,207288,54,0,18,7,38
2024-01-12,10008,207288,52,0,18,7,38
2024-01-13,10008,207288,55,0,20,7,42
2024-01-14,10008,207288,62,0,21,8,45
2024-01-15,10008,207288,73,0,20,7,42
2024-01-16,10008,207288,52,0,21,8,45
2024-01-17,10008,207288,51,0,22,8,47
2024-01-18,10008,207288,54,0,22,8,47
2024-01-19,10008,207288,48,0,22,8,47
2024-01-20,10008,207288,70,0,22,8,47
2024-01-21,10008,207288,57,0,22,8,47
2024-01-22,10008,207288,52,0,21,8,45
2024-01-23,10008,207288,50,0,20,7,42
2024-01-24,10008,207288,53,0,20,7,42
2024-01-25,10008,207288,68,0,18,7,38
2024-01-26,10008,207288,50,0,18,7,38
2024-01-27,10008,207288,53,0,19,7,40
2024-01-28,10008,207288,60,0,19,7,40
2024-01-29,10008,207288,63,0,19,7,40
2024-01-30,10008,207288,82,0,18,7,38
2024-01-31,10008,207288,121,0,18,7,38
