date,shop,genre,predicted_sales,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2023-11-01,10029,201925,900,36,11,79
2023-11-02,10029,201925,597,33,10,72
2023-11-03,10029,201925,555,30,9,66
2023-11-04,10029,201925,506,31,9,68
2023-11-05,10029,201925,719,32,9,70
2023-11-06,10029,201925,541,34,10,75
2023-11-07,10029,201925,373,33,10,72
2023-11-08,10029,201925,195,32,9,70
2023-11-09,10029,201925,194,30,9,66
2023-11-10,10029,201925,194,30,9,66
2023-11-11,10029,201925,169,31,9,68
2023-11-12,10029,201925,153,30,9,66
2023-11-13,10029,201925,136,26,8,57
2023-11-14,10029,201925,134,24,7,53
2023-11-15,10029,201925,180,23,7,50
2023-11-16,10029,201925,125,22,6,48
2023-11-17,10029,201925,115,22,6,48
2023-11-18,10029,201925,117,20,6,44
2023-11-19,10029,201925,324,20,6,44
2023-11-20,10029,201925,454,19,6,42
2023-11-21,10029,201925,311,19,6,42
2023-11-22,10029,201925,293,18,5,39
2023-11-23,10029,201925,292,17,5,37
2023-11-24,10029,201925,272,17,5,37
2023-11-25,10029,201925,376,19,6,42
2023-11-26,10029,201925,282,19,6,42
2023-11-27,10029,201925,582,20,6,44
2023-11-28,10029,201925,717,21,6,46
2023-11-29,10029,201925,985,21,6,46
2023-11-30,10029,201925,1405,23,7,50
2023-11-01,10029,401534,154,2,1,4
2023-11-02,10029,401534,105,2,1,4
2023-11-03,10029,401534,101,2,1,4
2023-11-05,10029,401534,148,2,1,4
2023-11-06,10029,401534,112,2,1,4
2023-11-08,10029,401534,113,2,1,4
2023-11-10,10029,401534,129,2,1,4
2023-11-14,10029,401534,94,2,1,4
2023-11-17,10029,401534,90,2,1,4
2023-11-18,10029,401534,96,2,1,4
2023-11-20,10029,401534,121,2,1,4
2023-11-23,10029,401534,100,2,1,4
2023-11-24,10029,401534,98,1,0,2
2023-11-25,10029,401534,116,1,0,2
2023-11-26,10029,401534,102,1,0,2
2023-11-27,10029,401534,94,1,0,2
2023-11-28,10029,401534,81,1,0,2
2023-11-29,10029,401534,81,1,0,2
2023-11-30,10029,401534,108,1,0,2
2023-11-01,10029,408789,1310,7,3,15
2023-11-02,10029,408789,642,5,2,11
2023-11-03,10029,408789,629,5,2,11
2023-11-04,10029,408789,647,4,1,9
2023-11-05,10029,408789,1102,4,1,9
2023-11-06,10029,408789,649,3,1,7
2023-11-07,10029,408789,644,3,1,7
2023-11-08,10029,408789,580,3,1,7
2023-11-09,10029,408789,562,3,1,7
2023-11-10,10029,408789,797,4,1,9
