date,shop,genre,predicted_sales
2019-05-10,1050,506539,1328345
2019-05-11,1050,506539,1346590
2019-05-12,1050,506539,1762529
2019-05-13,1050,506539,1435069
2019-05-14,1050,506539,1440045
2019-05-15,1050,506539,1638623
2019-05-16,1050,506539,1820367
2019-05-17,1050,506539,1707136
2019-05-18,1050,506539,1906382
2019-05-19,1050,506539,2347807
2019-05-20,1050,506539,1824842
2019-05-21,1050,506539,1768450
2019-05-22,1050,506539,1788496
2019-05-23,1050,506539,1346212
2019-05-24,1050,506539,1111220
2019-05-25,1050,506539,1081163
2019-05-26,1050,506539,1329530
2019-05-27,1050,506539,1045724
2019-05-28,1050,506539,1020009
2019-05-29,1050,506539,1040810
2019-05-30,1050,506539,1015018
2019-05-31,1050,506539,919789
2019-05-01,11018,206440,17381
2019-05-02,11018,206440,17598
2019-05-03,11018,206440,15353
2019-05-04,11018,206440,13694
2019-05-05,11018,206440,19533
2019-05-06,11018,206440,11450
2019-05-07,11018,206440,13642
2019-05-08,11018,206440,15556
2019-05-09,11018,206440,13856
2019-05-10,11018,206440,17998
2019-05-11,11018,206440,18584
2019-05-12,11018,206440,22473
2019-05-13,11018,206440,21219
2019-05-14,11018,206440,20848
2019-05-15,11018,206440,24588
2019-05-16,11018,206440,25042
2019-05-17,11018,206440,25327
2019-05-18,11018,206440,24140
2019-05-19,11018,206440,19311
2019-05-20,11018,206440,25445
2019-05-21,11018,206440,18076
2019-05-22,11018,206440,18613
2019-05-23,11018,206440,19943
2019-05-24,11018,206440,17326
2019-05-25,11018,206440,24572
2019-05-26,11018,206440,15742
2019-05-27,11018,206440,14349
2019-05-28,11018,206440,16059
2019-05-29,11018,206440,17894
2019-05-30,11018,206440,23112
2019-05-31,11018,206440,17127
2019-05-01,11018,206471,1079
2019-05-02,11018,206471,1073
2019-05-03,11018,206471,626
2019-05-04,11018,206471,266
2019-05-05,11018,206471,378
2019-05-06,11018,206471,398
2019-05-07,11018,206471,419
2019-05-08,11018,206471,441
2019-05-09,11018,206471,438
2019-05-10,11018,206471,585
2019-05-11,11018,206471,824
2019-05-12,11018,206471,876
2019-05-13,11018,206471,727
2019-05-14,11018,206471,1971
2019-05-15,11018,206471,2433
2019-05-16,11018,206471,2295
2019-05-17,11018,206471,2188
2019-05-18,11018,206471,1999
2019-05-19,11018,206471,1854
2019-05-20,11018,206471,2253
2019-05-21,11018,206471,1187
2019-05-22,11018,206471,1352
2019-05-23,11018,206471,1591
2019-05-24,11018,206471,1487
2019-05-25,11018,206471,2072
2019-05-26,11018,206471,1806
2019-05-27,11018,206471,1566
2019-05-28,11018,206471,1307
2019-05-29,11018,206471,1163
2019-05-30,11018,206471,1332
2019-05-31,11018,206471,923
2019-05-02,11018,216158,659
2019-05-04,11018,216158,617
2019-05-05,11018,216158,710
2019-05-06,11018,216158,106
2019-05-07,11018,216158,105
2019-05-09,11018,216158,111
2019-05-10,11018,216158,119
2019-05-11,11018,216158,103
2019-05-12,11018,216158,115
2019-05-13,11018,216158,103
2019-05-17,11018,216158,103
2019-05-18,11018,216158,101
2019-05-19,11018,216158,113
2019-05-20,11018,216158,115
2019-05-21,11018,216158,101
2019-05-22,11018,216158,109
