date,shop,genre,predicted_sales,predicted_units,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2024-10-01,10237,215430,104,0,8,2,18
2024-10-02,10237,215430,93,0,7,2,16
2024-10-03,10237,215430,92,0,7,2,16
2024-10-04,10237,215430,87,0,8,2,18
2024-10-05,10237,215430,104,0,9,3,20
2024-10-06,10237,215430,92,0,9,3,20
2024-10-07,10237,215430,91,0,10,3,22
2024-10-08,10237,215430,92,0,9,3,20
2024-10-09,10237,215430,93,0,11,3,25
2024-10-10,10237,215430,104,0,10,3,22
2024-10-11,10237,215430,87,0,10,3,22
2024-10-12,10237,215430,90,0,10,3,22
2024-10-13,10237,215430,92,0,9,3,20
2024-10-14,10237,215430,91,0,9,3,20
2024-10-15,10237,215430,104,0,9,3,20
2024-10-16,10237,215430,93,0,8,2,18
2024-10-17,10237,215430,92,0,9,3,20
2024-10-18,10237,215430,87,0,9,3,20
2024-10-19,10237,215430,90,0,9,3,20
2024-10-20,10237,215430,104,0,10,3,22
2024-10-21,10237,215430,91,0,9,3,20
2024-10-22,10237,215430,92,0,9,3,20
2024-10-23,10237,215430,93,0,9,3,20
2024-10-24,10237,215430,92,0,8,2,18
2024-10-25,10237,215430,99,0,8,2,18
2024-10-26,10237,215430,90,0,9,3,20
2024-10-27,10237,215430,92,0,9,3,20
2024-10-28,10237,215430,91,0,8,2,18
2024-10-29,10237,215430,92,0,8,2,18
2024-10-30,10237,215430,104,0,8,2,18
2024-10-31,10237,215430,92,0,8,2,18
2024-10-01,10403,100181,43,0,2,1,4
2024-10-04,10403,100181,43,0,2,1,4
2024-10-05,10403,100181,43,0,2,1,4
2024-10-06,10403,100181,43,0,2,1,4
2024-10-07,10403,100181,43,0,2,1,4
2024-10-11,10403,100181,43,0,2,1,4
2024-10-12,10403,100181,43,0,2,1,4
2024-10-13,10403,100181,43,0,1,0,2
2024-10-14,10403,100181,43,0,1,0,2
2024-10-15,10403,100181,43,0,1,0,2
2024-10-17,10403,100181,43,0,1,0,2
2024-10-18,10403,100181,34,0,1,0,2
2024-10-23,10403,100181,26,0,1,0,2
2024-10-24,10403,100181,26,0,1,0,2
2024-10-08,10403,201632,38,0,1,0,2
2024-10-09,10403,201632,39,0,1,0,2
2024-10-31,10403,201632,37,0,1,0,2
2024-10-01,10403,205582,32,0,7,2,16
2024-10-02,10403,205582,31,0,7,2,16
2024-10-03,10403,205582,34,0,7,2,16
2024-10-04,10403,205582,34,0,7,2,16
2024-10-05,10403,205582,68,0,7,2,16
2024-10-06,10403,205582,40,0,7,2,16
2024-10-07,10403,205582,630,0,6,2,14
2024-10-08,10403,205582,625,0,6,2,14
2024-10-09,10403,205582,617,0,6,2,14
2024-10-10,10403,205582,1139,0,6,2,14
2024-10-11,10403,205582,666,0,6,2,14
2024-10-12,10403,205582,742,0,6,2,14
2024-10-13,10403,205582,783,0,7,2,16
2024-10-14,10403,205582,124,0,7,2,16
2024-10-15,10403,205582,206,0,7,2,16
2024-10-16,10403,205582,121,0,7,2,16
2024-10-17,10403,205582,119,0,7,2,16
2024-10-18,10403,205582,119,0,7,2,16
2024-10-19,10403,205582,465,0,7,2,16
2024-10-20,10403,205582,864,0,8,2,19
2024-10-21,10403,205582,395,0,7,2,16
2024-10-22,10403,205582,392,0,7,2,16
2024-10-23,10403,205582,387,0,7,2,16
2024-10-24,10403,205582,415,0,7,2,16
2024-10-25,10403,205582,700,0,7,2,16
2024-10-26,10403,205582,159,0,6,2,14
2024-10-27,10403,205582,168,0,6,2,14
2024-10-28,10403,205582,135,0,6,2,14
2024-10-29,10403,205582,134,0,7,2,16
2024-10-30,10403,205582,221,0,7,2,16
2024-10-31,10403,205582,142,0,6,2,14
2024-10-01,10403,205611,158,0,3,1,6
2024-10-02,10403,205611,136,0,3,1,6
2024-10-03,10403,205611,137,0,3,1,6
2024-10-04,10403,205611,129,0,3,1,6
2024-10-05,10403,205611,171,0,3,1,6
2024-10-10,10403,205611,171,0,3,1,6
2024-10-11,10403,205611,127,0,3,1,6
2024-10-12,10403,205611,131,0,3,1,6
2024-10-13,10403,205611,145,0,3,1,6
2024-10-16,10403,205611,137,0,3,1,6
2024-10-17,10403,205611,138,0,4,1,9
2024-10-18,10403,205611,127,0,4,1,9
2024-10-19,10403,205611,131,0,5,2,11
2024-10-20,10403,205611,171,0,5,2,11
2024-10-21,10403,205611,138,0,5,2,11
2024-10-22,10403,205611,133,0,4,1,9
2024-10-25,10403,205611,171,0,4,1,9
2024-10-26,10403,205611,133,0,4,1,9
2024-10-27,10403,205611,147,0,3,1,6
2024-10-28,10403,205611,138,0,3,1,6
2024-10-29,10403,205611,133,0,3,1,6
2024-10-31,10403,205611,137,0,3,1,6
2024-10-01,10403,215430,5858,0,4,1,9
2024-10-02,10403,215430,5236,0,4,1,9
2024-10-03,10403,215430,5119,0,3,1,7
2024-10-04,10403,215430,560,0,3,1,7
2024-10-05,10403,215430,637,0,3,1,7
2024-10-06,10403,215430,543,0,3,1,7
2024-10-07,10403,215430,518,0,3,1,7
2024-10-08,10403,215430,500,0,3,1,7
2024-10-10,10403,215430,546,0,3,1,7
2024-10-11,10403,215430,455,0,3,1,7
2024-10-12,10403,215430,463,0,3,1,7
2024-10-13,10403,215430,469,0,3,1,7
2024-10-14,10403,215430,461,0,3,1,7
2024-10-15,10403,215430,518,0,3,1,7
2024-10-16,10403,215430,462,0,3,1,7
2024-10-17,10403,215430,450,0,3,1,7
2024-10-18,10403,215430,426,0,3,1,7
2024-10-19,10403,215430,435,0,3,1,7
2024-10-20,10403,215430,498,0,3,1,7
2024-10-28,10403,215430,436,0,3,1,7
2024-10-29,10403,215430,434,0,3,1,7
2024-10-01,10403,551228,5495,0,17,6,39
2024-10-02,10403,551228,3493,0,13,4,30
2024-10-03,10403,551228,2903,0,12,4,28
2024-10-04,10403,551228,2531,0,13,4,30
2024-10-05,10403,551228,4139,0,15,5,35
2024-10-06,10403,551228,4588,1,17,6,39
2024-10-07,10403,551228,4325,1,17,6,39
2024-10-08,10403,551228,4817,1,18,6,41
2024-10-09,10403,551228,4649,1,18,6,41
2024-10-10,10403,551228,6445,1,22,7,51
2024-10-11,10403,551228,4202,1,25,8,58
2024-10-12,10403,551228,4360,0,31,10,71
2024-10-13,10403,551228,4408,0,37,12,85
2024-10-14,10403,551228,3914,1,36,12,83
2024-10-15,10403,551228,4740,0,37,12,85
2024-10-16,10403,551228,3932,0,39,13,90
2024-10-17,10403,551228,3202,0,38,13,88
2024-10-18,10403,551228,3025,0,34,11,78
2024-10-19,10403,551228,3453,0,32,11,74
2024-10-20,10403,551228,5849,0,33,11,76
2024-10-21,10403,551228,3369,0,26,9,60
2024-10-22,10403,551228,3483,0,24,8,55
2024-10-23,10403,551228,3557,0,23,8,53
2024-10-24,10403,551228,3809,0,21,7,48
2024-10-25,10403,551228,3802,0,18,6,41
2024-10-26,10403,551228,3245,0,18,6,41
2024-10-27,10403,551228,3724,0,19,6,44
2024-10-28,10403,551228,2685,0,18,6,41
2024-10-29,10403,551228,2776,0,20,7,46
2024-10-30,10403,551228,3505,0,23,8,53
2024-10-31,10403,551228,2327,0,20,7,46
2024-10-01,10403,563689,255,0,1,0,2
2024-10-03,10403,563689,166,0,2,1,4
2024-10-04,10403,563689,178,0,2,1,4
