date,shop,genre,predicted_sales,predicted_page_views
2026-01-04,10047,567434,120,1
2026-01-06,10047,567434,105,1
2026-01-24,10047,567434,142,1
2026-01-25,10047,567434,188,1
2026-01-01,10130,205611,16229,105
2026-01-02,10130,205611,14796,102
2026-01-03,10130,205611,17476,103
2026-01-04,10130,205611,18495,111
2026-01-05,10130,205611,18100,123
2026-01-06,10130,205611,22427,125
2026-01-07,10130,205611,21563,127
2026-01-08,10130,205611,22337,129
2026-01-09,10130,205611,20659,131
2026-01-10,10130,205611,19411,129
2026-01-11,10130,205611,21074,119
2026-01-12,10130,205611,23857,112
2026-01-13,10130,205611,19740,112
2026-01-14,10130,205611,19607,110
2026-01-15,10130,205611,19018,110
2026-01-16,10130,205611,14585,110
2026-01-17,10130,205611,15168,105
2026-01-18,10130,205611,15016,98
2026-01-19,10130,205611,12150,90
2026-01-20,10130,205611,14871,82
2026-01-21,10130,205611,13156,80
2026-01-22,10130,205611,12137,78
2026-01-23,10130,205611,10083,75
2026-01-24,10130,205611,10550,75
2026-01-25,10130,205611,14457,81
2026-01-26,10130,205611,12727,88
2026-01-27,10130,205611,13027,95
2026-01-28,10130,205611,11612,94
2026-01-29,10130,205611,12567,97
2026-01-30,10130,205611,15867,96
2026-01-31,10130,205611,11555,97
2026-01-01,10130,206440,81043,547
2026-01-02,10130,206440,72079,507
2026-01-03,10130,206440,70759,533
2026-01-04,10130,206440,70444,564
2026-01-05,10130,206440,65272,567
2026-01-06,10130,206440,67552,595
2026-01-07,10130,206440,72083,609
2026-01-08,10130,206440,73514,627
2026-01-09,10130,206440,70390,620
2026-01-10,10130,206440,75838,658
2026-01-11,10130,206440,78211,674
2026-01-12,10130,206440,71176,610
2026-01-13,10130,206440,75597,661
2026-01-14,10130,206440,80601,672
2026-01-15,10130,206440,86069,659
2026-01-16,10130,206440,70572,649
2026-01-17,10130,206440,57627,602
2026-01-18,10130,206440,54957,562
2026-01-19,10130,206440,51009,499
2026-01-20,10130,206440,75036,498
2026-01-21,10130,206440,57107,483
