date,genre,rank,estimated_sales,lower_rank,upper_rank,lower_sales,upper_sales
2022-02-01,100487,10,32053.04,9,17,31920.0,33000.0
2022-02-01,100487,11,32186.64,9,17,31920.0,33000.0
2022-02-01,100487,12,32320.79,9,17,31920.0,33000.0
2022-02-01,100487,13,32455.51,9,17,31920.0,33000.0
2022-02-01,100487,14,32590.78,9,17,31920.0,33000.0
2022-02-01,100487,15,32726.62,9,17,31920.0,33000.0
2022-02-01,100487,16,32863.03,9,17,31920.0,33000.0
2022-02-01,101020,40,8756.08,39,54,9000.0,5960.0
2022-02-01,101020,41,8518.77,39,54,9000.0,5960.0
2022-02-01,101020,42,8287.89,39,54,9000.0,5960.0
2022-02-01,101020,43,8063.27,39,54,9000.0,5960.0
2022-02-01,101020,44,7844.73,39,54,9000.0,5960.0
2022-02-01,101020,45,7632.12,39,54,9000.0,5960.0
2022-02-01,101020,46,7425.27,39,54,9000.0,5960.0
2022-02-01,101020,47,7224.02,39,54,9000.0,5960.0
2022-02-01,101020,48,7028.23,39,54,9000.0,5960.0
2022-02-01,101020,49,6837.74,39,54,9000.0,5960.0
2022-02-01,101020,50,6652.42,39,54,9000.0,5960.0
2022-02-01,101020,51,6472.12,39,54,9000.0,5960.0
2022-02-01,101020,52,6296.7,39,54,9000.0,5960.0
2022-02-01,101020,53,6126.04,39,54,9000.0,5960.0
2022-02-01,101535,62,13768.26,61,75,13863.0,12594.0
2022-02-01,101535,63,13674.17,61,75,13863.0,12594.0
2022-02-01,101535,64,13580.72,61,75,13863.0,12594.0
2022-02-01,101535,65,13487.91,61,75,13863.0,12594.0
2022-02-01,101535,66,13395.74,61,75,13863.0,12594.0
2022-02-01,101535,67,13304.2,61,75,13863.0,12594.0
2022-02-01,101535,68,13213.28,61,75,13863.0,12594.0
2022-02-01,101535,69,13122.98,61,75,13863.0,12594.0
2022-02-01,101535,70,13033.3,61,75,13863.0,12594.0
2022-02-01,101535,71,12944.23,61,75,13863.0,12594.0
2022-02-01,101535,72,12855.77,61,75,13863.0,12594.0
2022-02-01,101535,73,12767.91,61,75,13863.0,12594.0
2022-02-01,101535,74,12680.66,61,75,13863.0,12594.0
2022-02-01,110435,53,8022.38,52,70,7920.0,9980.0
2022-02-01,110435,54,8126.09,52,70,7920.0,9980.0
2022-02-01,110435,55,8231.13,52,70,7920.0,9980.0
2022-02-01,110435,56,8337.54,52,70,7920.0,9980.0
2022-02-01,110435,57,8445.31,52,70,7920.0,9980.0
2022-02-01,110435,58,8554.49,52,70,7920.0,9980.0
2022-02-01,110435,59,8665.07,52,70,7920.0,9980.0
2022-02-01,110435,60,8777.08,52,70,7920.0,9980.0
2022-02-01,110435,61,8890.54,52,70,7920.0,9980.0
2022-02-01,110435,62,9005.47,52,70,7920.0,9980.0
2022-02-01,110435,63,9121.88,52,70,7920.0,9980.0
2022-02-01,110435,64,9239.8,52,70,7920.0,9980.0
2022-02-01,110435,65,9359.24,52,70,7920.0,9980.0
2022-02-01,110435,66,9480.22,52,70,7920.0,9980.0
2022-02-01,110435,67,9602.77,52,70,7920.0,9980.0
2022-02-01,110435,68,9726.9,52,70,7920.0,9980.0
2022-02-01,110435,69,9852.64,52,70,7920.0,9980.0
2022-02-01,205582,7,126066.41,6,16,135320.0,66640.0
2022-02-01,205582,8,117445.6,6,16,135320.0,66640.0
2022-02-01,205582,9,109414.31,6,16,135320.0,66640.0
2022-02-01,205582,10,101932.21,6,16,135320.0,66640.0
2022-02-01,205582,11,94961.77,6,16,135320.0,66640.0
2022-02-01,205582,12,88467.97,6,16,135320.0,66640.0
2022-02-01,205582,13,82418.24,6,16,135320.0,66640.0
2022-02-01,205582,14,76782.21,6,16,135320.0,66640.0
