date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2023-11-01,110365,46,,estimated,7671.0,43,48,8800.0,7000.0
2023-11-01,110365,47,,estimated,7327.83,43,48,8800.0,7000.0
2023-11-01,110365,48,193,actual,7000.0,,,,
2023-11-01,110365,49,,estimated,8282.53,48,50,7000.0,9800.0
2023-11-01,110365,50,4541,actual,9800.0,,,,
2023-11-01,110365,51,,estimated,8900.55,50,56,9800.0,5500.0
2023-11-01,110365,52,,estimated,8083.64,50,56,9800.0,5500.0
2023-11-01,110365,53,,estimated,7341.7,50,56,9800.0,5500.0
2023-11-01,110365,54,,estimated,6667.85,50,56,9800.0,5500.0
2023-11-01,110365,55,,estimated,6055.84,50,56,9800.0,5500.0
2023-11-01,110365,56,193,actual,5500.0,,,,
2023-11-01,110365,57,,estimated,5418.79,56,71,5500.0,4400.0
2023-11-01,110365,58,,estimated,5338.77,56,71,5500.0,4400.0
2023-11-01,110365,59,,estimated,5259.94,56,71,5500.0,4400.0
2023-11-01,110365,60,,estimated,5182.27,56,71,5500.0,4400.0
2023-11-01,110365,61,,estimated,5105.75,56,71,5500.0,4400.0
2023-11-01,110365,62,,estimated,5030.36,56,71,5500.0,4400.0
2023-11-01,110365,63,,estimated,4956.08,56,71,5500.0,4400.0
2023-11-01,110365,64,,estimated,4882.9,56,71,5500.0,4400.0
2023-11-01,110365,65,,estimated,4810.8,56,71,5500.0,4400.0
2023-11-01,110365,66,,estimated,4739.76,56,71,5500.0,4400.0
2023-11-01,110365,67,,estimated,4669.77,56,71,5500.0,4400.0
2023-11-01,110365,68,,estimated,4600.82,56,71,5500.0,4400.0
2023-11-01,110365,69,,estimated,4532.88,56,71,5500.0,4400.0
2023-11-01,110365,70,,estimated,4465.95,56,71,5500.0,4400.0
2023-11-01,110365,71,193,actual,4400.0,,,,
2023-11-01,110365,72,193,actual,4000.0,,,,
2023-11-01,110365,73,,estimated,4381.78,72,74,4000.0,4800.0
2023-11-01,110365,74,193,actual,4800.0,,,,
2023-11-01,200181,5,1610,actual,31196.0,,,,
2023-11-01,200181,6,,estimated,29873.41,5,21,31196.0,15598.0
2023-11-01,200181,7,,estimated,28606.89,5,21,31196.0,15598.0
2023-11-01,200181,8,,estimated,27394.06,5,21,31196.0,15598.0
2023-11-01,200181,9,,estimated,26232.66,5,21,31196.0,15598.0
2023-11-01,200181,10,,estimated,25120.49,5,21,31196.0,15598.0
