date,genre,rank,estimated_sales,lower_rank,upper_rank,lower_sales,upper_sales
2022-03-01,101020,48,6052.85,47,61,5960.0,7400.0
2022-03-01,101020,49,6147.14,47,61,5960.0,7400.0
2022-03-01,101020,50,6242.9,47,61,5960.0,7400.0
2022-03-01,101020,51,6340.15,47,61,5960.0,7400.0
2022-03-01,101020,52,6438.92,47,61,5960.0,7400.0
2022-03-01,101020,53,6539.22,47,61,5960.0,7400.0
2022-03-01,101020,54,6641.09,47,61,5960.0,7400.0
2022-03-01,101020,55,6744.54,47,61,5960.0,7400.0
2022-03-01,101020,56,6849.61,47,61,5960.0,7400.0
2022-03-01,101020,57,6956.31,47,61,5960.0,7400.0
2022-03-01,101020,58,7064.68,47,61,5960.0,7400.0
2022-03-01,101020,59,7174.73,47,61,5960.0,7400.0
2022-03-01,101020,60,7286.49,47,61,5960.0,7400.0
2022-03-01,110435,26,26085.58,25,31,27520.0,19960.0
2022-03-01,110435,27,24725.93,25,31,27520.0,19960.0
2022-03-01,110435,28,23437.15,25,31,27520.0,19960.0
2022-03-01,110435,29,22215.53,25,31,27520.0,19960.0
2022-03-01,110435,30,21057.59,25,31,27520.0,19960.0
2022-03-01,205611,4,52786.56,3,7,62580.0,31680.0
2022-03-01,205611,5,44525.72,3,7,62580.0,31680.0
2022-03-01,205611,6,37557.63,3,7,62580.0,31680.0
2022-03-01,205611,8,29935.55,7,23,31680.0,12800.0
2022-03-01,205611,9,28287.15,7,23,31680.0,12800.0
2022-03-01,205611,10,26729.51,7,23,31680.0,12800.0
2022-03-01,205611,11,25257.65,7,23,31680.0,12800.0
2022-03-01,205611,12,23866.83,7,23,31680.0,12800.0
2022-03-01,205611,13,22552.59,7,23,31680.0,12800.0
2022-03-01,205611,14,21310.72,7,23,31680.0,12800.0
2022-03-01,205611,15,20137.23,7,23,31680.0,12800.0
2022-03-01,205611,16,19028.36,7,23,31680.0,12800.0
2022-03-01,205611,17,17980.55,7,23,31680.0,12800.0
2022-03-01,205611,18,16990.43,7,23,31680.0,12800.0
2022-03-01,205611,19,16054.83,7,23,31680.0,12800.0
2022-03-01,205611,20,15170.74,7,23,31680.0,12800.0
2022-03-01,205611,21,14335.34,7,23,31680.0,12800.0
2022-03-01,205611,22,13545.94,7,23,31680.0,12800.0
2022-03-01,216158,2,43946.12,1,3,84150.0,22950.0
2022-03-01,216158,4,21492.2,3,9,22950.0,15480.0
2022-03-01,216158,5,20127.01,3,9,22950.0,15480.0
2022-03-01,216158,6,18848.52,3,9,22950.0,15480.0
2022-03-01,216158,7,17651.24,3,9,22950.0,15480.0
2022-03-01,216158,8,16530.01,3,9,22950.0,15480.0
2022-03-01,216158,10,14600.93,9,15,15480.0,10900.0
2022-03-01,216158,11,13771.78,9,15,15480.0,10900.0
2022-03-01,216158,12,12989.7,9,15,15480.0,10900.0
2022-03-01,216158,13,12252.04,9,15,15480.0,10900.0
2022-03-01,216158,14,11556.27,9,15,15480.0,10900.0
2022-03-01,216158,16,10849.88,15,17,10900.0,10800.0
2022-03-01,216158,18,10549.94,17,32,10800.0,7600.0
2022-03-01,216158,19,10305.67,17,32,10800.0,7600.0
2022-03-01,216158,20,10067.05,17,32,10800.0,7600.0
