date,genre,rank,estimated_sales,lower_rank,upper_rank,lower_sales,upper_sales
2024-08-01,201632,71,12313.0,70,72,12320.0,12306.0
2024-08-01,201632,73,14260.5,72,78,12306.0,29800.0
2024-08-01,201632,74,16525.41,72,78,12306.0,29800.0
2024-08-01,201632,75,19150.0,72,78,12306.0,29800.0
2024-08-01,201632,76,22191.42,72,78,12306.0,29800.0
2024-08-01,201632,77,25715.85,72,78,12306.0,29800.0
2024-08-01,202502,2,428126.36,1,3,542169.0,338072.0
2024-08-01,202502,4,252567.62,3,7,338072.0,105313.0
2024-08-01,202502,5,188688.75,3,7,338072.0,105313.0
2024-08-01,202502,6,140965.92,3,7,338072.0,105313.0
2024-08-01,202502,31,73177.47,30,33,74837.0,69968.0
2024-08-01,202502,32,71554.74,30,33,74837.0,69968.0
2024-08-01,202502,34,66177.7,33,46,69968.0,33920.0
2024-08-01,202502,35,62592.72,33,46,69968.0,33920.0
2024-08-01,202502,36,59201.94,33,46,69968.0,33920.0
2024-08-01,202502,37,55994.85,33,46,69968.0,33920.0
2024-08-01,202502,38,52961.48,33,46,69968.0,33920.0
2024-08-01,202502,39,50092.44,33,46,69968.0,33920.0
2024-08-01,202502,40,47378.82,33,46,69968.0,33920.0
2024-08-01,202502,41,44812.2,33,46,69968.0,33920.0
2024-08-01,202502,42,42384.62,33,46,69968.0,33920.0
2024-08-01,202502,43,40088.54,33,46,69968.0,33920.0
2024-08-01,202502,44,37916.84,33,46,69968.0,33920.0
2024-08-01,202502,45,35862.78,33,46,69968.0,33920.0
2024-08-01,202502,47,36488.01,46,49,33920.0,42222.0
2024-08-01,202502,48,39250.44,46,49,33920.0,42222.0
2024-08-01,202502,50,40669.86,49,58,42222.0,30140.0
2024-08-01,202502,51,39174.78,49,58,42222.0,30140.0
2024-08-01,202502,52,37734.66,49,58,42222.0,30140.0
2024-08-01,202502,53,36347.48,49,58,42222.0,30140.0
2024-08-01,202502,54,35011.29,49,58,42222.0,30140.0
2024-08-01,202502,55,33724.22,49,58,42222.0,30140.0
2024-08-01,202502,56,32484.46,49,58,42222.0,30140.0
2024-08-01,202502,57,31290.28,49,58,42222.0,30140.0
2024-08-01,202502,59,29252.22,58,63,30140.0,25955.0
2024-08-01,202502,60,28390.59,58,63,30140.0,25955.0
2024-08-01,202502,61,27554.34,58,63,30140.0,25955.0
2024-08-01,202502,62,26742.72,58,63,30140.0,25955.0
2024-08-01,202502,64,25666.08,63,74,25955.0,22948.0
2024-08-01,202502,65,25380.38,63,74,25955.0,22948.0
2024-08-01,202502,66,25097.86,63,74,25955.0,22948.0
2024-08-01,202502,67,24818.48,63,74,25955.0,22948.0
2024-08-01,202502,68,24542.21,63,74,25955.0,22948.0
2024-08-01,202502,69,24269.02,63,74,25955.0,22948.0
2024-08-01,202502,70,23998.87,63,74,25955.0,22948.0
2024-08-01,202502,71,23731.72,63,74,25955.0,22948.0
2024-08-01,202502,72,23467.55,63,74,25955.0,22948.0
2024-08-01,202502,73,23206.32,63,74,25955.0,22948.0
2024-08-01,204934,3,130462.16,2,5,188640.0,62400.0
2024-08-01,204934,4,90226.67,2,5,188640.0,62400.0
2024-08-01,204934,6,46856.01,5,7,62400.0,35184.0
2024-08-01,204934,8,34614.22,7,18,35184.0,29400.0
2024-08-01,204934,9,34053.66,7,18,35184.0,29400.0
2024-08-01,204934,10,33502.18,7,18,35184.0,29400.0
2024-08-01,204934,11,32959.64,7,18,35184.0,29400.0
2024-08-01,204934,12,32425.87,7,18,35184.0,29400.0
2024-08-01,204934,13,31900.76,7,18,35184.0,29400.0
2024-08-01,204934,14,31384.14,7,18,35184.0,29400.0
2024-08-01,204934,15,30875.89,7,18,35184.0,29400.0
2024-08-01,204934,16,30375.87,7,18,35184.0,29400.0
2024-08-01,204934,17,29883.95,7,18,35184.0,29400.0
2024-08-01,204934,19,30625.82,18,31,29400.0,50000.0
2024-08-01,204934,20,31902.74,18,31,29400.0,50000.0
2024-08-01,204934,21,33232.9,18,31,29400.0,50000.0
2024-08-01,204934,22,34618.52,18,31,29400.0,50000.0
2024-08-01,204934,23,36061.91,18,31,29400.0,50000.0
2024-08-01,204934,24,37565.48,18,31,29400.0,50000.0
2024-08-01,204934,25,39131.74,18,31,29400.0,50000.0
2024-08-01,204934,26,40763.3,18,31,29400.0,50000.0
2024-08-01,204934,27,42462.89,18,31,29400.0,50000.0
2024-08-01,204934,28,44233.33,18,31,29400.0,50000.0
2024-08-01,204934,29,46077.59,18,31,29400.0,50000.0
2024-08-01,204934,30,47998.75,18,31,29400.0,50000.0
2024-08-01,204934,32,48624.63,31,39,50000.0,40000.0
2024-08-01,204934,33,47287.09,31,39,50000.0,40000.0
2024-08-01,204934,34,45986.34,31,39,50000.0,40000.0
2024-08-01,204934,35,44721.37,31,39,50000.0,40000.0
2024-08-01,204934,36,43491.19,31,39,50000.0,40000.0
2024-08-01,204934,37,42294.86,31,39,50000.0,40000.0
2024-08-01,204934,38,41131.43,31,39,50000.0,40000.0
2024-08-01,204934,40,40640.48,39,45,40000.0,44000.0
2024-08-01,204934,41,41291.21,39,45,40000.0,44000.0
2024-08-01,204934,42,41952.36,39,45,40000.0,44000.0
2024-08-01,204934,43,42624.09,39,45,40000.0,44000.0
2024-08-01,204934,44,43306.58,39,45,40000.0,44000.0
2024-08-01,204934,46,42166.29,45,57,44000.0,26400.0
2024-08-01,204934,47,40409.0,45,57,44000.0,26400.0
2024-08-01,204934,48,38724.94,45,57,44000.0,26400.0
2024-08-01,204934,49,37111.07,45,57,44000.0,26400.0
2024-08-01,204934,50,35564.45,45,57,44000.0,26400.0
2024-08-01,204934,51,34082.29,45,57,44000.0,26400.0
2024-08-01,204934,52,32661.89,45,57,44000.0,26400.0
2024-08-01,204934,53,31300.69,45,57,44000.0,26400.0
2024-08-01,204934,54,29996.21,45,57,44000.0,26400.0
2024-08-01,204934,55,28746.1,45,57,44000.0,26400.0
2024-08-01,204934,56,27548.09,45,57,44000.0,26400.0
2024-08-01,204964,22,50631.0,21,33,51640.0,40752.0
2024-08-01,204964,23,49641.71,21,33,51640.0,40752.0
2024-08-01,204964,24,48671.75,21,33,51640.0,40752.0
2024-08-01,204964,25,47720.74,21,33,51640.0,40752.0
2024-08-01,204964,26,46788.32,21,33,51640.0,40752.0
2024-08-01,204964,27,45874.11,21,33,51640.0,40752.0
2024-08-01,204964,28,44977.76,21,33,51640.0,40752.0
2024-08-01,204964,29,44098.93,21,33,51640.0,40752.0
2024-08-01,204964,30,43237.27,21,33,51640.0,40752.0
2024-08-01,204964,31,42392.45,21,33,51640.0,40752.0
2024-08-01,204964,32,41564.13,21,33,51640.0,40752.0
2024-08-01,204964,34,40752.0,33,38,40752.0,40752.0
2024-08-01,204964,35,40752.0,33,38,40752.0,40752.0
2024-08-01,204964,36,40752.0,33,38,40752.0,40752.0
2024-08-01,204964,37,40752.0,33,38,40752.0,40752.0
2024-08-01,204964,39,40043.32,38,47,40752.0,34800.0
2024-08-01,204964,40,39346.97,38,47,40752.0,34800.0
2024-08-01,204964,41,38662.72,38,47,40752.0,34800.0
2024-08-01,204964,42,37990.37,38,47,40752.0,34800.0
2024-08-01,204964,43,37329.72,38,47,40752.0,34800.0
2024-08-01,204964,44,36680.55,38,47,40752.0,34800.0
2024-08-01,204964,45,36042.67,38,47,40752.0,34800.0
2024-08-01,204964,46,35415.89,38,47,40752.0,34800.0
2024-08-01,204964,48,32033.18,47,51,34800.0,24984.0
2024-08-01,204964,49,29486.34,47,51,34800.0,24984.0
2024-08-01,204964,50,27141.97,47,51,34800.0,24984.0
2024-08-01,204964,52,24232.35,51,57,24984.0,20800.0
2024-08-01,204964,53,23503.32,51,57,24984.0,20800.0
2024-08-01,204964,54,22796.21,51,57,24984.0,20800.0
2024-08-01,204964,55,22110.38,51,57,24984.0,20800.0
2024-08-01,204964,56,21445.19,51,57,24984.0,20800.0
2024-08-01,204964,58,20609.0,57,72,20800.0,18112.0
2024-08-01,204964,59,20419.75,57,72,20800.0,18112.0
2024-08-01,204964,60,20232.24,57,72,20800.0,18112.0
2024-08-01,204964,61,20046.45,57,72,20800.0,18112.0
2024-08-01,204964,62,19862.37,57,72,20800.0,18112.0
2024-08-01,204964,63,19679.98,57,72,20800.0,18112.0
2024-08-01,204964,64,19499.26,57,72,20800.0,18112.0
2024-08-01,204964,65,19320.2,57,72,20800.0,18112.0
2024-08-01,204964,66,19142.79,57,72,20800.0,18112.0
2024-08-01,204964,67,18967.01,57,72,20800.0,18112.0
