date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-02-01,100181,70,40631,actual,7200.0,,,,
2026-02-01,100487,6,13415,actual,90000.0,,,,
2026-02-01,100992,1,62308,actual,1089795.0,,,,
2026-02-01,100992,2,,estimated,792269.93,1,8,1089795.0,116961.0
2026-02-01,100992,3,,estimated,575972.14,1,8,1089795.0,116961.0
2026-02-01,100992,4,,estimated,418725.78,1,8,1089795.0,116961.0
2026-02-01,100992,5,,estimated,304409.24,1,8,1089795.0,116961.0
2026-02-01,100992,6,,estimated,221302.24,1,8,1089795.0,116961.0
2026-02-01,100992,7,,estimated,160884.27,1,8,1089795.0,116961.0
2026-02-01,100992,8,62308,actual,116961.0,,,,
2026-02-01,101020,4,57942,actual,172290.0,,,,
2026-02-01,101020,45,17797,actual,9900.0,,,,
2026-02-01,101020,46,,estimated,9778.44,45,63,9900.0,7926.0
2026-02-01,101020,47,,estimated,9658.38,45,63,9900.0,7926.0
2026-02-01,101020,48,,estimated,9539.78,45,63,9900.0,7926.0
2026-02-01,101020,49,,estimated,9422.65,45,63,9900.0,7926.0
2026-02-01,101020,50,,estimated,9306.95,45,63,9900.0,7926.0
2026-02-01,101020,51,,estimated,9192.67,45,63,9900.0,7926.0
2026-02-01,101020,52,,estimated,9079.8,45,63,9900.0,7926.0
2026-02-01,101020,53,,estimated,8968.31,45,63,9900.0,7926.0
2026-02-01,101020,54,,estimated,8858.19,45,63,9900.0,7926.0
2026-02-01,101020,55,,estimated,8749.42,45,63,9900.0,7926.0
2026-02-01,101020,56,,estimated,8641.99,45,63,9900.0,7926.0
2026-02-01,101020,57,,estimated,8535.88,45,63,9900.0,7926.0
2026-02-01,101020,58,,estimated,8431.06,45,63,9900.0,7926.0
2026-02-01,101020,59,,estimated,8327.54,45,63,9900.0,7926.0
2026-02-01,101020,60,,estimated,8225.29,45,63,9900.0,7926.0
2026-02-01,101020,61,,estimated,8124.29,45,63,9900.0,7926.0
2026-02-01,101020,62,,estimated,8024.53,45,63,9900.0,7926.0
2026-02-01,101020,63,402,actual,7926.0,,,,
2026-02-01,101020,64,,estimated,6896.1,63,65,7926.0,6000.0
2026-02-01,101020,65,402,actual,6000.0,,,,
2026-02-01,101535,20,1918,actual,25802.0,,,,
2026-02-01,101535,21,,estimated,25488.76,20,28,25802.0,23400.0
2026-02-01,101535,22,,estimated,25179.32,20,28,25802.0,23400.0
2026-02-01,101535,23,,estimated,24873.64,20,28,25802.0,23400.0
2026-02-01,101535,24,,estimated,24571.67,20,28,25802.0,23400.0
2026-02-01,101535,25,,estimated,24273.36,20,28,25802.0,23400.0
2026-02-01,101535,26,,estimated,23978.68,20,28,25802.0,23400.0
2026-02-01,101535,27,,estimated,23687.57,20,28,25802.0,23400.0
2026-02-01,101535,28,72311,actual,23400.0,,,,
2026-02-01,101535,29,,estimated,23518.79,28,33,23400.0,24000.0
2026-02-01,101535,30,,estimated,23638.18,28,33,23400.0,24000.0
2026-02-01,101535,31,,estimated,23758.18,28,33,23400.0,24000.0
2026-02-01,101535,32,,estimated,23878.78,28,33,23400.0,24000.0
2026-02-01,101535,33,14513,actual,24000.0,,,,
2026-02-01,101535,67,1918,actual,12926.0,,,,
2026-02-01,101535,68,,estimated,12708.35,67,76,12926.0,11094.0
2026-02-01,101535,69,,estimated,12494.36,67,76,12926.0,11094.0
2026-02-01,101535,70,,estimated,12283.97,67,76,12926.0,11094.0
2026-02-01,101535,71,,estimated,12077.13,67,76,12926.0,11094.0
2026-02-01,101535,72,,estimated,11873.77,67,76,12926.0,11094.0
2026-02-01,101535,73,,estimated,11673.84,67,76,12926.0,11094.0
2026-02-01,101535,74,,estimated,11477.27,67,76,12926.0,11094.0
2026-02-01,101535,75,,estimated,11284.01,67,76,12926.0,11094.0
2026-02-01,101535,76,1918,actual,11094.0,,,,
2026-02-01,110365,30,23039,actual,9722.0,,,,
2026-02-01,110365,59,54614,actual,6400.0,,,,
2026-02-01,110365,60,,estimated,6379.38,59,79,6400.0,6000.0
2026-02-01,110365,61,,estimated,6358.83,59,79,6400.0,6000.0
2026-02-01,110365,62,,estimated,6338.34,59,79,6400.0,6000.0
2026-02-01,110365,63,,estimated,6317.92,59,79,6400.0,6000.0
2026-02-01,110365,64,,estimated,6297.57,59,79,6400.0,6000.0
2026-02-01,110365,65,,estimated,6277.28,59,79,6400.0,6000.0
2026-02-01,110365,66,,estimated,6257.05,59,79,6400.0,6000.0
2026-02-01,110365,67,,estimated,6236.9,59,79,6400.0,6000.0
2026-02-01,110365,68,,estimated,6216.8,59,79,6400.0,6000.0
2026-02-01,110365,69,,estimated,6196.77,59,79,6400.0,6000.0
2026-02-01,110365,70,,estimated,6176.81,59,79,6400.0,6000.0
