date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2020-11-01,206363,3,147,actual,135300.0,,,,
2020-11-01,206363,4,,estimated,137543.58,3,7,135300.0,144500.0
2020-11-01,206363,5,,estimated,139824.35,3,7,135300.0,144500.0
2020-11-01,206363,6,,estimated,142142.95,3,7,135300.0,144500.0
2020-11-01,206363,7,147,actual,144500.0,,,,
2020-11-01,216158,2,22714,actual,43350.0,,,,
2020-11-01,216158,3,,estimated,36322.29,2,5,43350.0,25500.0
2020-11-01,216158,4,,estimated,30433.85,2,5,43350.0,25500.0
2020-11-01,216158,5,22714,actual,25500.0,,,,
2020-11-01,509434,2,32809,actual,101480.0,,,,
2020-11-02,206363,7,147,actual,39600.0,,,,
2020-11-02,206363,8,147,actual,42500.0,,,,
2020-11-02,216158,1,22714,actual,33150.0,,,,
2020-11-02,509434,1,32809,actual,57820.0,,,,
2020-11-02,555421,7,47281,actual,59880.0,,,,
2020-11-03,100487,6,18832,actual,31000.0,,,,
2020-11-03,205611,6,39441,actual,83440.0,,,,
2020-11-03,206361,7,147,actual,53760.0,,,,
2020-11-03,206363,2,147,actual,153000.0,,,,
2020-11-03,216158,2,22714,actual,22950.0,,,,
2020-11-03,402279,6,17904,actual,24300.0,,,,
2020-11-03,509434,1,32809,actual,67260.0,,,,
2020-11-04,206363,3,147,actual,187000.0,,,,
2020-11-04,206363,4,147,actual,108900.0,,,,
2020-11-04,216158,5,22714,actual,35700.0,,,,
2020-11-04,216173,7,26549,actual,23680.0,,,,
2020-11-04,509434,1,32809,actual,134520.0,,,,
2020-11-04,555421,4,47281,actual,89820.0,,,,
2020-11-05,206361,4,147,actual,168000.0,,,,
2020-11-05,206363,2,147,actual,435600.0,,,,
2020-11-05,206363,3,147,actual,535500.0,,,,
2020-11-05,216158,3,22714,actual,86700.0,,,,
2020-11-05,509434,1,32809,actual,395300.0,,,,
2020-11-06,206361,6,147,actual,53760.0,,,,
2020-11-06,206363,2,147,actual,138600.0,,,,
2020-11-06,206363,3,147,actual,153000.0,,,,
2020-11-06,210413,7,40454,actual,17394.0,,,,
2020-11-06,216158,4,22714,actual,40800.0,,,,
2020-11-06,216173,8,26549,actual,20720.0,,,,
2020-11-06,402279,3,17904,actual,48600.0,,,,
2020-11-06,509434,3,32809,actual,123900.0,,,,
2020-11-06,555421,8,47281,actual,89820.0,,,,
2020-11-07,206361,5,147,actual,60480.0,,,,
2020-11-07,206363,2,147,actual,155100.0,,,,
2020-11-07,206363,3,147,actual,178500.0,,,,
2020-11-07,210413,8,40454,actual,20293.0,,,,
2020-11-07,216158,3,22714,actual,38250.0,,,,
2020-11-07,402279,3,17904,actual,56700.0,,,,
