date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2024-05-01,all,36300376,36240013,39971520
2024-05-02,all,29010049,28961157,31983536
2024-05-03,all,25478639,25436176,28086835
2024-05-04,all,25198207,25156215,27774613
2024-05-05,all,35766369,35707135,39399761
2024-05-06,all,24731396,24689784,27247382
2024-05-07,all,25374250,25331824,27944677
2024-05-08,all,23892031,23852162,26299949
2024-05-09,all,24989372,24947867,27479601
2024-05-10,all,31689326,31637414,34844097
2024-05-11,all,29942545,29892597,32954455
2024-05-12,all,32775698,32720793,36068015
2024-05-13,all,30676728,30625223,33754256
2024-05-14,all,30425987,30374935,33495164
2024-05-15,all,38739567,38675102,42668614
2024-05-16,all,38743409,38677902,42675513
2024-05-17,all,29080530,29033810,32113706
2024-05-18,all,34462772,34407728,37983363
2024-05-19,all,28926413,28879909,31892619
2024-05-20,all,36865626,36806959,40635719
2024-05-21,all,27125957,27082308,29903538
2024-05-22,all,26527912,26485140,29242344
2024-05-23,all,25814688,25773030,28429152
2024-05-24,all,24943495,24903316,27459942
2024-05-25,all,34994705,34939139,38542606
2024-05-26,all,31164653,31114495,34305204
2024-05-27,all,35668742,35611582,39289061
2024-05-28,all,27089778,27046216,29870053
2024-05-29,all,26473860,26431356,29181339
2024-05-30,all,35005062,34949327,38544566
2024-05-31,all,25765396,25724168,28413036
2024-05-01,100181,28876,28833,31093
2024-05-01,100487,99235,99093,120988
2024-05-01,100992,170500,170252,195914
2024-05-01,101020,90268,90137,99646
2024-05-01,101384,3361385,3356509,3862407
2024-05-01,101535,181628,181366,221497
2024-05-01,101954,465770,465097,568013
2024-05-01,110365,253748,253383,273244
2024-05-01,110409,102207,102061,124641
2024-05-01,110435,72537,72433,78111
2024-05-01,110632,56010,55929,68305
2024-05-01,200181,39392,39337,45248
2024-05-01,201184,3354026,3349002,3611713
2024-05-01,201351,156634,156410,168669
2024-05-01,201486,52750,52673,58231
2024-05-01,201632,117945,117779,127010
2024-05-01,201925,456728,454916,491820
2024-05-01,202502,805626,804457,867521
2024-05-01,204586,451479,450825,498393
2024-05-01,204934,687844,686846,740689
2024-05-01,204964,519683,518931,559612
2024-05-01,205272,60514,60426,69488
2024-05-01,205582,174539,174287,212845
2024-05-01,205611,56912,56833,61287
2024-05-01,205761,110600,110441,127034
2024-05-01,206361,378094,377545,407142
2024-05-01,206363,30717,30673,33076
2024-05-01,206440,1690362,1687912,1820232
2024-05-01,206471,381920,381367,411259
2024-05-01,207288,102984,102838,110896
2024-05-01,207774,180425,180164,194284
2024-05-01,207802,76374,76264,84310
2024-05-01,207966,883732,882450,951629
2024-05-01,208532,45228,45163,55092
2024-05-01,210022,375989,375444,404875
2024-05-01,210413,84286,84164,96764
2024-05-01,212377,185347,185079,205489
2024-05-01,214099,164471,164236,190799
2024-05-01,214104,88699,88568,108169
2024-05-01,214781,271104,270656,291932
2024-05-01,215430,235687,235346,253794
2024-05-01,215913,172677,172427,210582
2024-05-01,216158,64601,64509,69563
2024-05-01,216173,316957,316489,341307
2024-05-01,216424,387315,386752,417075
2024-05-01,301577,540799,540016,582347
2024-05-01,304080,166782,166541,179596
2024-05-01,304763,273945,273548,294992
2024-05-01,401131,305938,305495,337730
2024-05-01,401534,203999,203120,219673
2024-05-01,402018,1031,1030,1110
2024-05-01,402279,341834,341243,368096
2024-05-01,407120,62924,62834,72305
2024-05-01,408789,87549,87292,94275
2024-05-01,501098,317669,317210,355305
2024-05-01,502221,91806,91676,111920
2024-05-01,502280,278162,277762,299527
2024-05-01,502835,573055,572226,617082
2024-05-01,506012,236917,236573,272230
