genre,event,factor,rows
567664,marathon,1.2222,1684
567664,mothers-day,1.3485,73
567664,point-back,1.088,104
567664,supersale,1.6794,347
567664,thank-you,1.623,152
567664,wonderful-day,1.5477,107
567664,zero-five,2.4,1003
567665,black-friday,1.1056,21
567665,eagles,1.2092,6
567665,fashionthesale,0.8457,51
567665,fathers-day,0.7413,18
567665,ichiba-day,1.1278,33
567665,marathon,0.9887,271
567665,mothers-day,0.7413,18
567665,point-back,1.5026,13
567665,supersale,1.4451,140
567665,thank-you,1.196,20
567665,wonderful-day,1.0373,19
567665,zero-five,1.4777,169
__global__,39shop,0.9089,319
__global__,black-friday,1.3962,2251
__global__,eagles,0.9791,871
__global__,event,0.9053,5185
__global__,fashionthesale,0.9843,6177
__global__,fathers-day,1.1607,931
__global__,ichiba-day,1.0294,3172
__global__,marathon,1.1485,31397
__global__,mothers-day,1.1607,931
__global__,newyear-sale,1.1043,53
__global__,point-back,1.0,1392
__global__,supersale,1.2145,13820
__global__,thank-you,1.2163,2289
__global__,wonderful-day,1.2385,2729
__global__,zero-five,1.8122,18695
