genre,event,factor,rows
205272,black-friday,1.6267,95
205272,eagles,0.8986,34
205272,event,0.93,159
205272,fashionthesale,0.9732,140
205272,fathers-day,1.0286,16
205272,ichiba-day,1.0315,88
205272,marathon,1.0669,619
205272,mothers-day,1.0286,16
205272,point-back,2.1196,44
205272,supersale,1.8179,245
205272,thank-you,2.2581,63
205272,wonderful-day,1.1706,77
205272,zero-five,1.8484,410
205582,black-friday,1.0624,8
205582,event,0.8007,90
205582,fashionthesale,0.9623,26
205582,ichiba-day,0.9068,10
205582,marathon,1.0714,79
205582,point-back,0.715,10
205582,supersale,1.2605,90
205582,thank-you,0.8804,13
205582,wonderful-day,1.0081,7
205582,zero-five,1.6513,49
205611,black-friday,2.4,14
205611,eagles,1.9258,12
205611,event,1.0655,189
205611,fashionthesale,1.2826,75
205611,fathers-day,0.8277,6
205611,ichiba-day,0.8868,36
205611,marathon,0.9756,366
205611,mothers-day,0.8277,6
205611,point-back,0.9607,22
205611,supersale,0.8213,401
205611,thank-you,2.3969,44
205611,wonderful-day,0.9305,31
205611,zero-five,1.5247,209
205761,event,0.65,11
205761,ichiba-day,0.8333,5
205761,marathon,1.2094,12
205761,point-back,1.0,5
205761,thank-you,1.3177,8
205761,zero-five,1.1697,10
206361,black-friday,1.3717,48
206361,eagles,1.2451,22
206361,event,1.0104,44
206361,fashionthesale,0.903,170
206361,fathers-day,1.6486,18
206361,ichiba-day,0.9996,78
206361,marathon,1.1484,819
206361,mothers-day,1.6486,18
206361,point-back,0.8086,33
206361,supersale,1.0156,371
206361,thank-you,0.9117,54
206361,wonderful-day,1.1811,65
206361,zero-five,1.6595,448
206363,black-friday,1.75,13
206363,eagles,1.048,8
206363,event,1.0803,39
206363,ichiba-day,0.8023,27
206363,marathon,1.0815,277
206363,newyear-sale,1.0464,5
206363,point-back,0.65,14
206363,supersale,0.9659,793
206363,thank-you,0.719,10
206363,wonderful-day,1.0325,6
206363,zero-five,1.875,231
206440,black-friday,1.3618,7
206440,fashionthesale,0.8127,26
206440,ichiba-day,0.7617,12
206440,marathon,1.3846,150
206440,point-back,0.8833,7
206440,supersale,1.2253,43
206440,thank-you,0.9428,9
206440,wonderful-day,0.9631,16
206440,zero-five,1.9051,79
206471,black-friday,1.012,8
206471,marathon,1.2488,93
206471,supersale,0.8871,108
206471,thank-you,0.65,5
206471,zero-five,1.4111,48
207288,black-friday,1.134,13
207288,event,0.9716,47
207288,fashionthesale,0.9375,35
207288,ichiba-day,1.0,26
207288,marathon,1.0222,252
207288,point-back,1.2593,15
207288,supersale,1.388,103
207288,thank-you,1.3773,11
207288,wonderful-day,1.2125,24
207288,zero-five,1.6058,159
207774,event,0.65,13
207774,fashionthesale,0.8897,14
207774,fathers-day,2.4,6
207774,ichiba-day,1.1909,10
207774,marathon,2.4,58
207774,mothers-day,2.4,6
207774,point-back,1.1476,10
207774,supersale,1.7237,23
207774,thank-you,1.0134,21
207774,wonderful-day,1.5526,5
207774,zero-five,2.4,36
207802,black-friday,2.4,23
207802,eagles,2.0,7
207802,event,0.875,58
207802,fashionthesale,1.0,74
207802,fathers-day,0.7287,12
207802,ichiba-day,0.8966,54
207802,marathon,1.005,501
207802,mothers-day,0.7287,12
207802,point-back,2.4,25
207802,supersale,2.2026,81
207802,thank-you,2.4,41
207802,wonderful-day,1.0,59
207802,zero-five,1.5822,296
207966,event,0.8853,13
207966,fashionthesale,0.9954,65
207966,fathers-day,1.3015,6
207966,ichiba-day,1.2026,19
207966,marathon,1.0205,259
207966,mothers-day,1.3015,6
207966,point-back,0.65,6
207966,supersale,1.1376,55
207966,thank-you,0.9044,17
207966,wonderful-day,1.435,14
207966,zero-five,1.5935,118
210022,black-friday,1.2735,15
210022,event,1.0381,23
210022,fashionthesale,0.8639,60
210022,ichiba-day,1.1204,22
210022,marathon,0.9319,184
210022,point-back,1.4586,7
210022,supersale,1.15,53
210022,thank-you,1.6044,15
210022,wonderful-day,1.2736,15
210022,zero-five,1.719,80
210413,black-friday,1.9434,8
210413,marathon,0.7001,42
210413,supersale,0.65,43
210413,wonderful-day,1.8525,6
210413,zero-five,1.0164,30
212377,event,1.0,5
212377,marathon,1.0,7
214099,event,1.0204,15
214099,fashionthesale,0.8969,29
214099,fathers-day,1.0104,7
214099,ichiba-day,0.6515,7
214099,marathon,1.0527,110
214099,mothers-day,1.0104,7
214099,supersale,1.2222,47
214099,thank-you,0.8986,9
214099,wonderful-day,1.0481,10
214099,zero-five,2.4,54
214104,fashionthesale,0.8533,10
214104,ichiba-day,1.0175,5
214104,marathon,1.1087,8
214104,zero-five,1.1048,5
214781,black-friday,1.4009,10
214781,eagles,1.2,9
214781,event,0.9234,19
214781,fashionthesale,0.9704,56
214781,ichiba-day,1.3172,38
214781,marathon,1.25,136
214781,point-back,0.9338,18
214781,supersale,1.0708,25
214781,thank-you,1.1674,21
214781,wonderful-day,1.8,25
214781,zero-five,1.5,80
215430,black-friday,1.2556,33
215430,eagles,0.7578,10
215430,event,1.3031,14
215430,fashionthesale,1.1667,49
215430,ichiba-day,0.9391,29
215430,marathon,1.0322,281
215430,point-back,0.8658,14
215430,supersale,1.5184,90
215430,thank-you,0.7805,31
215430,wonderful-day,1.3978,39
215430,zero-five,1.5157,170
215913,39shop,0.9974,22
215913,black-friday,1.7493,93
215913,eagles,1.1074,27
215913,event,1.0246,162
215913,fashionthesale,1.0317,136
215913,fathers-day,0.8662,6
215913,ichiba-day,1.1178,70
215913,marathon,1.0875,646
215913,mothers-day,0.8662,6
215913,point-back,1.23,45
215913,supersale,2.3943,208
215913,thank-you,1.5899,80
215913,wonderful-day,1.2105,95
