feature,display_name,importance_mean,importance_std
event_count_in_2d,Count in 2 days,7.64485277092941e-05,3.037290072878728e-05
event_thank-you_in_1d,Thanksgiving Festival in 1 day,7.080559243271001e-05,1.5560888042763264e-05
sin_dow,Weekly seasonality pattern,6.910271565616633e-05,6.569700421076626e-05
event_marathon_after_3d,Shopping Marathon 3 days ago,6.267104896557907e-05,4.195755946042322e-05
event_supersale_after_1d,Rakuten Super Sale 1 day ago,6.0056429481902816e-05,1.7327059600675878e-05
event_supersale_after_2d,Rakuten Super Sale 2 days ago,5.594849743832953e-05,6.772684175283746e-05
event_marathon_in_3d,Shopping Marathon in 3 days,4.958089008488819e-05,2.5085341114201363e-05
event_supersale_in_1d,Rakuten Super Sale in 1 day,4.292842410165143e-05,3.686206655363618e-05
event_zero-five_in_7d,5 and 0 day in 7 days,4.171979032159267e-05,4.0742863423892e-05
event_zero-five_after_3d,5 and 0 day 3 days ago,3.872774421731506e-05,1.4519650555567967e-05
event_count_next_14d,Number of Rakuten events in next 14 days,3.865436202241667e-05,0.0001741689629493
event_bonus_point_multiplier_next_3d,Active event bonus point multiplier over next 3 days,3.3774151732379745e-05,3.577298360280962e-05
holiday_count_prev_3d,Number of Japan holidays in previous 3 days,3.134758120706405e-05,1.6168067297649436e-05
event_point_cap_next_3d,Active event point cap over next 3 days,2.636491880363412e-05,4.563854250154981e-05
event_thank-you_after_1d,Thanksgiving Festival 1 day ago,2.3890883603550073e-05,1.3511079246355778e-05
holiday_after_14d,Japan holiday 14 days ago,9.334492670065586e-06,9.638924404211748e-06
event_marathon_after_2d,Shopping Marathon 2 days ago,8.410305308381716e-06,2.4158564724487582e-05
sin_month,Yearly seasonality pattern,7.69324280376349e-06,1.4216213707147176e-05
event_thank-you_after_3d,Thanksgiving Festival 3 days ago,5.409790795685154e-06,6.961126720686102e-06
event_supersale_in_2d,Rakuten Super Sale in 2 days,5.2957458674729455e-06,2.364228843891093e-06
event_zero-five_after_7d,5 and 0 day 7 days ago,4.8887565615052255e-06,1.842061501921646e-05
holiday_in_14d,Japan holiday in 14 days,4.629905458286565e-06,4.672879532232077e-06
holiday_in_7d,Japan holiday in 7 days,4.264751790428179e-06,7.419611643558583e-06
holiday_in_3d,Japan holiday in 3 days,2.6428616455520527e-06,4.629565518932097e-06
event_black-friday_after_7d,Black Friday 7 days ago,8.963781771065271e-07,3.9408968374250675e-06
event_point_cap_in_3d,Active event point cap in 3 days,0.0,0.0
event_point_cap_in_7d,Active event point cap in 7 days,0.0,0.0
event_strength_score,Active event strength score,0.0,0.0
year,Year,0.0,0.0
event_point_cap,Active event point cap,0.0,0.0
event_bonus_point_multiplier,Active event bonus point multiplier,0.0,0.0
event_black-friday_in_2d,Black Friday in 2 days,0.0,0.0
event_black-friday_after_2d,Black Friday 2 days ago,0.0,0.0
quarter,Quarter,0.0,0.0
event_shoparound_strength,Active shop-around promotion strength,0.0,0.0
is_weekend,Weekend,0.0,0.0
any_event,Any Rakuten event active,0.0,0.0
event_black-friday_in_3d,Black Friday in 3 days,0.0,0.0
event_point_cap_in_1d,Active event point cap in 1 day,0.0,0.0
event_black-friday_after_3d,Black Friday 3 days ago,0.0,0.0
event_thank-you_in_3d,Thanksgiving Festival in 3 days,0.0,0.0
best_rank,Best ranking position,0.0,0.0
event_thank-you_after_2d,Thanksgiving Festival 2 days ago,0.0,0.0
event_thank-you_in_2d,Thanksgiving Festival in 2 days,0.0,0.0
event_point_cap_in_2d,Active event point cap in 2 days,0.0,0.0
event_black-friday_in_7d,Black Friday in 7 days,0.0,0.0
event_bonus_point_multiplier_in_1d,Active event bonus point multiplier in 1 day,0.0,0.0
event_bonus_point_multiplier_in_3d,Active event bonus point multiplier in 3 days,0.0,0.0
event_shoparound_strength_in_7d,Active shop-around promotion strength in 7 days,0.0,0.0
holiday_in_2d,Japan holiday in 2 days,0.0,0.0
event_shoparound_strength_in_3d,Active shop-around promotion strength in 3 days,0.0,0.0
event_shoparound_strength_in_2d,Active shop-around promotion strength in 2 days,0.0,0.0
event_black-friday,Black Friday active today,0.0,0.0
event_shoparound_strength_in_1d,Active shop-around promotion strength in 1 day,0.0,0.0
any_promo_or_holiday_next_3d,Any promotion or holiday in next 3 days,0.0,0.0
event_requires_entry_count,Active events requiring entry,0.0,0.0
event_black-friday_after_1d,Black Friday 1 day ago,0.0,0.0
event_bonus_point_multiplier_in_7d,Active event bonus point multiplier in 7 days,0.0,0.0
event_black-friday_in_1d,Black Friday in 1 day,0.0,0.0
any_promo_or_holiday_next_7d,Any promotion or holiday in next 7 days,0.0,0.0
event_bonus_point_multiplier_in_2d,Active event bonus point multiplier in 2 days,0.0,0.0
any_promo_or_holiday_next_14d,Any promotion or holiday in next 14 days,0.0,0.0
event_count_in_3d,Count in 3 days,-2.756634430722827e-07,1.4481352786785856e-05
event_shoparound_strength_next_3d,Active shop-around promotion strength over next 3 days,-4.384019712144749e-07,1.177685839756106e-05
is_month_end,End of month,-2.1440932934435607e-06,3.10880615707954e-06
holiday_after_7d,Japan holiday 7 days ago,-8.706662063384663e-06,2.181347250011529e-05
holiday_after_1d,Japan holiday 1 day ago,-9.119914274124951e-06,3.9203442686315974e-05
event_zero-five_in_3d,5 and 0 day in 3 days,-1.2390026741226912e-05,2.6665973392942255e-05
event_strength_score_in_3d,Active event strength score in 3 days,-1.3231976127503486e-05,1.4434490294288113e-05
holiday_after_3d,Japan holiday 3 days ago,-1.4351793606959264e-05,2.9691956699187083e-05
holiday_count_next_7d,Number of Japan holidays in next 7 days,-1.733075443448584e-05,4.646465899515116e-05
holiday_count_prev_7d,Number of Japan holidays in previous 7 days,-4.046125103320808e-05,3.093024282755773e-05
event_shoparound_strength_next_7d,Active shop-around promotion strength over next 7 days,-4.315664327936286e-05,3.710131566203102e-05
event_count_prev_14d,Number of Rakuten events in previous 14 days,-4.36625231277965e-05,0.0005960385667434
event_supersale_in_7d,Rakuten Super Sale in 7 days,-4.915886513543466e-05,3.5605804085047646e-05
event_marathon,Shopping Marathon active today,-6.315180399609765e-05,5.548688070054305e-05
event_strength_score_in_7d,Active event strength score in 7 days,-7.352901263295575e-05,0.0001774943630573
event_count_after_3d,Number of Rakuten events in previous 3 days,-7.763402768024008e-05,6.548022684987075e-05
event_marathon_after_1d,Shopping Marathon 1 day ago,-8.66116408335671e-05,6.210769012600717e-05
event_thank-you_after_7d,Thanksgiving Festival 7 days ago,-0.0001160598542383,2.8653161812640173e-05
event_thank-you_in_7d,Thanksgiving Festival in 7 days,-0.0001513723937362,3.563045016551195e-05
week_of_year,Week of year,-0.0004675249324683,0.0002989386401346
month,Month,-0.0008238194355544,0.0001697271195684
