shop,genre,sales,units,page_views
11331,509434,1001,1,38
11331,551228,4990,1,149
11331,551732,47080,13,911
11331,551736,12089176,2308,40454
11331,560271,886,1,90
11331,563689,0,0,310
11331,564895,0,0,776
11331,566647,19850,4,501
11331,567554,5511,2,688
11361,201632,5960,1,2661
11361,205582,761628,247,14126
11361,205611,584020,104,9607
11361,215430,6266540,133,66904
11361,551228,359723442,39463,2576763
11361,563689,0,0,681
11415,507515,1454500,82,4914
11456,201632,146905,34,3927
11456,205272,0,0,1
11456,502221,0,0,2
11503,100487,0,0,1
11503,206440,135737666,70396,4625581
11503,206471,118764943,59584,4492120
11503,216158,1843,1,18
11503,408789,1307415,642,59934
11503,551180,831263,537,20829
11503,558846,411084,175,13940
11503,558873,0,0,739
11577,101535,15948,1,69
11577,110409,4999,1,83
11577,201184,0,0,12
11577,201351,465121,51,2173
11577,207774,0,0,54
11577,214099,19617,9,440
11577,216424,0,0,26
11577,566647,0,0,86
11577,567645,119774,44,1319
11657,205582,6958,2,307
11657,301577,202120,64,5337
11657,551228,252501,78,3450
11671,206440,2351660,161,33707
11671,206471,791501,60,21246
11671,207288,4600,2,109
11671,408789,5980,2,684
11671,551180,0,0,18
11671,558873,0,0,26
11701,201632,14310,8,481
11701,204586,149679,39,1340
11701,204964,405745,160,4558
11701,205582,31600,2,181
11701,205611,28800,17,592
11701,205761,2600,2,80
11701,207288,398,2,19
11701,208532,70565,27,549
11701,212377,254116,68,3244
11701,215913,8910,5,276
11701,402279,3087,4,194
11701,407120,11937,3,307
11701,408789,1599,1,39
11701,502835,7691,5,296
11701,509434,21582,9,161
11701,551180,0,0,0
11701,551736,2396,4,24
11701,555421,9995,5,91
11701,564895,0,0,142
11751,216424,0,0,19
1177,101954,1435830,1190,3241
1177,110365,0,0,98
1177,205272,19800,1,1315
1177,207288,3076205,716,39689
1177,402279,1181290,119,4243
1177,408789,24200,1,140
1177,560271,1307614,274,9932
11842,100487,582540,145,16434
11842,408789,0,0,25
11847,101535,24500,4,290
11847,206440,2890620,241,30481
11847,206471,1976652,175,36054
11847,216424,1382890,261,5151
11871,301577,737300,114,11677
