date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-05-27,101020,3,66127,actual,,,,,
2026-05-27,101020,3,,estimated,111231.19,1,52,127800.0,3704.0
2026-05-27,101020,4,22573,actual,,,,,
2026-05-27,101020,4,,estimated,103770.62,1,52,127800.0,3704.0
2026-05-27,101020,5,66127,actual,,,,,
2026-05-27,101020,5,,estimated,96810.45,1,52,127800.0,3704.0
2026-05-27,101020,6,13047,actual,,,,,
2026-05-27,101020,6,,estimated,90317.11,1,52,127800.0,3704.0
2026-05-27,101020,7,26517,actual,,,,,
2026-05-27,101020,7,,estimated,84259.29,1,52,127800.0,3704.0
2026-05-27,101020,8,11445,actual,,,,,
2026-05-27,101020,8,,estimated,78607.78,1,52,127800.0,3704.0
2026-05-27,101020,9,34673,actual,,,,,
2026-05-27,101020,9,,estimated,73335.33,1,52,127800.0,3704.0
2026-05-27,101020,10,63031,actual,,,,,
2026-05-27,101020,10,,estimated,68416.52,1,52,127800.0,3704.0
2026-05-27,101020,11,42989,actual,,,,,
2026-05-27,101020,11,,estimated,63827.61,1,52,127800.0,3704.0
2026-05-27,101020,12,3001,actual,,,,,
2026-05-27,101020,12,,estimated,59546.5,1,52,127800.0,3704.0
2026-05-27,101020,13,42989,actual,,,,,
2026-05-27,101020,13,,estimated,55552.53,1,52,127800.0,3704.0
2026-05-27,101020,14,1235,actual,,,,,
2026-05-27,101020,14,,estimated,51826.44,1,52,127800.0,3704.0
2026-05-27,101020,15,64341,actual,,,,,
2026-05-27,101020,15,,estimated,48350.27,1,52,127800.0,3704.0
2026-05-27,101020,16,22857,actual,,,,,
2026-05-27,101020,16,,estimated,45107.25,1,52,127800.0,3704.0
2026-05-27,101020,17,5198,actual,,,,,
2026-05-27,101020,17,,estimated,42081.75,1,52,127800.0,3704.0
2026-05-27,101020,18,13047,actual,,,,,
2026-05-27,101020,18,,estimated,39259.18,1,52,127800.0,3704.0
2026-05-27,101020,19,75525,actual,,,,,
2026-05-27,101020,19,,estimated,36625.92,1,52,127800.0,3704.0
2026-05-27,101020,20,13047,actual,,,,,
2026-05-27,101020,20,,estimated,34169.27,1,52,127800.0,3704.0
2026-05-27,101535,1,12318,actual,,,,,
2026-05-27,101535,1,,estimated,51324.85,12,33,40546.0,25852.0
2026-05-27,101535,2,1074,actual,,,,,
2026-05-27,101535,2,,estimated,50236.62,12,33,40546.0,25852.0
2026-05-27,101535,3,8860,actual,,,,,
2026-05-27,101535,3,,estimated,49171.47,12,33,40546.0,25852.0
2026-05-27,101535,4,5825,actual,,,,,
2026-05-27,101535,4,,estimated,48128.91,12,33,40546.0,25852.0
2026-05-27,101535,5,1074,actual,,,,,
2026-05-27,101535,5,,estimated,47108.44,12,33,40546.0,25852.0
2026-05-27,101535,6,5816,actual,,,,,
2026-05-27,101535,6,,estimated,46109.62,12,33,40546.0,25852.0
2026-05-27,101535,7,75287,actual,,,,,
2026-05-27,101535,7,,estimated,45131.97,12,33,40546.0,25852.0
2026-05-27,101535,8,60678,actual,,,,,
2026-05-27,101535,8,,estimated,44175.05,12,33,40546.0,25852.0
2026-05-27,101535,9,27622,actual,,,,,
2026-05-27,101535,9,,estimated,43238.42,12,33,40546.0,25852.0
2026-05-27,101535,10,14797,actual,,,,,
2026-05-27,101535,10,,estimated,42321.64,12,33,40546.0,25852.0
2026-05-27,101535,11,1074,actual,,,,,
2026-05-27,101535,11,,estimated,41424.31,12,33,40546.0,25852.0
2026-05-27,101535,12,1918,actual,40546.0,,,,
2026-05-27,101535,13,68623,actual,,,,,
2026-05-27,101535,13,,estimated,39686.31,12,33,40546.0,25852.0
2026-05-27,101535,14,3055,actual,,,,,
2026-05-27,101535,14,,estimated,38844.85,12,33,40546.0,25852.0
2026-05-27,101535,15,12318,actual,,,,,
