date,shop,genre,predicted_sales
2026-01-01,,566061,6029652
2026-01-01,,566403,7439758
2026-01-01,,566647,601157
2026-01-01,,567251,16192612
2026-01-01,,567434,329605
2026-01-01,,567538,7677212
2026-01-01,,567554,261621
2026-01-01,,567623,2754816
2026-01-01,,567645,6800306
2026-01-01,,567662,19392508
2026-01-01,,567664,35360177
2026-01-01,,567665,15461208
2026-02-01,,100181,36699
2026-02-01,,100487,6388165
2026-02-01,,100992,27436634
2026-02-01,,101020,4951353
2026-02-01,,101384,312
2026-02-01,,101535,2296290
2026-02-01,,101954,123729
2026-02-01,,110365,2495638
2026-02-01,,110409,501687
2026-02-01,,110435,220989
2026-02-01,,110632,25739282
2026-02-01,,200181,1747960
2026-02-01,,201184,1734237
2026-02-01,,201351,11230839
2026-02-01,,201486,17940555
2026-02-01,,201632,7981877
2026-02-01,,201925,2118493
2026-02-01,,202502,14976
2026-02-01,,204586,137264
2026-02-01,,204934,3872336
2026-02-01,,204964,3232779
2026-02-01,,205272,2861304
2026-02-01,,205582,2235055
2026-02-01,,205611,9248125
2026-02-01,,205761,4724030
2026-02-01,,206361,12267634
2026-02-01,,206363,182424
2026-02-01,,206440,22148645
2026-02-01,,206471,10699172
2026-02-01,,207288,2776858
2026-02-01,,207774,7179651
2026-02-01,,207802,1501952
2026-02-01,,207966,864283
2026-02-01,,208532,580390
2026-02-01,,210022,23737664
2026-02-01,,210413,1926219
2026-02-01,,212377,3091
2026-02-01,,214099,5547265
2026-02-01,,214104,484374
2026-02-01,,214781,4999532
2026-02-01,,215430,6782767
2026-02-01,,215913,3873505
2026-02-01,,216158,1603239
2026-02-01,,216173,9298224
2026-02-01,,216424,8010224
2026-02-01,,301577,21096456
2026-02-01,,304080,3602605
2026-02-01,,304763,3308659
2026-02-01,,401131,6730226
2026-02-01,,401534,3376540
2026-02-01,,402018,3906093
2026-02-01,,402279,4164345
2026-02-01,,407120,1737547
2026-02-01,,408789,3431713
2026-02-01,,501098,832113
2026-02-01,,502221,2694957
2026-02-01,,502280,7814139
2026-02-01,,502835,22119211
2026-02-01,,506012,1787958
2026-02-01,,506536,16944969
2026-02-01,,506539,2476295
2026-02-01,,507515,6148441
2026-02-01,,507843,31074264
2026-02-01,,508456,2219456
2026-02-01,,508599,182
2026-02-01,,509417,7030254
2026-02-01,,509434,9431185
2026-02-01,,510003,6991209
2026-02-01,,511293,28101048
2026-02-01,,551180,6297928
2026-02-01,,551228,22503826
2026-02-01,,551732,3519826
2026-02-01,,551736,3016854
2026-02-01,,554973,5066593
2026-02-01,,555003,1447782
2026-02-01,,555421,491300
2026-02-01,,558754,16931540
2026-02-01,,558846,11778367
2026-02-01,,558873,26736101
2026-02-01,,560271,21666517
2026-02-01,,562641,15810785
2026-02-01,,563339,41493544
2026-02-01,,563342,92723872
2026-02-01,,563689,5793920
2026-02-01,,564286,4997573
2026-02-01,,564647,7104567
2026-02-01,,564895,4334496
2026-02-01,,565724,29825804
2026-02-01,,566061,4232411
2026-02-01,,566403,5421273
2026-02-01,,566647,648137
2026-02-01,,567251,11572607
2026-02-01,,567434,283959
2026-02-01,,567538,6842962
2026-02-01,,567554,145015
2026-02-01,,567623,2603930
2026-02-01,,567645,7054086
2026-02-01,,567662,21097144
2026-02-01,,567664,34317210
2026-02-01,,567665,16575704
2026-03-01,,100181,144351
2026-03-01,,100487,7815714
2026-03-01,,100992,34513094
2026-03-01,,101020,6452114
2026-03-01,,101384,1258
2026-03-01,,101535,3606613
2026-03-01,,101954,225710
2026-03-01,,110365,3564124
2026-03-01,,110409,607949
2026-03-01,,110435,381433
2026-03-01,,110632,28903419
2026-03-01,,200181,1865783
2026-03-01,,201184,2944682
2026-03-01,,201351,16515559
2026-03-01,,201486,22743355
2026-03-01,,201632,10399216
2026-03-01,,201925,3975857
2026-03-01,,202502,141789
2026-03-01,,204586,433946
2026-03-01,,204934,5196401
2026-03-01,,204964,5080252
2026-03-01,,205272,4092261
2026-03-01,,205582,3824407
2026-03-01,,205611,7321698
2026-03-01,,205761,6078471
2026-03-01,,206361,24493686
2026-03-01,,206363,426809
2026-03-01,,206440,36061271
2026-03-01,,206471,28444703
2026-03-01,,207288,4124959
2026-03-01,,207774,12213612
2026-03-01,,207802,2195773
2026-03-01,,207966,3961453
2026-03-01,,208532,452697
2026-03-01,,210022,24425740
2026-03-01,,210413,2140376
2026-03-01,,212377,3915
2026-03-01,,214099,8825489
2026-03-01,,214104,1190616
2026-03-01,,214781,6096337
2026-03-01,,215430,11447573
2026-03-01,,215913,6441168
2026-03-01,,216158,4291666
2026-03-01,,216173,13284296
2026-03-01,,216424,12588170
2026-03-01,,301577,26397274
2026-03-01,,304080,7465495
2026-03-01,,304763,4622684
2026-03-01,,401131,9231374
2026-03-01,,401534,4479688
2026-03-01,,402018,8309725
2026-03-01,,402279,6971899
2026-03-01,,407120,2798143
2026-03-01,,408789,5986496
2026-03-01,,501098,1663102
2026-03-01,,502221,4744646
2026-03-01,,502280,9218960
2026-03-01,,502835,21503577
2026-03-01,,506012,2720493
2026-03-01,,506536,20080247
2026-03-01,,506539,3703967
2026-03-01,,507515,8126921
2026-03-01,,507843,32533025
2026-03-01,,508456,3791340
2026-03-01,,508599,8370
2026-03-01,,509417,6595940
2026-03-01,,509434,15767272
2026-03-01,,510003,8390748
2026-03-01,,511293,34843067
2026-03-01,,551180,17935422
2026-03-01,,551228,37184362
2026-03-01,,551732,6780260
2026-03-01,,551736,6297259
2026-03-01,,554973,7050453
2026-03-01,,555003,1555838
2026-03-01,,555421,660459
2026-03-01,,558754,20357773
2026-03-01,,558846,16488945
2026-03-01,,558873,24046586
2026-03-01,,560271,28355631
2026-03-01,,562641,16947476
2026-03-01,,563339,61236398
2026-03-01,,563342,144305401
2026-03-01,,563689,8946071
2026-03-01,,564286,8200668
2026-03-01,,564647,11082594
2026-03-01,,564895,8620791
2026-03-01,,565724,37430018
2026-03-01,,566061,6645739
2026-03-01,,566403,11611070
2026-03-01,,566647,993580
2026-03-01,,567251,224924
2026-03-01,,567434,7598523
2026-03-01,,567538,9628980
2026-03-01,,567554,269848
2026-03-01,,567623,4016297
2026-03-01,,567645,9178721
2026-03-01,,567662,27838658
2026-03-01,,567664,47605438
2026-03-01,,567665,28312625
2026-04-01,,100181,77072
2026-04-01,,100487,5948014
2026-04-01,,100992,32083946
2026-04-01,,101020,4690492
2026-04-01,,101384,0
2026-04-01,,101535,3371317
2026-04-01,,101954,116568
2026-04-01,,110365,2961525
2026-04-01,,110409,721336
2026-04-01,,110435,296898
2026-04-01,,110632,21209309
2026-04-01,,200181,1967368
2026-04-01,,201184,2010456
2026-04-01,,201351,20444245
2026-04-01,,201486,19273311
2026-04-01,,201632,6936148
2026-04-01,,201925,5130311
2026-04-01,,202502,67792
2026-04-01,,204586,83088
2026-04-01,,204934,5192592
2026-04-01,,204964,6159255
2026-04-01,,205272,3938806
2026-04-01,,205582,2839580
2026-04-01,,205611,3890664
2026-04-01,,205761,4015621
2026-04-01,,206361,21413895
2026-04-01,,206363,418703
2026-04-01,,206440,43294481
2026-04-01,,206471,34608227
2026-04-01,,207288,3168001
2026-04-01,,207774,12382513
2026-04-01,,207802,1744639
2026-04-01,,207966,3289576
2026-04-01,,208532,256102
2026-04-01,,210022,11958265
2026-04-01,,210413,358313
2026-04-01,,212377,633
2026-04-01,,214099,5779453
2026-04-01,,214104,1873771
2026-04-01,,214781,6060849
2026-04-01,,215430,5853768
2026-04-01,,215913,4058152
2026-04-01,,216158,5858603
2026-04-01,,216173,13553899
2026-04-01,,216424,10476194
2026-04-01,,301577,18051624
2026-04-01,,304080,6253551
2026-04-01,,304763,6147773
2026-04-01,,401131,10610912
2026-04-01,,401534,4837228
2026-04-01,,402018,7877995
2026-04-01,,402279,5014754
2026-04-01,,407120,2345594
2026-04-01,,408789,4427854
2026-04-01,,501098,990925
2026-04-01,,502221,3377637
2026-04-01,,502280,11283016
2026-04-01,,502835,18229501
2026-04-01,,506012,2774734
2026-04-01,,506536,18251791
2026-04-01,,506539,2534432
2026-04-01,,507515,7636958
2026-04-01,,507843,28983151
2026-04-01,,508456,2796593
2026-04-01,,508599,163
2026-04-01,,509417,5926702
2026-04-01,,509434,10559624
2026-04-01,,510003,8682627
2026-04-01,,511293,27899184
2026-04-01,,551180,27071747
2026-04-01,,551228,38395221
2026-04-01,,551732,5442719
2026-04-01,,551736,4546306
2026-04-01,,554973,7231151
2026-04-01,,555003,900323
2026-04-01,,555421,577942
2026-04-01,,558754,18147625
2026-04-01,,558846,19774214
2026-04-01,,558873,13068450
2026-04-01,,560271,23879709
2026-04-01,,562641,22305291
2026-04-01,,563339,48989403
2026-04-01,,563342,122054479
2026-04-01,,563689,5778020
2026-04-01,,564286,6745674
2026-04-01,,564647,9315968
2026-04-01,,564895,5801558
2026-04-01,,565724,34491401
2026-04-01,,566061,5062141
2026-04-01,,566403,9647436
2026-04-01,,566647,1082116
2026-04-01,,567251,102035
2026-04-01,,567434,21471363
2026-04-01,,567538,7786900
2026-04-01,,567554,163298
2026-04-01,,567623,4191976
2026-04-01,,567645,7680288
2026-04-01,,567662,28201161
2026-04-01,,567664,40773464
2026-04-01,,567665,18874930
2026-05-01,,100181,118936
2026-05-01,,100487,7449087
2026-05-01,,100992,32811359
2026-05-01,,101020,3598743
2026-05-01,,101384,0
2026-05-01,,101535,5420072
2026-05-01,,101954,68987
2026-05-01,,110365,2600693
2026-05-01,,110409,683141
2026-05-01,,110435,263014
2026-05-01,,110632,17665338
2026-05-01,,200181,2369545
2026-05-01,,201184,1541510
2026-05-01,,201351,19864205
2026-05-01,,201486,18285225
2026-05-01,,201632,5436550
2026-05-01,,201925,6327041
2026-05-01,,202502,146210
2026-05-01,,204586,239760
2026-05-01,,204934,4029882
2026-05-01,,204964,6507876
2026-05-01,,205272,2906049
2026-05-01,,205582,2369470
2026-05-01,,205611,3426508
2026-05-01,,205761,3173670
