date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2018-12-01,100487,3989165,3983383,4863600
2018-12-01,100992,10687,10681,12278
2018-12-01,101020,449520,448862,496233
2018-12-01,101535,968261,966855,1180806
2018-12-01,101954,12178,12147,14858
2018-12-01,110365,63524,63431,68408
2018-12-01,110435,45014,44950,48473
2018-12-01,200181,20598,20570,23662
2018-12-01,201184,1548008,1545689,1666941
2018-12-01,201351,30684,30651,33040
2018-12-01,201632,170464,170228,183568
2018-12-01,201925,3304,3302,3564
2018-12-01,205582,1440831,1438756,1757082
2018-12-01,205611,401378,400795,432227
2018-12-01,205761,142601,142391,163770
2018-12-01,206361,2159467,2156314,2325388
2018-12-01,206363,7420559,7409644,7990673
2018-12-01,206440,3387212,3382331,3647449
2018-12-01,206471,1430468,1428371,1540393
2018-12-01,207288,1260178,1258411,1357032
2018-12-01,207774,310631,310180,334497
2018-12-01,212377,6859,6851,7603
2018-12-01,214099,22482,22458,26088
2018-12-01,214104,7733,7721,9432
2018-12-01,214781,814412,813058,876984
2018-12-01,215430,0,0,0
2018-12-01,215913,105959,105806,129218
2018-12-01,216158,11992,11992,12902
2018-12-01,216173,589410,588539,634697
2018-12-01,216424,629260,628368,677611
2018-12-01,301577,1106020,1104432,1190991
2018-12-01,304080,147774,147572,159113
2018-12-01,304763,5011,5011,5395
2018-12-01,401131,115016,114853,126978
2018-12-01,401534,321056,319686,345724
2018-12-01,402279,316692,316148,341031
2018-12-01,407120,155539,155318,178727
2018-12-01,408789,374211,373111,402943
2018-12-01,501098,10235,10220,11450
2018-12-01,502221,2837346,2833235,3459028
2018-12-01,502280,401246,400658,432075
2018-12-01,502835,824825,823632,888205
2018-12-01,506536,56400,56326,60731
2018-12-01,506539,12554646,12536429,13519210
2018-12-01,507843,716297,715256,771322
2018-12-01,508456,175290,175035,188758
2018-12-01,508599,23700,23684,25522
2018-12-01,509417,339745,339252,414323
2018-12-01,509434,3048239,3043815,3502456
2018-12-01,510003,568309,567485,611970
2018-12-01,551180,1224659,1219874,1318738
2018-12-01,551228,250754,250334,270022
2018-12-01,551732,243153,242818,279427
2018-12-01,551736,45351,45313,50063
2018-12-01,558846,1355975,1354010,1460161
2018-12-01,558873,10885936,10867974,11722305
2018-12-01,560271,1102791,1101211,1187525
2018-12-01,563339,12051538,12034045,12977454
2018-12-01,563342,5936862,5928243,6392982
2018-12-01,563689,668518,667561,719885
2018-12-01,564647,31261,31217,38121
2018-12-01,564895,97440,97301,111962
2018-12-01,565724,207865,207568,223834
2018-12-01,566647,308413,307965,332107
2018-12-01,567434,3730,3730,4550
2018-12-01,567538,220517,220200,243430
2018-12-01,567645,513710,512967,590274
2018-12-01,567662,9568877,9554990,10304047
2018-12-01,567664,22767889,22734842,24517123
2018-12-01,all,119035675,118856056,129898439
2019-01-01,100181,0,0,0
2019-01-01,100487,2586891,2583139,3153948
2019-01-01,100992,8983,8979,10321
2019-01-01,101020,694880,693868,767089
2019-01-01,101535,247996,247637,302436
2019-01-01,101954,9030,9019,11012
2019-01-01,110365,57249,57166,61646
2019-01-01,110409,4335,4334,5292
2019-01-01,110435,36579,36524,39388
2019-01-01,110632,50666,50593,61788
2019-01-01,200181,7823,7820,8984
2019-01-01,201184,687638,686591,740465
2019-01-01,201351,957962,956591,1031567
2019-01-01,201632,96432,96325,103849
2019-01-01,201925,3090,3090,3329
2019-01-01,205582,170909,170684,208423
2019-01-01,205611,233200,232875,251123
2019-01-01,205761,288813,288396,331720
2019-01-01,206361,962759,961373,1036719
2019-01-01,206363,3103007,3098436,3341415
2019-01-01,206440,2499094,2495493,2691078
2019-01-01,206471,1203070,1201347,1295539
2019-01-01,207288,893473,892237,962118
2019-01-01,207774,66111,66014,71190
2019-01-01,208532,1901,1901,2318
2019-01-01,212377,969,969,1073
2019-01-01,214099,15780,15777,18307
2019-01-01,214104,767,767,935
2019-01-01,214781,556193,555270,598921
2019-01-01,215430,0,0,0
2019-01-01,215913,48891,48819,59624
2019-01-01,216158,1834282,1831634,1975212
2019-01-01,216173,629171,628234,677511
2019-01-01,216424,275649,275261,296818
2019-01-01,301577,806722,805566,868696
2019-01-01,304080,70119,70033,75496
2019-01-01,304763,2468,2468,2655
2019-01-01,401131,70097,70009,77378
2019-01-01,401534,339677,338229,365779
2019-01-01,402279,335615,335046,361407
2019-01-01,407120,16417,16397,18864
2019-01-01,408789,88507,88284,95310
2019-01-01,501098,5113,5110,5718
2019-01-01,502221,1850023,1847346,2255380
2019-01-01,502280,415404,414816,447318
2019-01-01,502835,599423,598555,645477
2019-01-01,506536,39596,39561,42634
2019-01-01,506539,62395117,62304580,67188898
2019-01-01,507843,1140748,1139097,1228385
2019-01-01,508456,126316,126131,136020
2019-01-01,508599,15244,15244,16419
2019-01-01,509417,152733,152512,186259
2019-01-01,509434,3671008,3665688,4218014
2019-01-01,510003,447930,447284,482349
2019-01-01,511293,50288,50213,61329
2019-01-01,551180,1947535,1939897,2097149
2019-01-01,551228,151867,151615,163548
2019-01-01,551732,159799,159591,183616
2019-01-01,551736,201639,201369,222577
2019-01-01,558846,1354824,1352864,1458918
2019-01-01,558873,10203895,10187059,10987858
2019-01-01,560271,1073577,1072034,1156067
2019-01-01,563339,5724205,5715883,6163992
2019-01-01,563342,1674031,1671602,1802642
2019-01-01,563689,435763,435136,469243
2019-01-01,564647,12969,12950,15814
2019-01-01,564895,89263,89133,102567
2019-01-01,565724,211502,211196,227758
2019-01-01,566061,4709,4705,5072
2019-01-01,566647,111906,111744,120503
2019-01-01,567434,3748,3748,4575
2019-01-01,567538,188238,187963,207796
2019-01-01,567623,163733,163476,176312
2019-01-01,567645,897917,896606,1031751
2019-01-01,567662,6060928,6052133,6526588
2019-01-01,567664,14184883,14164298,15274697
2019-01-01,all,135729089,135524334,147299986
2019-02-01,100181,0,0,0
