date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-10-01,507515,32942432.11,17489917.69,62022277.0,2512,1335,4732,13108.208007458436
2018-10-01,507843,178090617.19,102057990.03,308077161.12,19216,11012,33245,9267.394572216059
2018-10-01,508456,215282976.69,106236727.56,483912805.48,8458,4170,19009,25458.78845406246
2018-10-01,508599,50287035.13,23949985.47,113035133.45,374,180,843,133989.8822544643
2018-10-01,509417,80555815.13,45149936.93,181073259.52,4880,2738,10969,16505.57535420991
2018-10-01,509434,48478074.35,28759274.18,84044071.24,21526,12769,37322,2251.948052151027
2018-10-01,510003,242789538.63,165350381.46,398846496.84,37543,25565,61672,6467.065727351378
2018-10-01,511293,75772609.2,45676160.62,150812012.79,10995,6626,21882,6892.899118283148
2018-10-01,551180,82717399.88,39395452.22,150318959.86,21938,10449,39867,3770.590906279253
2018-10-01,551228,78265557.88,37275192.86,175925221.71,16898,8048,37984,4631.573516189545
2018-10-01,551732,45318552.68,31325092.69,81356675.91,9001,6219,16157,5035.437668209711
2018-10-01,551736,44739578.58,23483785.67,91174582.91,12584,6606,25642,3555.299895986295
2018-10-01,554973,48688544.45,23188679.41,109442048.94,1234,588,2769,39505.59671897289
2018-10-01,555003,36509505.75,22197938.97,59888476.08,11966,7277,19627,3050.899327586458
2018-10-01,555421,100849362.0,48031082.43,226689069.35,10213,4863,22956,9875.315006883891
2018-10-01,558754,62231494.88,29638720.669999998,125562367.1,4789,2280,9660,12995.143152099105
2018-10-01,558846,103759456.87,65256121.09,169318252.81,17240,10839,28128,6019.161663393748
2018-10-01,558873,113009036.44,53822316.9,254021570.69,5379,2563,12091,21004.911831732472
2018-10-01,560271,161990686.84,103494801.83,283850896.92,63091,40310,110552,2567.607616209098
2018-10-01,562641,114892641.9,54719413.66,258255536.04,514,248,1157,223424.51923908343
2018-10-01,563339,57728992.95,34815433.55,128734946.87,10376,6257,23139,5563.724251033785
2018-10-01,563342,67648669.09,32218734.34,152060594.17000002,6147,2927,13813,11008.744115753449
2018-10-01,563689,51186718.8,24378474.44,115057442.82000001,1871,890,4205,27359.00438158198
2018-10-01,564286,91593595.73,43622878.31,179470828.82,989,467,1934,92780.03373926932
2018-10-01,564647,52780130.61,25137359.0,101291912.29,4889,2330,9392,10785.112817362817
2018-10-01,564895,115066830.14,54802373.53,258647078.39,4337,2067,9747,26534.305091333074
2018-10-01,565724,42237098.6,20116076.37,94940496.06,10858,5170,24403,3890.379667204613
2018-10-01,566061,14529359.22,7658529.609999999,27744982.82,2715,1429,5184,5350.074248286675
2018-10-01,566403,544595500.81,259372104.12,1224141081.74,13532,6446,30418,40243.90567677599
2018-10-01,566647,145928573.93,69500760.34,328018064.47,15921,7583,35791,9164.447537856207
2018-10-01,567251,55485340.3,26425759.39,124719875.93,7177,3415,16134,7731.889656791537
2018-10-01,567434,16223360.44,7726628.29,29157293.59,1465,696,2630,11083.799460686914
2018-10-01,567538,59398311.26,28289371.55,133515450.13,8879,4230,19957,6690.245491022575
2018-10-01,567554,25004775.28,12284798.94,56205702.2,1197,584,2686,20905.758924298974
2018-10-01,567623,39204815.77,21208986.65,88124534.27,7311,3954,16429,5364.193511250654
2018-10-01,567645,38736674.72,23393929.35,61013862.94,16277,9831,25641,2379.2554658793356
2018-10-01,567662,35198239.23,21703296.13,62750417.300000004,4291,2645,7653,8199.213620356697
2018-10-01,567664,53559376.94,28712887.61,110385752.33,7047,3777,14524,7600.93406249449
2018-10-01,567665,32245466.15,15357406.07,72481316.32,3278,1559,7365,9838.443692888037
2018-10-01,all,7413239310.09,3911221677.84,15289634433.23,966545,535233,1919012,7710.980809919065
2018-11-01,100181,25163925.04,11984712.38,56563440.99,819,389,1839,30756.03736228644
2018-11-01,100487,41745218.08,19881811.56,93834848.5,8343,3972,18753,5003.394164301825
2018-11-01,100992,99646618.69,47458257.81,182517766.61,11529,5490,21115,8642.880357122443
2018-11-01,101020,50348726.96,23979367.21,113173806.85,14276,6797,32093,3526.4746043975583
2018-11-01,101384,33532669.38,15970456.77,75374690.49,409,194,918,81987.42541622558
2018-11-01,101535,97206514.64,51440245.16,218500684.87,11988,6344,26944,8108.849064195236
2018-11-01,101954,33532669.38,15970456.77,75374690.49,1034,489,2323,32448.441098253432
2018-11-01,110365,38254482.37,24633545.25,59490951.47,25153,16196,39118,1520.7912544024462
2018-11-01,110409,174413701.87,83067247.9,392046897.97,13832,6587,31091,12609.368728596402
2018-11-01,110435,104123674.88,49590525.09,200472865.82,12366,5888,23804,8420.863613999409
2018-11-01,110632,76163133.54,42454089.55,128167702.21,9786,5456,16468,7782.727399525774
2018-11-01,200181,25389273.97,13636579.4,57069976.13,2116,1137,4759,11994.313772743704
2018-11-01,201184,44966811.99,21416144.93,101076344.63,1854,884,4172,24239.05544501833
2018-11-01,201351,110394985.02,78375276.33,199346481.71,25413,18042,45892,4343.828913208452
2018-11-01,201486,18113692.05,8626928.629999999,40715934.3,1914,912,4310,9447.895089685526
2018-11-01,201632,29947149.71,14262797.24,67315167.27,6127,2919,13773,4888.217465267933
2018-11-01,201925,33598292.53,16001711.33,75522199.15,3285,1566,7386,10223.391686554089
2018-11-01,202502,51176250.2,30770256.21,115033910.19,10389,6246,23351,4925.963174196305
2018-11-01,204586,158134300.67,96199861.23,307770267.47,1377,839,2678,114925.81437780592
2018-11-01,204934,37294078.71,17761886.2,81313799.64,1790,853,3903,20839.808939428058
2018-11-01,204964,66404671.59,44291677.2,101330411.48,11769,7851,17958,5642.042116574518
2018-11-01,205272,46240046.73,22022543.99,103938318.55,2971,1417,6680,15559.310103613318
2018-11-01,205582,115247804.41,71517358.65,251561829.79,5548,3439,12101,20788.12546005629
2018-11-01,205611,163425574.25,77833979.32,367347799.88,25940,12352,58309,6300.150326133339
2018-11-01,205761,85804232.59,54989078.82,192870648.55,24986,16014,56164,3434.1161480686696
2018-11-01,206361,47047988.5,22407338.88,86379394.83,4479,2133,8224,10505.742830358338
2018-11-01,206363,81053629.71,38603055.96,158264598.42000002,5665,2699,11060,14312.772390310342
2018-11-01,206440,402136204.14,216429248.65,806199702.14,95596,51447,191644,4206.773328617142
2018-11-01,206471,112883623.12,54762827.9,253739664.76,29502,14312,66309,3826.5412005380563
2018-11-01,207288,27080545.79,16096259.48,60871614.230000004,8830,5250,19848,3066.8244861662915
2018-11-01,207774,69762960.45,33225698.240000002,156813094.95,5688,2707,12789,12260.545693890897
2018-11-01,207802,40383246.96,19233151.86,90773412.77,3318,1581,7465,12161.404190822628
2018-11-01,207966,97663415.13,46743149.870000005,189298635.71,2845,1363,5512,34342.478538966505
2018-11-01,208532,44346248.95,21120591.87,99681441.89,765,361,1716,58105.97751937984
2018-11-01,210022,95097238.5,45291544.29,174338311.60999998,4326,2058,7926,21992.525
2018-11-01,210413,51653801.72,24600928.67,116107350.05,866,409,1942,59865.244298884034
2018-11-01,212377,66480977.46,31662602.72,149435856.6,1583,752,3559,42009.42932991578
2018-11-01,214099,35025984.64,17268599.16,78731364.73,5165,2547,11612,6779.985977538586
2018-11-01,214104,44767328.01,21321138.07,86618306.9,4665,2224,9023,9597.276106696936
2018-11-01,214781,48677881.49,30360554.0,85508608.61,5809,3624,10208,8378.659257920732
2018-11-01,215430,123490638.27,58814342.66,277582101.55,2531,1205,5690,48774.620552645836
2018-11-01,215913,49752193.81,23861119.2,91964173.89,2203,1055,4073,22577.01560131613
2018-11-01,216158,22757542.61,11630413.15,46279855.49,6920,3537,14076,3287.7802556969336
2018-11-01,216173,25142404.68,16077734.19,45556518.8,12285,7858,22262,2046.4075523855204
2018-11-01,216424,155504609.31,74061496.94,349543064.73,21920,10441,49270,7094.464883836265
2018-11-01,301577,63059141.49,30032900.63,141744259.08,4141,1970,9303,15236.422483146187
2018-11-01,304080,65934069.58,40756940.18,96376274.0,8945,5532,13070,7371.324394765833
2018-11-01,304763,13756792.59,6551887.25,28541089.97,3515,1674,7291,3915.298689101155
2018-11-01,401131,29077746.919999998,17432717.69,56450876.46,10624,6369,20624,2736.9203972791574
2018-11-01,401534,35778611.63,17223065.91,62580257.12,10461,5036,18299,3420.16930955647
2018-11-01,402018,62103718.160000004,33338257.88,128421265.49,3012,1616,6225,20623.2417056456
2018-11-01,402279,50302396.24,28489884.45,102154875.7,11244,6370,22832,4474.521479154262
2018-11-01,407120,41870258.72,23689495.02,83464588.83,5720,3234,11397,7321.590889676138
2018-11-01,408789,27908083.82,13291660.34,62731755.36,6002,2858,13492,4649.133776149978
