date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2021-10-02,147,206361,66380,6,6,560,529,59180,0,4.44,260
2021-10-02,147,206363,123263,23,23,1635,1522,51013,2,4.46,1766
2021-10-02,147,206440,0,0,0,6,6,0,0,1.0,1
2021-10-02,147,206471,50700,8,8,237,225,13928,0,4.05,19
2021-10-02,147,301577,0,0,0,2,2,0,0,,0
2021-10-02,147,304080,12900,1,1,13,13,12900,0,4.33,3
2021-10-02,147,551180,0,0,0,3,3,0,0,5.0,1
2021-10-02,147,558846,3900,1,1,207,201,3900,1,4.41,85
2021-10-02,147,558873,0,0,0,29,28,0,0,4.33,6
2021-10-02,525,506536,0,0,0,6,6,0,0,4.25,32
2021-10-02,525,563339,120652,26,22,903,875,103432,0,4.35,391
2021-10-02,525,563342,30039,9,9,290,281,22839,0,4.41,2056
2021-10-02,525,567662,277760,33,33,315,302,104536,0,4.42,711
2021-10-02,525,567664,173820,25,25,343,316,78960,3,4.6,2820
2021-10-02,1918,101535,23744,5,5,295,278,19123,4,4.72,1781
2021-10-02,1918,207774,3500,1,1,38,35,3500,0,4.64,269
2021-10-02,2625,216173,0,0,0,1,1,0,0,,0
2021-10-02,2625,551180,0,0,0,1,1,0,0,4.0,1
2021-10-02,2625,551732,0,0,0,5,5,0,0,,0
2021-10-02,3032,205761,0,0,0,5,5,0,0,4.7,37
2021-10-02,3790,551732,0,0,0,3,3,0,0,,0
2021-10-02,3790,551736,3000,1,1,7,7,3000,0,5.0,2
2021-10-02,3915,214099,0,0,0,1,1,0,0,4.33,3
2021-10-02,3915,567645,0,0,0,12,12,0,0,4.35,567
2021-10-02,4493,207288,0,0,0,74,69,0,0,3.8,286
2021-10-02,4493,216173,0,0,0,6,6,0,0,4.09,65
2021-10-02,4493,408789,1998,1,1,71,69,1998,0,4.39,109
2021-10-02,5313,402279,0,0,0,7,6,0,0,4.75,4
2021-10-02,5313,567645,0,0,0,13,12,0,0,4.81,27
2021-10-02,5567,205761,0,0,0,1,1,0,0,4.5,16
2021-10-02,5567,510003,5029,1,1,7,7,5029,0,4.72,7
2021-10-02,5829,206363,0,0,0,1,1,0,0,,0
2021-10-02,5829,304080,0,0,0,6,6,0,0,,0
2021-10-02,5829,551180,0,0,0,19,19,0,0,,0
2021-10-02,5829,558846,0,0,0,37,37,0,0,,0
2021-10-02,5829,558873,0,0,0,167,153,0,0,4.6,5
2021-10-02,5829,560271,0,0,0,8,8,0,0,,0
2021-10-02,6056,506539,0,0,0,1,1,0,0,,0
2021-10-02,6174,207288,0,0,0,8,6,0,0,4.8,25
2021-10-02,6174,401131,0,0,0,49,49,0,0,4.78,37
2021-10-02,6174,401534,0,0,0,10,10,0,0,5.0,1
2021-10-02,6174,408789,3000,3,3,236,226,1000,0,4.42,109
2021-10-02,6174,551180,30660,15,15,661,612,22830,3,4.55,1153
2021-10-02,6174,558846,11360,2,2,169,162,5680,0,4.41,135
2021-10-02,6174,558873,25740,3,3,273,252,15015,0,4.16,505
2021-10-02,6817,304763,0,0,0,1,1,0,0,,0
2021-10-02,6817,507843,0,0,0,10,10,0,0,4.52,65
2021-10-02,6817,508456,0,0,0,5,5,0,0,4.43,7
2021-10-02,6817,509417,4527,1,1,50,48,4527,0,4.56,137
2021-10-02,6817,510003,0,0,0,17,17,0,0,4.62,47
2021-10-02,6817,567538,0,0,0,2,2,0,0,,0
2021-10-02,6817,567645,0,0,0,1,1,0,0,4.73,26
2021-10-02,7160,206440,0,0,0,16,14,0,0,4.0,1
2021-10-02,7160,206471,0,0,0,17,16,0,0,4.0,4
2021-10-02,7160,401131,5088,2,2,66,62,5088,0,,0
2021-10-02,7160,401534,1730,1,1,146,143,1730,0,4.25,16
2021-10-02,7160,551180,0,0,0,12,11,0,0,5.0,1
2021-10-02,7160,551736,0,0,0,1,1,0,0,,0
2021-10-02,7160,558846,3195,2,2,35,34,3195,0,3.4,5
2021-10-02,7160,558873,0,0,0,6,6,0,0,,0
2021-10-02,7986,206440,0,0,0,18,18,0,0,4.5,2
2021-10-02,7986,206471,0,0,0,1,1,0,0,,0
2021-10-02,7986,408789,0,0,0,1,1,0,0,,0
2021-10-02,8460,201632,0,0,0,19,19,0,0,4.88,8
2021-10-02,8460,216424,14300,1,1,3,3,14300,0,4.77,352
2021-10-02,9159,110365,0,0,0,18,18,0,0,4.72,940
2021-10-02,9159,207288,0,0,0,2,2,0,0,4.88,8
2021-10-02,9159,551732,0,0,0,3,3,0,0,,0
2021-10-02,9159,551736,0,0,0,25,23,0,0,4.8,142
2021-10-02,9435,206440,0,0,0,8,8,0,0,,0
2021-10-02,9435,206471,0,0,0,2,2,0,0,,0
2021-10-02,9435,207288,0,0,0,9,9,0,0,5.0,1
2021-10-02,9435,401534,0,0,0,1,1,0,0,5.0,1
2021-10-02,9435,408789,0,0,0,5,5,0,0,,0
2021-10-02,9435,502280,0,0,0,8,8,0,0,,0
2021-10-02,9435,551180,15820,2,2,157,153,15820,0,4.25,8
2021-10-02,9435,558846,11330,2,2,235,226,11330,0,4.53,15
2021-10-02,9435,558873,22440,2,2,150,141,22440,0,4.75,20
2021-10-02,11018,206440,31000,8,8,394,370,26650,0,4.3,1785
2021-10-02,11018,206471,0,0,0,70,66,0,0,3.8,5
2021-10-02,11018,216158,0,0,0,1,1,0,0,,0
2021-10-02,11701,201632,0,0,0,9,9,0,0,4.74,19
2021-10-02,11701,204586,3999,1,1,11,11,3999,0,3.87,24
