date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2024-01-09,113,215430,0,0,0,1,1,0,0,,0
2024-01-09,193,110365,389608,322,322,3262,2977,38000,3,4.46,16479
2024-01-09,193,207288,29400,8,8,120,112,10800,0,4.27,468
2024-01-09,193,502835,0,0,0,5,5,0,0,5.0,2
2024-01-09,193,509434,0,0,0,37,35,0,1,4.31,45
2024-01-09,193,560271,4054710,1228,1228,26882,24199,272151,19,4.61,53952
2024-01-09,202,551180,41444,2,2,25,22,41444,0,4.51,159
2024-01-09,202,558846,4427,1,1,65,62,4427,0,4.63,125
2024-01-09,202,558873,0,0,0,25,25,0,0,4.4,25
2024-01-09,402,100992,0,0,0,2,2,0,0,4.48,83
2024-01-09,402,101020,85264,66,66,484,419,8723,4,4.25,3504
2024-01-09,402,208532,0,0,0,1,1,0,0,,0
2024-01-09,402,214781,0,0,0,2,2,0,0,4.86,7
2024-01-09,402,216424,0,0,0,1,1,0,0,5.0,1
2024-01-09,402,402279,0,0,0,7,5,0,0,,0
2024-01-09,402,407120,0,0,0,1,1,0,0,,0
2024-01-09,402,509417,0,0,0,1,1,0,0,,0
2024-01-09,402,510003,0,0,0,14,14,0,0,3.9,21
2024-01-09,402,565724,0,0,0,7,7,0,0,,0
2024-01-09,402,567623,0,0,0,1,1,0,0,,0
2024-01-09,402,567645,0,0,0,2,2,0,0,,0
2024-01-09,525,506536,0,0,0,2,2,0,0,4.24,17
2024-01-09,525,563339,166054,29,29,628,583,154477,0,4.3,376
2024-01-09,525,563342,32770,7,7,333,320,32770,1,4.43,2452
2024-01-09,525,567662,182843,25,25,312,293,61841,0,4.46,1126
2024-01-09,525,567664,298908,34,34,728,669,61108,2,4.65,4312
2024-01-09,680,201632,0,0,0,16,16,0,0,4.67,3
2024-01-09,680,205272,15600,5,5,303,288,15600,0,4.67,1139
2024-01-09,680,551736,0,0,0,1,1,0,0,,0
2024-01-09,1519,216424,0,0,0,7,6,0,0,4.25,8
2024-01-09,1610,200181,23397,3,3,35,33,7799,0,4.5,140
2024-01-09,1610,201632,12797,2,2,18,15,12797,0,,0
2024-01-09,1610,201925,0,0,0,345,324,0,0,4.71,341
2024-01-09,1610,205272,0,0,0,61,61,0,0,4.7,842
2024-01-09,1610,205611,21799,1,1,219,207,21799,0,4.76,659
2024-01-09,1610,207288,19596,4,4,65,59,9998,0,4.56,75
