date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2020-10-05,147,206361,109480,20,20,614,569,51866,0,4.11,585
2020-10-05,147,206363,897320,137,137,3212,3010,93935,1,4.4,1065
2020-10-05,147,206440,0,0,0,1,1,0,0,1.0,1
2020-10-05,147,206471,18500,5,5,58,49,14600,1,4.0,2
2020-10-05,147,304080,33000,2,2,79,78,16500,0,4.0,2
2020-10-05,147,502221,0,0,0,1,1,0,0,,0
2020-10-05,147,558846,33600,10,10,279,253,22466,0,4.12,59
2020-10-05,147,558873,31240,2,2,36,36,31240,0,5.0,1
2020-10-05,525,201351,0,0,0,15,15,0,0,,0
2020-10-05,525,563339,406234,133,120,2292,2134,182364,0,4.29,436
2020-10-05,525,563342,290926,89,69,913,831,108402,0,4.39,2114
2020-10-05,525,567662,985065,136,136,611,546,131356,0,4.43,586
2020-10-05,525,567664,1286590,174,174,1276,1143,134765,0,4.58,2979
2020-10-05,1918,101535,72081,16,16,442,388,33068,2,4.7,1120
2020-10-05,1918,207774,11316,4,4,54,53,7816,0,4.58,198
2020-10-05,2625,201925,0,0,0,2,2,0,0,,0
2020-10-05,2625,216173,0,0,0,1,1,0,0,,0
2020-10-05,2625,551732,0,0,0,5,4,0,0,,0
2020-10-05,3032,205761,2400,2,2,13,13,1200,0,4.56,16
2020-10-05,3255,402279,0,0,0,79,78,0,0,4.0,3
2020-10-05,3759,565724,53996,13,0,0,0,0,0,,0
2020-10-05,3915,506536,1850,1,1,3,3,1850,0,4.5,2
2020-10-05,3915,566061,790,1,1,2,2,790,0,5.0,1
2020-10-05,3915,567645,2400,1,1,15,13,2400,0,4.39,469
2020-10-05,4493,207288,5570,3,3,105,100,4785,0,3.75,251
2020-10-05,4493,216173,0,0,0,11,11,0,0,4.08,60
2020-10-05,4493,408789,7268,4,4,169,157,1817,0,4.49,84
2020-10-05,4493,502221,0,0,0,1,1,0,0,,0
2020-10-05,4493,502280,0,0,0,6,5,0,0,4.0,1
2020-10-05,5144,100487,0,0,0,1,1,0,0,,0
2020-10-05,5567,205761,0,0,0,4,4,0,0,4.5,16
2020-10-05,5567,510003,5029,1,1,6,5,5029,0,4.8,5
2020-10-05,5598,201184,0,0,0,2,2,0,0,4.0,1
2020-10-05,5829,206361,0,0,0,3,2,0,0,,0
2020-10-05,5829,206363,0,0,0,4,4,0,0,5.0,1
2020-10-05,5829,304080,0,0,0,13,12,0,0,,0
2020-10-05,5829,408789,0,0,0,9,9,0,0,,0
2020-10-05,5829,502280,0,0,0,1,1,0,0,,0
2020-10-05,5829,551180,0,0,0,32,32,0,0,5.0,1
2020-10-05,5829,558846,0,0,0,87,83,0,0,4.0,1
2020-10-05,5829,558873,92000,1,1,543,500,92000,0,4.55,11
