date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2021-08-10,525,506536,1480,2,2,6,6,1480,0,4.25,32
2021-08-10,525,563339,268527,86,82,1118,1030,144000,0,4.31,262
2021-08-10,525,563342,362718,88,83,548,512,121872,0,4.39,2224
2021-08-10,525,567662,1060079,139,139,720,670,179549,0,4.43,700
2021-08-10,525,567664,1821188,245,245,1721,1555,95174,0,4.6,2638
2021-08-10,1286,551228,0,0,0,1,1,0,0,,0
2021-08-10,1918,101535,116588,27,27,410,379,49820,0,4.72,1722
2021-08-10,1918,207774,15123,5,5,79,76,6177,0,4.63,255
2021-08-10,3032,205761,6500,1,1,8,8,6500,0,4.7,37
2021-08-10,3915,201184,0,0,0,1,1,0,0,2.5,2
2021-08-10,3915,214099,0,0,0,1,1,0,0,4.33,3
2021-08-10,3915,566061,0,0,0,1,1,0,0,5.0,3
2021-08-10,3915,567645,7200,5,5,42,39,3600,0,4.37,693
2021-08-10,5567,205761,0,0,0,1,1,0,0,4.5,16
2021-08-10,5567,510003,0,0,0,4,4,0,0,4.72,7
2021-08-10,6056,506539,0,0,0,3,3,0,0,5.0,1
2021-08-10,6174,207288,0,0,0,2,2,0,0,4.5,6
2021-08-10,6174,401131,1690,1,1,108,103,1690,0,4.71,34
2021-08-10,6174,401534,0,0,0,2,2,0,0,5.0,1
2021-08-10,6174,408789,0,0,0,17,15,0,0,4.0,1
2021-08-10,6174,551180,13130,6,6,87,81,13130,1,4.37,487
2021-08-10,6174,558846,0,0,0,6,6,0,0,,0
2021-08-10,6174,558873,0,0,0,4,4,0,0,5.0,2
2021-08-10,6817,216424,3818,1,1,1,1,3818,0,,0
2021-08-10,6817,304763,0,0,0,1,1,0,0,,0
2021-08-10,6817,507843,7471,4,4,16,16,5126,0,4.48,79
2021-08-10,6817,508456,32000,2,2,5,5,16000,0,4.33,6
2021-08-10,6817,509417,10044,2,2,47,38,10044,0,4.56,145
2021-08-10,6817,510003,1450,1,1,57,51,1450,0,4.44,50
2021-08-10,6817,567538,0,0,0,4,4,0,0,,0
2021-08-10,6817,567645,0,0,0,2,2,0,0,4.73,26
2021-08-10,7160,206440,0,0,0,9,9,0,0,5.0,2
2021-08-10,7160,206471,0,0,0,23,21,0,0,4.0,4
2021-08-10,7160,401131,0,0,0,10,10,0,0,,0
2021-08-10,7160,401534,4823,3,3,115,110,4823,1,4.53,19
2021-08-10,7160,551180,2200,1,1,16,14,2200,0,5.0,1
2021-08-10,7160,551732,0,0,0,3,3,0,0,4.0,1
2021-08-10,7160,551736,1200,1,1,9,9,1200,0,,0
2021-08-10,7160,558846,1995,1,1,30,27,1995,0,3.67,6
2021-08-10,7160,558873,0,0,0,4,4,0,0,,0
2021-08-10,7704,560271,0,0,0,4,3,0,0,,0
2021-08-10,7986,206440,0,0,0,4,4,0,0,4.0,1
2021-08-10,7986,401534,0,0,0,2,2,0,0,5.0,3
2021-08-10,8460,201632,0,0,0,8,8,0,0,4.88,8
2021-08-10,8460,216424,0,0,0,0,0,0,0,,0
2021-08-10,9042,206440,3180,1,1,64,62,3180,0,3.33,3
2021-08-10,9042,551180,0,0,0,27,25,0,0,4.2,313
2021-08-10,9042,558846,66920,18,18,582,534,41770,0,4.31,8977
2021-08-10,9042,558873,0,0,0,11,9,0,0,4.3,150
2021-08-10,9159,110365,0,0,0,10,10,0,0,4.69,502
2021-08-10,9159,201632,9200,1,1,3,1,9200,0,,0
