date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2021-09-07,147,206361,14400,2,2,356,334,7200,0,4.45,248
2021-09-07,147,206363,171099,28,28,1529,1450,62699,0,4.45,1728
2021-09-07,147,206440,0,0,0,13,13,0,0,,0
2021-09-07,147,206471,26395,8,8,410,399,17945,0,3.85,20
2021-09-07,147,301577,0,0,0,1,1,0,0,,0
2021-09-07,147,304080,6000,1,1,13,12,6000,0,4.33,3
2021-09-07,147,408789,0,0,0,1,1,0,0,,0
2021-09-07,147,551180,0,0,0,3,3,0,0,,0
2021-09-07,147,558846,27300,5,5,186,177,9750,1,4.39,79
2021-09-07,147,558873,0,0,0,34,34,0,0,4.5,4
2021-09-07,525,506536,0,0,0,14,14,0,0,4.19,16
2021-09-07,525,563339,305106,80,73,1053,1006,219575,0,4.31,437
2021-09-07,525,563342,108720,29,24,442,422,79765,0,4.39,1773
2021-09-07,525,567662,399921,46,46,352,336,117516,0,4.43,711
2021-09-07,525,567664,470320,63,63,791,719,90993,1,4.6,2644
2021-09-07,1286,551228,0,0,0,9,9,0,0,,0
2021-09-07,1918,101535,82691,19,19,637,580,40377,2,4.72,1766
2021-09-07,1918,207774,3686,1,1,97,93,3686,0,4.65,268
2021-09-07,2625,216173,0,0,0,2,2,0,0,,0
2021-09-07,2625,402279,0,0,0,1,1,0,0,,0
2021-09-07,2625,408789,0,0,0,1,1,0,0,,0
2021-09-07,2625,551732,0,0,0,2,2,0,0,,0
2021-09-07,2625,560271,0,0,0,1,1,0,0,,0
2021-09-07,3032,205761,3200,1,1,9,9,3200,0,4.7,37
2021-09-07,3790,551732,0,0,0,4,4,0,0,,0
2021-09-07,3790,551736,0,0,0,13,13,0,0,5.0,2
2021-09-07,3915,201184,0,0,0,4,4,0,0,2.5,2
2021-09-07,3915,214099,0,0,0,1,1,0,0,4.33,3
2021-09-07,3915,506536,0,0,0,4,4,0,0,4.75,4
2021-09-07,3915,567645,0,0,0,46,43,0,0,4.39,763
2021-09-07,4493,100487,0,0,0,1,1,0,0,,0
2021-09-07,4493,207288,11353,10,10,211,193,3359,0,3.8,280
2021-09-07,4493,216173,0,0,0,13,13,0,0,4.09,65
2021-09-07,4493,408789,0,0,0,75,72,0,0,4.39,109
2021-09-07,5313,402279,0,0,0,1,1,0,0,,0
2021-09-07,5313,567645,0,0,0,43,42,0,0,4.76,25
2021-09-07,5567,510003,0,0,0,5,5,0,0,4.72,7
2021-09-07,5829,206363,0,0,0,6,6,0,0,5.0,1
2021-09-07,5829,207288,0,0,0,4,3,0,0,,0
2021-09-07,5829,304080,0,0,0,6,6,0,0,,0
2021-09-07,5829,408789,0,0,0,2,2,0,0,,0
2021-09-07,5829,551180,0,0,0,122,121,0,0,4.67,3
2021-09-07,5829,558846,0,0,0,79,78,0,0,4.0,1
2021-09-07,5829,558873,0,0,0,263,229,0,1,4.6,5
2021-09-07,5829,560271,0,0,0,33,27,0,0,,0
2021-09-07,6056,506539,0,0,0,3,3,0,0,5.0,1
