date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2019-12-17,147,206361,660,1,1,44,43,660,0,4.08,483
2019-12-17,147,206363,38370,7,7,295,267,21370,0,4.3,295
2019-12-17,147,206440,0,0,0,1,1,0,0,,0
2019-12-17,147,304080,0,0,0,3,2,0,0,,0
2019-12-17,147,558846,0,0,0,16,15,0,0,4.2,5
2019-12-17,147,558873,0,0,0,5,5,0,0,,0
2019-12-17,525,506536,1880,1,1,18,15,1880,0,4.38,29
2019-12-17,525,563339,134790,26,26,843,814,128350,1,4.33,357
2019-12-17,525,563342,176490,34,34,706,685,127085,1,4.39,2157
2019-12-17,525,567662,244340,34,34,232,212,79735,0,4.43,522
2019-12-17,525,567664,514220,67,67,652,613,158448,0,4.58,2730
2019-12-17,1050,214099,0,0,0,2,2,0,0,4.34,70
2019-12-17,1050,402279,0,0,0,16,16,0,1,3.9,82
2019-12-17,1050,506539,1439731,418,418,3852,3608,141181,13,4.68,78863
2019-12-17,1918,101535,33096,7,7,301,285,24058,1,4.7,664
2019-12-17,1918,207774,3593,2,2,75,71,3593,0,4.49,136
2019-12-17,2698,507843,0,0,0,1,1,0,0,3.33,3
2019-12-17,3032,205761,0,0,0,10,9,0,1,4.57,14
2019-12-17,3244,551228,0,0,0,95,87,0,0,4.32,296
2019-12-17,3255,401534,0,0,0,2,2,0,0,,0
2019-12-17,3759,565724,46332,7,0,0,0,0,0,,0
2019-12-17,3915,567645,0,0,0,21,20,0,0,4.4,650
2019-12-17,4493,100487,0,0,0,1,1,0,0,,0
2019-12-17,4493,207288,1817,1,1,83,81,1817,0,3.72,242
2019-12-17,4493,216173,680,1,1,23,22,680,0,4.07,58
2019-12-17,4493,408789,1817,1,1,52,45,1817,0,4.38,32
2019-12-17,5567,205761,0,0,0,2,2,0,0,4.5,16
2019-12-17,5567,510003,0,0,0,8,8,0,0,3.77,236
2019-12-17,5598,201184,0,0,0,1,1,0,0,4.0,1
2019-12-17,5829,206361,0,0,0,6,6,0,0,,0
2019-12-17,5829,206363,0,0,0,9,3,0,0,5.0,1
2019-12-17,5829,304080,0,0,0,4,4,0,0,,0
2019-12-17,5829,408789,0,0,0,2,2,0,0,,0
2019-12-17,5829,551180,0,0,0,19,19,0,0,,0
2019-12-17,5829,558846,0,0,0,110,105,0,0,4.0,1
2019-12-17,5829,558873,103000,2,2,508,469,103000,0,4.5,8
2019-12-17,5829,560271,0,0,0,70,68,0,0,,0
2019-12-17,6247,215430,0,0,0,3,3,0,0,2.0,1
2019-12-17,6247,407120,5100,1,1,5,5,5100,0,5.0,3
2019-12-17,6247,551228,0,0,0,1,1,0,0,,0
2019-12-17,6817,201351,0,0,0,1,1,0,0,,0
2019-12-17,6817,507843,0,0,0,2,2,0,0,4.52,65
2019-12-17,6817,508456,0,0,0,4,4,0,0,4.17,6
2019-12-17,6817,509417,10359,2,2,32,30,10359,0,4.58,131
2019-12-17,6817,510003,16200,1,1,55,53,16200,0,4.43,7
2019-12-17,6817,567645,0,0,0,1,1,0,0,4.72,25
2019-12-17,7606,206440,0,0,0,1,1,0,0,,0
2019-12-17,7986,201632,0,0,0,1,1,0,0,,0
2019-12-17,7986,401534,0,0,0,1,1,0,0,,0
2019-12-17,8460,201632,0,0,0,38,38,0,0,5.0,6
2019-12-17,8460,216424,0,0,0,10,10,0,0,4.77,350
2019-12-17,9159,110365,3500,1,1,41,38,3500,0,4.73,973
2019-12-17,9159,201632,0,0,0,8,8,0,0,4.22,31
2019-12-17,9159,207288,0,0,0,2,2,0,0,4.88,8
2019-12-17,9159,551732,0,0,0,4,3,0,0,4.7,10
2019-12-17,9159,551736,0,0,0,37,36,0,0,4.77,149
2019-12-17,9435,205611,0,0,0,1,1,0,0,,0
2019-12-17,9435,206440,0,0,0,4,4,0,0,1.0,1
2019-12-17,9435,207288,0,0,0,1,1,0,0,,0
2019-12-17,9435,216173,0,0,0,4,4,0,0,,0
2019-12-17,9435,502280,8360,1,1,29,26,8360,0,5.0,1
2019-12-17,9435,551180,21360,4,4,117,105,16080,0,5.0,5
2019-12-17,9435,551228,0,0,0,6,4,0,0,,0
2019-12-17,9435,558846,18690,3,3,306,274,13300,0,4.5,6
2019-12-17,9435,558873,41055,3,3,299,278,13685,1,4.75,8
2019-12-17,9680,508599,2700,1,1,7,7,2700,0,5.0,2
2019-12-17,9888,100487,0,0,0,68,66,0,0,4.52,196
2019-12-17,10130,206440,4480,2,2,127,119,4480,0,4.03,1030
2019-12-17,10130,206471,4200,1,1,18,17,4200,0,3.8,5
2019-12-17,10130,408789,0,0,0,1,1,0,0,,0
