date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2021-10-27,147,206361,56940,6,6,579,558,56940,0,4.45,256
2021-10-27,147,206363,174160,36,36,1661,1573,81138,5,4.47,1861
2021-10-27,147,206440,0,0,0,25,25,0,0,,0
2021-10-27,147,206471,11700,3,3,140,129,3900,0,3.96,28
2021-10-27,147,304080,0,0,0,10,10,0,0,4.25,4
2021-10-27,147,408789,0,0,0,1,1,0,0,,0
2021-10-27,147,502221,0,0,0,1,1,0,0,,0
2021-10-27,147,558846,0,0,0,159,151,0,0,4.36,83
2021-10-27,147,558873,14000,2,2,115,109,14000,0,4.4,5
2021-10-27,525,506536,3900,1,1,5,5,3900,0,4.25,32
2021-10-27,525,563339,228970,55,52,886,858,205799,0,4.37,469
2021-10-27,525,563342,25050,11,10,455,430,17080,1,4.4,2181
2021-10-27,525,567662,132646,18,18,269,257,63026,0,4.43,716
2021-10-27,525,567664,139000,20,20,365,336,34385,2,4.6,2829
2021-10-27,1918,101535,15577,4,4,350,331,8205,0,4.72,1828
2021-10-27,1918,207774,0,0,0,45,45,0,0,4.64,272
2021-10-27,2625,551732,0,0,0,2,2,0,0,,0
2021-10-27,3032,205761,0,0,0,3,3,0,0,4.89,9
2021-10-27,3790,551732,0,0,0,3,3,0,0,,0
2021-10-27,3790,551736,0,0,0,4,4,0,0,5.0,3
2021-10-27,3915,201184,0,0,0,1,1,0,0,2.5,2
2021-10-27,3915,214099,960,1,1,2,2,960,0,4.33,3
2021-10-27,3915,506536,0,0,0,2,2,0,0,4.5,2
2021-10-27,3915,567645,6800,4,4,21,20,4400,0,4.35,556
2021-10-27,4493,207288,1798,1,1,62,60,1798,0,3.81,293
2021-10-27,4493,216173,2560,3,3,30,28,1780,0,4.09,65
2021-10-27,4493,408789,0,0,0,26,24,0,0,4.39,110
2021-10-27,5313,402279,0,0,0,4,4,0,0,4.75,4
2021-10-27,5313,567645,0,0,0,6,6,0,0,4.86,21
2021-10-27,5829,206363,0,0,0,2,2,0,0,5.0,1
2021-10-27,5829,304080,0,0,0,6,6,0,0,,0
2021-10-27,5829,408789,0,0,0,7,7,0,0,,0
2021-10-27,5829,551180,0,0,0,21,20,0,0,,0
2021-10-27,5829,558846,0,0,0,73,62,0,0,4.0,1
2021-10-27,5829,558873,0,0,0,244,229,0,0,4.5,4
2021-10-27,5829,560271,0,0,0,8,8,0,0,,0
2021-10-27,6174,207288,0,0,0,5,5,0,0,4.8,25
2021-10-27,6174,401131,0,0,0,52,50,0,0,4.74,38
2021-10-27,6174,401534,0,0,0,5,5,0,0,5.0,1
2021-10-27,6174,408789,1980,2,2,179,174,990,0,4.44,115
2021-10-27,6174,502280,0,0,0,1,1,0,0,,0
2021-10-27,6174,551180,29040,14,14,526,492,24665,0,4.69,724
2021-10-27,6174,558846,19140,3,3,173,167,19140,0,4.39,137
2021-10-27,6174,558873,30060,5,5,543,506,21480,1,4.16,507
2021-10-27,6247,402279,0,0,0,1,1,0,0,,0
2021-10-27,6247,551228,0,0,0,3,3,0,0,,0
2021-10-27,6468,508456,0,0,0,1,1,0,0,,0
2021-10-27,6817,507843,1636,1,1,28,27,1636,0,4.49,82
2021-10-27,6817,508456,0,0,0,7,4,0,0,4.43,7
2021-10-27,6817,509417,16163,3,3,33,33,16163,0,4.48,54
2021-10-27,6817,510003,17164,1,1,24,19,17164,0,4.57,42
2021-10-27,6817,567538,0,0,0,3,3,0,0,,0
2021-10-27,6817,567645,0,0,0,1,1,0,0,5.0,1
2021-10-27,7160,206440,0,0,0,20,20,0,0,4.0,1
2021-10-27,7160,206471,0,0,0,12,12,0,0,4.0,4
2021-10-27,7160,401131,3490,1,1,73,71,3490,0,,0
2021-10-27,7160,401534,1330,1,1,141,133,1330,0,4.31,13
2021-10-27,7160,551180,0,0,0,4,4,0,0,,0
2021-10-27,7160,551732,0,0,0,1,1,0,0,4.0,1
2021-10-27,7160,558846,0,0,0,34,34,0,0,3.5,6
2021-10-27,7160,558873,0,0,0,28,26,0,0,,0
2021-10-27,7986,201632,0,0,0,1,1,0,0,,0
2021-10-27,7986,206440,0,0,0,3,3,0,0,4.0,1
2021-10-27,7986,401534,0,0,0,1,1,0,0,5.0,4
2021-10-27,8460,201632,0,0,0,25,23,0,0,4.88,8
2021-10-27,8460,216424,0,0,0,3,3,0,0,4.77,538
2021-10-27,9159,110365,2400,1,1,28,27,2400,0,4.73,1030
2021-10-27,9159,207288,0,0,0,1,1,0,0,4.88,8
2021-10-27,9159,551732,0,0,0,2,2,0,0,4.8,10
2021-10-27,9159,551736,3600,1,1,26,22,3600,0,4.77,170
2021-10-27,9435,206440,0,0,0,19,18,0,0,,0
2021-10-27,9435,207288,0,0,0,7,7,0,0,5.0,1
2021-10-27,9435,216173,0,0,0,1,1,0,0,4.0,1
2021-10-27,9435,408789,0,0,0,3,3,0,0,,0
2021-10-27,9435,502280,0,0,0,17,16,0,0,,0
2021-10-27,9435,551180,6600,1,1,133,130,6600,0,4.4,10
2021-10-27,9435,558846,11330,2,2,291,276,11330,0,4.61,18
2021-10-27,9435,558873,35710,3,3,296,284,35710,0,4.77,22
2021-10-27,9435,560271,0,0,0,2,2,0,0,,0
2021-10-27,11018,206440,29400,8,8,508,481,26900,0,4.31,1791
2021-10-27,11018,206471,6385,2,2,50,47,6385,0,3.8,5
2021-10-27,12080,205582,18000,3,3,160,151,6000,0,4.28,2221
2021-10-27,12080,205611,0,0,0,20,20,0,0,,0
2021-10-27,12080,563689,0,0,0,4,4,0,0,,0
2021-10-27,12234,101020,0,0,0,16,14,0,1,4.39,61
2021-10-27,12234,205761,0,0,0,4,4,0,0,4.67,6
2021-10-27,12234,214781,10200,2,2,96,93,10200,0,4.54,495
2021-10-27,12234,567645,18300,4,4,62,60,18300,0,4.55,102
2021-10-27,12356,110435,13760,2,2,320,305,13760,1,4.36,1914
2021-10-27,12356,207802,0,0,0,1,1,0,0,,0
2021-10-27,12805,200181,0,0,0,15,13,0,0,5.0,2
2021-10-27,12805,205582,0,0,0,1,1,0,0,2.0,1
2021-10-27,12805,206440,0,0,0,18,18,0,0,4.1,10
2021-10-27,13261,100487,0,0,0,12,11,0,0,,0
2021-10-27,13261,206440,0,0,0,1,1,0,0,,0
2021-10-27,13261,207288,0,0,0,14,10,0,0,,0
2021-10-27,13261,216158,0,0,0,1,1,0,0,,0
2021-10-27,13261,216424,0,0,0,6,6,0,0,,0
