date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2021-11-06,525,506536,9360,1,1,7,6,9360,0,4.25,32
2021-11-06,525,563339,222084,59,58,975,941,176926,0,4.35,456
2021-11-06,525,563342,153688,32,27,514,496,115863,0,4.41,2029
2021-11-06,525,567662,436980,56,56,392,372,110375,2,4.43,717
2021-11-06,525,567664,536100,73,73,936,863,99440,2,4.6,2829
2021-11-06,1918,101535,40551,8,8,459,426,26892,4,4.72,1851
2021-11-06,1918,207774,2769,1,1,46,43,2769,1,4.64,273
2021-11-06,3032,205761,3200,1,1,5,5,3200,0,4.7,37
2021-11-06,3790,551732,0,0,0,6,6,0,0,,0
2021-11-06,3790,551736,0,0,0,5,5,0,0,5.0,3
2021-11-06,3915,506536,0,0,0,1,1,0,0,5.0,1
2021-11-06,3915,566061,0,0,0,1,1,0,0,5.0,3
2021-11-06,3915,567645,1310,1,1,22,22,1310,0,4.35,584
2021-11-06,5313,402279,1045,1,1,6,6,1045,0,4.75,4
2021-11-06,5313,567645,0,0,0,21,21,0,0,4.84,25
2021-11-06,5567,510003,0,0,0,2,2,0,0,4.72,7
2021-11-06,6468,508456,0,0,0,1,1,0,0,,0
2021-11-06,6817,304763,0,0,0,2,2,0,0,,0
2021-11-06,6817,507843,7508,3,3,23,23,5163,0,4.49,80
2021-11-06,6817,508456,0,0,0,8,8,0,0,4.67,6
2021-11-06,6817,509417,35160,6,6,76,70,22960,0,4.55,146
2021-11-06,6817,510003,0,0,0,18,17,0,0,4.62,52
2021-11-06,6817,567538,0,0,0,6,6,0,0,,0
2021-11-06,6817,567645,0,0,0,1,1,0,0,5.0,1
2021-11-06,7160,206440,0,0,0,32,32,0,0,4.0,1
2021-11-06,7160,206471,0,0,0,15,15,0,0,4.0,4
2021-11-06,7160,401131,0,0,0,35,35,0,0,,0
2021-11-06,7160,401534,4935,3,3,132,131,4935,0,4.3,10
2021-11-06,7160,408789,0,0,0,1,1,0,0,,0
2021-11-06,7160,551180,1000,1,1,13,13,1000,0,4.0,2
2021-11-06,7160,551732,0,0,0,1,1,0,0,4.0,1
2021-11-06,7160,558846,3350,1,1,39,35,3350,0,3.0,1
2021-11-06,7160,558873,0,0,0,53,53,0,0,,0
2021-11-06,8460,201632,0,0,0,63,63,0,0,4.88,8
2021-11-06,8460,216424,0,0,0,5,4,0,0,4.78,539
2021-11-06,9159,110365,0,0,0,28,27,0,0,4.72,789
2021-11-06,9159,201632,0,0,0,1,1,0,0,4.21,14
2021-11-06,9159,207288,0,0,0,2,2,0,0,4.88,8
2021-11-06,9159,551736,0,0,0,24,21,0,0,4.81,153
2021-11-06,9435,206440,0,0,0,10,10,0,0,,0
2021-11-06,9435,206471,0,0,0,1,1,0,0,,0
2021-11-06,9435,207288,0,0,0,2,2,0,0,5.0,1
2021-11-06,9435,216173,0,0,0,5,5,0,0,4.0,1
2021-11-06,9435,408789,0,0,0,3,3,0,0,,0
2021-11-06,9435,502280,0,0,0,17,16,0,0,,0
2021-11-06,9435,551180,6380,2,2,122,118,6380,0,3.83,12
2021-11-06,9435,551732,0,0,0,1,1,0,0,,0
2021-11-06,9435,558846,10780,2,2,263,250,10780,0,4.61,18
2021-11-06,9435,558873,4000,1,1,371,347,4000,0,4.77,22
2021-11-06,12234,101020,2000,1,1,7,7,2000,0,4.47,125
2021-11-06,12234,205761,0,0,0,4,4,0,0,4.71,17
2021-11-06,12234,214781,10200,3,3,86,76,8150,0,4.54,433
2021-11-06,12234,216424,0,0,0,1,1,0,0,,0
2021-11-06,12234,567645,14200,3,3,46,45,14200,0,4.67,60
2021-11-06,12356,110435,100320,29,29,653,621,45925,1,4.36,1956
2021-11-06,12805,200181,0,0,0,24,24,0,0,5.0,2
2021-11-06,12805,205582,0,0,0,30,30,0,0,2.0,1
2021-11-06,12805,206440,0,0,0,17,16,0,0,4.25,8
2021-11-06,13261,100487,0,0,0,26,24,0,0,,0
2021-11-06,13261,206471,0,0,0,1,1,0,0,,0
2021-11-06,13261,207288,41800,1,1,11,9,41800,0,,0
2021-11-06,13261,216424,0,0,0,13,12,0,0,,0
2021-11-06,13261,304080,0,0,0,25,23,0,0,,0
2021-11-06,13261,502280,0,0,0,10,10,0,0,,0
2021-11-06,13261,551180,0,0,0,125,123,0,0,,0
2021-11-06,13261,558846,0,0,0,17,17,0,0,,0
2021-11-06,13261,558873,97600,2,2,230,211,97600,0,4.5,2
2021-11-06,13261,560271,0,0,0,20,18,0,0,4.0,1
2021-11-06,13415,100487,13920,6,6,700,651,9960,0,4.47,234
2021-11-06,14106,207288,0,0,0,12,12,0,0,4.64,39
2021-11-06,14293,101535,0,0,0,4,4,0,0,,0
2021-11-06,14293,201184,0,0,0,12,12,0,0,4.8,5
2021-11-06,14293,205611,0,0,0,53,50,0,0,5.0,2
2021-11-06,14293,205761,0,0,0,48,45,0,0,3.0,1
2021-11-06,14293,207774,0,0,0,3,3,0,0,,0
2021-11-06,14293,214099,0,0,0,1,1,0,0,,0
2021-11-06,14293,214104,0,0,0,1,1,0,0,,0
2021-11-06,14293,402279,0,0,0,15,14,0,0,,0
2021-11-06,14293,408789,0,0,0,4,4,0,0,,0
2021-11-06,14293,501098,0,0,0,11,10,0,0,,0
2021-11-06,14293,502280,0,0,0,10,9,0,0,1.0,1
2021-11-06,14293,506539,0,0,0,11,11,0,0,,0
2021-11-06,14293,551732,0,0,0,7,7,0,0,,0
2021-11-06,14293,551736,0,0,0,89,88,0,0,4.7,40
2021-11-06,14293,566647,6000,1,0,0,0,0,0,,0
2021-11-06,14293,567251,0,0,0,2,1,0,0,,0
2021-11-06,14293,567554,0,0,0,1,1,0,0,,0
2021-11-06,14564,206440,0,0,0,26,25,0,0,5.0,1
2021-11-06,14564,206471,0,0,0,2,2,0,0,,0
2021-11-06,14564,207288,0,0,0,10,10,0,0,,0
2021-11-06,14564,216173,0,0,0,2,2,0,0,,0
2021-11-06,14564,408789,0,0,0,2,2,0,0,,0
2021-11-06,14564,502280,0,0,0,9,9,0,0,,0
2021-11-06,14564,551180,8030,3,3,64,63,8030,0,5.0,5
2021-11-06,14564,558846,0,0,0,105,99,0,0,5.0,2
2021-11-06,14564,558873,0,0,0,130,125,0,0,5.0,1
2021-11-06,14564,560271,0,0,0,3,2,0,0,,0
2021-11-06,15092,100487,7200,2,2,125,118,3600,1,4.28,373
2021-11-06,16278,560271,0,0,0,1,1,0,0,,0
2021-11-06,16400,401534,0,0,0,8,8,0,0,,0
2021-11-06,16400,551228,0,0,0,8,8,0,0,,0
2021-11-06,16833,507843,30800,4,4,38,38,20900,0,4.14,100
2021-11-06,16833,510003,5060,1,1,14,13,5060,0,4.23,64
2021-11-06,16833,567538,5500,1,1,10,10,5500,0,4.0,2
2021-11-06,16932,205272,0,0,0,31,27,0,0,5.0,3
2021-11-06,16932,205582,0,0,0,1,1,0,0,,0
2021-11-06,16932,301577,0,0,0,35,35,0,0,,0
2021-11-06,16932,408789,0,0,0,1,1,0,0,5.0,1
2021-11-06,17087,201632,0,0,0,1,1,0,0,5.0,1
2021-11-06,17087,207288,0,0,0,5,5,0,0,3.5,4
2021-11-06,17087,558846,0,0,0,2,2,0,0,4.5,2
2021-11-06,17973,567538,0,0,0,6,6,0,0,4.67,6
