date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2020-03-24,147,206361,243400,49,49,766,696,6116,0,4.07,487
2020-03-24,147,206363,71590,12,12,568,532,19940,1,4.32,373
2020-03-24,147,206440,0,0,0,2,2,0,0,,0
2020-03-24,147,206471,0,0,0,2,2,0,0,,0
2020-03-24,147,304080,0,0,0,2,2,0,0,,0
2020-03-24,147,502221,0,0,0,4,4,0,0,,0
2020-03-24,147,558846,0,0,0,11,11,0,0,4.33,6
2020-03-24,147,558873,0,0,0,3,3,0,0,,0
2020-03-24,525,506536,0,0,0,13,13,0,0,4.4,15
2020-03-24,525,563339,165020,48,48,1460,1345,130843,0,4.28,270
2020-03-24,525,563342,93660,23,23,555,499,81660,0,4.38,1734
2020-03-24,525,567662,255880,31,31,302,274,74122,0,4.44,531
2020-03-24,525,567664,257780,32,32,426,399,41174,0,4.61,2455
2020-03-24,1050,214099,0,0,0,3,3,0,0,4.34,70
2020-03-24,1050,402279,0,0,0,5,5,0,0,3.9,82
2020-03-24,1050,506539,1203811,402,402,4592,4286,159776,18,4.68,80801
2020-03-24,1918,101535,47634,9,9,180,171,27317,1,4.7,818
2020-03-24,1918,207774,3408,1,1,39,38,3408,1,4.53,150
2020-03-24,2625,201925,0,0,0,8,8,0,0,,0
2020-03-24,2625,216173,0,0,0,1,1,0,0,,0
2020-03-24,3032,205761,0,0,0,9,9,0,0,4.66,38
2020-03-24,3255,402279,0,0,0,29,24,0,0,,0
2020-03-24,3255,408789,0,0,0,1,1,0,0,,0
2020-03-24,3759,565724,61335,11,0,0,0,0,0,,0
2020-03-24,3915,214099,0,0,0,1,1,0,0,5.0,1
2020-03-24,3915,566061,0,0,0,1,1,0,0,5.0,1
2020-03-24,3915,567645,4800,2,2,25,24,2400,0,4.38,604
2020-03-24,4493,207288,0,0,0,169,157,0,0,3.72,244
2020-03-24,4493,216173,0,0,0,19,18,0,0,4.1,10
2020-03-24,4493,408789,1817,1,1,42,42,1817,0,4.44,36
2020-03-24,4493,502221,0,0,0,2,2,0,0,,0
2020-03-24,4493,502280,0,0,0,17,15,0,0,4.0,1
2020-03-24,5567,205761,0,0,0,1,1,0,0,4.5,16
2020-03-24,5567,510003,5029,1,1,4,3,5029,0,5.0,1
2020-03-24,5598,201184,0,0,0,2,2,0,0,4.0,1
2020-03-24,5829,206361,0,0,0,2,2,0,0,,0
2020-03-24,5829,206363,0,0,0,1,1,0,0,,0
2020-03-24,5829,207288,0,0,0,1,1,0,0,,0
2020-03-24,5829,304080,0,0,0,6,6,0,0,,0
2020-03-24,5829,408789,0,0,0,13,12,0,0,,0
2020-03-24,5829,551180,0,0,0,25,25,0,0,,0
2020-03-24,5829,558846,0,0,0,115,112,0,0,3.0,1
2020-03-24,5829,558873,0,0,0,253,234,0,0,4.88,8
2020-03-24,5829,560271,0,0,0,27,27,0,0,,0
2020-03-24,6247,407120,0,0,0,4,4,0,0,5.0,3
2020-03-24,6247,551228,0,0,0,7,7,0,0,,0
2020-03-24,6247,551736,0,0,0,1,1,0,0,5.0,1
2020-03-24,6817,201351,0,0,0,2,2,0,0,,0
2020-03-24,6817,507843,0,0,0,2,2,0,0,4.32,16
2020-03-24,6817,508456,0,0,0,3,3,0,0,3.4,10
2020-03-24,6817,509417,0,0,0,16,15,0,0,4.62,37
2020-03-24,6817,510003,8400,1,1,54,52,8400,0,4.64,47
2020-03-24,7606,206440,0,0,0,1,1,0,0,,0
2020-03-24,7986,408789,0,0,0,2,2,0,0,,0
2020-03-24,8460,201632,6980,1,1,13,10,6980,0,5.0,7
2020-03-24,8460,216424,0,0,0,5,5,0,0,4.77,512
2020-03-24,9159,110365,0,0,0,20,19,0,0,4.73,978
2020-03-24,9159,201632,0,0,0,6,6,0,0,4.2,29
2020-03-24,9159,551732,0,0,0,3,3,0,0,4.75,20
2020-03-24,9159,551736,3600,1,1,41,40,3600,0,4.77,151
2020-03-24,9435,206440,0,0,0,2,2,0,0,5.0,1
2020-03-24,9435,207288,0,0,0,1,1,0,0,,0
2020-03-24,9435,408789,0,0,0,2,2,0,0,,0
2020-03-24,9435,502280,0,0,0,12,12,0,0,,0
2020-03-24,9435,551180,11580,2,2,420,390,11580,0,4.43,7
2020-03-24,9435,551228,0,0,0,10,10,0,0,,0
2020-03-24,9435,551732,0,0,0,1,1,0,0,,0
2020-03-24,9435,558846,7430,1,1,231,220,7430,0,5.0,1
2020-03-24,9435,558873,0,0,0,177,171,0,0,4.77,9
2020-03-24,9680,207288,0,0,0,1,1,0,0,,0
2020-03-24,9680,508599,0,0,0,8,8,0,0,5.0,1
2020-03-24,9888,100487,0,0,0,28,27,0,0,4.62,133
2020-03-24,10486,551228,0,0,0,10,10,0,0,4.31,13
2020-03-24,11018,206440,26600,9,9,195,190,15950,0,4.3,1613
2020-03-24,11018,206471,2700,1,1,34,31,2700,0,4.33,3
2020-03-24,11246,502221,0,0,0,0,8,0,0,3.5,2
2020-03-24,11246,558846,0,0,0,0,4,0,0,1.0,1
2020-03-24,11246,558873,0,0,0,0,3,0,0,,0
2020-03-24,11246,560271,0,0,0,0,13,0,0,4.08,26
2020-03-24,11503,206440,50728,20,20,2516,2376,30874,2,4.09,4826
2020-03-24,11503,206471,103771,50,50,3146,2969,15937,0,3.96,1195
2020-03-24,12356,110435,11880,2,2,97,97,5940,0,4.31,1628
2020-03-24,12805,100487,0,0,0,1,1,0,0,,0
2020-03-24,12805,205582,0,0,0,2,2,0,0,,0
2020-03-24,12805,206440,0,0,0,13,12,0,0,4.67,3
2020-03-24,12805,560271,0,0,0,2,2,0,0,,0
2020-03-24,13261,207288,0,0,0,2,2,0,0,,0
2020-03-24,13261,502280,0,0,0,2,2,0,0,,0
2020-03-24,13261,558873,0,0,0,34,31,0,0,4.5,2
2020-03-24,14293,201184,0,0,0,11,11,0,0,4.8,5
2020-03-24,14293,205611,0,0,0,4,4,0,0,,0
2020-03-24,14293,205761,5300,2,2,58,58,5300,0,4.0,2
2020-03-24,14293,402279,0,0,0,2,2,0,0,,0
2020-03-24,14293,506536,0,0,0,5,5,0,0,,0
2020-03-24,14293,506539,0,0,0,16,16,0,0,,0
2020-03-24,14293,551732,0,0,0,3,3,0,0,,0
2020-03-24,14293,551736,0,0,0,186,175,0,0,4.68,47
2020-03-24,14564,206440,0,0,0,19,19,0,0,4.0,2
2020-03-24,14564,206471,0,0,0,3,3,0,0,5.0,1
2020-03-24,14564,207288,0,0,0,1,1,0,0,,0
2020-03-24,14564,502280,0,0,0,9,9,0,0,,0
2020-03-24,14564,551180,0,0,0,44,43,0,0,5.0,2
2020-03-24,14564,551732,0,0,0,1,1,0,0,,0
2020-03-24,14564,551736,0,0,0,1,1,0,0,,0
2020-03-24,14564,558846,0,0,0,93,90,0,0,5.0,1
2020-03-24,14564,558873,0,0,0,53,53,0,0,,0
2020-03-24,14586,567645,0,0,0,19,19,0,0,4.0,1
2020-03-24,15538,100487,9799,1,1,25,23,9799,0,4.54,54
2020-03-24,15538,206363,0,0,0,1,1,0,0,,0
2020-03-24,15538,207288,15998,2,2,136,130,15998,0,4.55,11
2020-03-24,15538,408789,0,0,0,1,1,0,0,,0
2020-03-24,15538,502221,0,0,0,10,10,0,0,,0
2020-03-24,15538,502280,0,0,0,7,7,0,0,,0
2020-03-24,15538,560271,0,0,0,31,29,0,0,,0
2020-03-24,15538,564895,0,0,0,12,11,0,0,2.38,8
2020-03-24,15724,207288,0,0,0,10,10,0,0,3.96,23
2020-03-24,15724,216173,0,0,0,2,2,0,0,,0
2020-03-24,15724,402279,0,0,0,1,1,0,0,4.0,2
2020-03-24,16075,508599,0,0,0,4,4,0,0,4.53,36
2020-03-24,16833,507843,56430,4,4,48,43,46530,0,4.17,89
2020-03-24,16833,510003,4620,1,1,9,8,4620,0,4.18,48
2020-03-24,16833,567538,0,0,0,16,14,0,0,4.0,17
2020-03-24,16932,205582,0,0,0,4,4,0,0,,0
2020-03-24,16932,408789,0,0,0,4,4,0,0,,0
2020-03-24,16932,551228,0,0,0,119,112,0,0,3.81,32
2020-03-24,17303,564895,0,0,0,24,23,0,0,3.8,5
2020-03-24,17435,101020,8600,1,1,9,7,8600,0,4.66,52
2020-03-24,17435,216424,0,0,0,8,6,0,0,,0
2020-03-24,17435,501098,4980,1,1,30,27,4980,0,5.0,1
2020-03-24,17435,567645,0,0,0,6,6,0,0,,0
2020-03-24,17904,100181,0,0,0,0,0,0,0,,0
2020-03-24,17904,204586,0,0,0,5,5,0,0,,0
2020-03-24,17904,212377,0,0,0,8,8,0,0,4.0,1
2020-03-24,17904,215913,5650,2,2,105,96,5650,0,4.5,14
2020-03-24,17904,401534,0,0,0,29,26,0,0,4.75,12
2020-03-24,17904,402279,25800,10,10,495,459,10200,0,4.65,26
2020-03-24,17904,408789,0,0,0,36,33,0,0,4.25,4
2020-03-24,17904,567554,7980,1,1,74,70,7980,0,4.0,3
2020-03-24,18531,100487,0,0,0,1,1,0,0,,0
2020-03-24,18531,207288,0,0,0,9,7,0,0,,0
2020-03-24,18531,216173,0,0,0,6,6,0,0,3.69,13
2020-03-24,18531,560271,2778,3,3,34,32,926,0,4.17,29
2020-03-24,18680,206440,0,0,0,1,1,0,0,5.0,1
2020-03-24,18680,216424,0,0,0,4,4,0,0,5.0,4
2020-03-24,18788,201632,0,0,0,3,3,0,0,,0
2020-03-24,18788,205611,0,0,0,25,24,0,0,4.0,4
2020-03-24,18788,206440,0,0,0,6,6,0,0,,0
2020-03-24,18788,206471,0,0,0,39,37,0,0,,0
2020-03-24,18788,207288,0,0,0,7,7,0,0,,0
2020-03-24,18788,401534,0,0,0,187,186,0,0,4.36,64
2020-03-24,18788,402279,0,0,0,11,11,0,0,,0
2020-03-24,18788,408789,0,0,0,18,17,0,0,,0
2020-03-24,18788,551228,0,0,0,19,18,0,0,,0
2020-03-24,18788,560271,11900,4,3,307,282,9100,0,3.79,33
2020-03-24,18832,100487,37500,3,3,599,566,37500,6,4.55,1713
2020-03-24,18832,508599,0,0,0,2,2,0,0,,0
2020-03-24,19143,210413,0,0,0,1,1,0,0,,0
2020-03-24,19199,205582,0,0,0,3,3,0,0,4.6,5
2020-03-24,19199,506539,25650,12,12,262,248,2137,1,4.6,1939
2020-03-24,19199,551732,2500,2,2,59,59,2500,0,4.04,46
2020-03-24,19627,567645,3888,2,2,3,3,1944,0,4.55,253
2020-03-24,19889,551180,0,0,0,10,9,0,0,,0
2020-03-24,19889,558873,0,0,0,1,1,0,0,,0
