date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2019-04-19,147,206361,0,0,0,42,38,0,0,4.1,472
2019-04-19,147,206363,17000,2,2,127,121,17000,0,4.27,174
2019-04-19,147,206471,0,0,0,1,1,0,0,,0
2019-04-19,147,304080,0,0,0,1,1,0,0,,0
2019-04-19,147,558846,0,0,0,3,3,0,0,,0
2019-04-19,147,558873,0,0,0,7,7,0,0,,0
2019-04-19,525,563339,72182,25,25,487,465,49223,0,4.19,185
2019-04-19,525,563342,27600,4,4,189,180,27600,0,4.38,922
2019-04-19,525,567662,149620,19,19,250,224,48880,0,4.43,530
2019-04-19,525,567664,336040,44,44,346,327,60419,0,4.59,2697
2019-04-19,1050,201632,0,0,0,1,1,0,0,5.0,1
2019-04-19,1050,214099,0,0,0,3,3,0,0,4.34,70
2019-04-19,1050,402279,0,0,0,6,5,0,0,3.95,80
2019-04-19,1050,506539,394497,125,125,1977,1865,97143,5,4.68,76208
2019-04-19,1918,101535,9371,2,2,120,119,9371,0,4.68,711
2019-04-19,1918,207774,2760,1,1,35,33,2760,0,4.48,106
2019-04-19,2625,201925,0,0,0,1,1,0,0,,0
2019-04-19,3032,205761,0,0,0,4,4,0,0,4.64,31
2019-04-19,3244,551228,19720,2,2,119,110,19720,0,4.34,290
2019-04-19,3255,408789,0,0,0,1,1,0,0,,0
2019-04-19,3915,506536,0,0,0,2,2,0,0,4.5,2
2019-04-19,3915,566061,0,0,0,1,1,0,0,,0
2019-04-19,3915,567645,4560,2,2,21,21,4560,0,4.38,611
2019-04-19,4493,100487,0,0,0,3,3,0,0,,0
2019-04-19,4493,207288,3111,3,3,119,115,2287,0,3.71,230
2019-04-19,4493,216173,0,0,0,23,21,0,0,4.5,4
2019-04-19,4493,408789,5550,3,3,65,63,1850,0,4.56,9
2019-04-19,5567,205761,0,0,0,1,1,0,0,4.5,16
2019-04-19,5567,510003,0,0,0,14,12,0,0,4.5,6
2019-04-19,5598,201184,0,0,0,5,4,0,0,4.0,1
2019-04-19,5829,206361,0,0,0,4,4,0,0,5.0,1
2019-04-19,5829,206363,0,0,0,17,16,0,0,,0
2019-04-19,5829,206440,0,0,0,2,2,0,0,,0
2019-04-19,5829,304080,0,0,0,13,11,0,0,,0
