date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2025-09-07,113,215430,0,0,0,2,2,0,0,,0
2025-09-07,113,551228,0,0,0,28,27,0,0,4.5,2
2025-09-07,202,206361,0,0,0,1,1,0,0,,0
2025-09-07,202,206363,0,0,0,1,1,0,0,4.33,3
2025-09-07,202,206440,0,0,0,8,8,0,0,4.0,1
2025-09-07,202,206471,0,0,0,29,27,0,0,5.0,3
2025-09-07,202,551180,5361,1,1,38,36,5361,0,4.52,270
2025-09-07,202,558846,18099,4,4,380,361,9050,0,4.6,126
2025-09-07,202,558873,0,0,0,27,23,0,0,4.39,23
2025-09-07,287,110632,133704,29,29,354,345,36638,1,4.56,166
2025-09-07,287,506539,3996,1,1,56,51,3996,0,5.0,3
2025-09-07,287,511293,87854,18,18,298,295,18766,0,4.71,305
2025-09-07,287,563339,212369,35,33,460,433,126062,0,4.47,170
2025-09-07,287,563342,885736,37,35,393,368,435896,0,4.65,494
2025-09-07,287,567665,631131,82,82,1453,1336,299258,0,4.64,529
2025-09-07,402,101020,93740,60,60,305,272,6563,11,4.32,4826
2025-09-07,402,200181,0,0,0,10,9,0,0,,0
2025-09-07,402,201632,0,0,0,8,8,0,0,,0
2025-09-07,402,214781,0,0,0,1,1,0,0,,0
2025-09-07,402,216173,0,0,0,3,3,0,0,,0
2025-09-07,402,216424,0,0,0,2,1,0,0,4.76,219
2025-09-07,402,402279,0,0,0,2,2,0,0,,0
2025-09-07,402,510003,27200,4,4,40,39,13600,0,4.46,85
2025-09-07,402,551228,0,0,0,2,2,0,0,,0
2025-09-07,402,565724,0,0,0,3,3,0,0,,0
2025-09-07,402,567623,0,0,0,3,3,0,0,,0
2025-09-07,491,207802,0,0,0,1,1,0,0,,0
2025-09-07,491,214099,0,0,0,3,2,0,0,5.0,2
2025-09-07,491,563339,623873,89,89,1279,1212,349657,3,4.64,16300
2025-09-07,491,563342,544452,60,60,1111,1056,168618,6,4.67,9424
2025-09-07,491,567251,0,0,0,1,1,0,0,,0
2025-09-07,491,567662,193435,20,20,173,166,31084,1,4.61,2646
2025-09-07,491,567664,168597,20,20,207,196,90197,1,4.66,3463
2025-09-07,491,567665,0,0,0,1,1,0,0,,0
2025-09-07,525,214099,0,0,0,2,2,0,0,,0
2025-09-07,525,563339,134290,46,46,812,753,108587,2,4.36,462
2025-09-07,525,563342,147450,40,40,505,486,106348,0,4.42,2684
2025-09-07,525,567662,314180,36,36,339,315,103960,0,4.5,1602
2025-09-07,525,567664,5739928,918,918,4426,3873,83559,3,4.7,7314
2025-09-07,678,110409,0,0,0,2,2,0,0,5.0,1
2025-09-07,678,201351,0,0,0,3,3,0,0,5.0,2
2025-09-07,678,214099,0,0,0,1,1,0,0,3.0,1
2025-09-07,678,214781,8149,1,1,7,6,8149,0,,0
2025-09-07,678,506536,4593,2,2,18,18,4593,0,4.38,16
2025-09-07,678,564647,4000,1,1,11,11,4000,0,4.85,32
2025-09-07,678,567645,6852,1,1,1,1,6852,0,,0
2025-09-07,717,408789,0,0,0,44,40,0,0,4.78,23
2025-09-07,869,101535,0,0,0,9,9,0,0,4.86,7
2025-09-07,869,110409,0,0,0,2,2,0,0,5.0,1
2025-09-07,869,214099,8166,5,5,81,77,8166,0,4.48,79
2025-09-07,869,214104,10222,2,2,30,30,5111,1,4.58,122
2025-09-07,869,566647,0,0,0,2,2,0,0,4.75,4
2025-09-07,1216,565724,912086,226,226,2134,2043,405363,6,4.71,4879
2025-09-07,1289,205761,0,0,0,2,2,0,0,4.0,1
2025-09-07,1289,216424,2040,2,2,57,54,2040,0,,0
2025-09-07,1289,567538,0,0,0,7,6,0,0,4.0,2
2025-09-07,1501,205582,0,0,0,1,1,0,0,4.33,3
2025-09-07,1501,215913,0,0,0,12,11,0,0,3.0,2
2025-09-07,1501,301577,0,0,0,1,1,0,0,,0
2025-09-07,1501,402279,0,0,0,13,12,0,0,5.0,1
2025-09-07,1501,551228,0,0,0,8,8,0,0,,0
2025-09-07,1519,216424,0,0,0,1,1,0,0,4.33,9
2025-09-07,1562,100487,0,0,0,48,46,0,0,,0
2025-09-07,1562,206361,0,0,0,3,2,0,0,,0
2025-09-07,1562,206471,0,0,0,4,4,0,0,,0
2025-09-07,1562,207288,0,0,0,10,9,0,0,,0
2025-09-07,1562,301577,0,0,0,3,3,0,0,,0
2025-09-07,1562,502221,0,0,0,2,1,0,0,,0
2025-09-07,1562,558846,0,0,0,6,3,0,0,,0
2025-09-07,1562,558873,0,0,0,27,25,0,0,,0
2025-09-07,1610,200181,55194,6,6,96,91,9199,0,4.46,215
2025-09-07,1610,201632,3199,1,1,53,46,3199,0,4.57,23
2025-09-07,1610,201925,242690,10,10,551,500,127495,1,4.72,426
